t(s),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.00000000e-05,1.21604581e-11,3.36080521e-13,6.86809357e-12,2.23847216e-01,1.74751427e-11,9.09542576e-10,3.64043622e-08,4.84832331e-10,8.30325745e-33,5.05165058e-23,6.64567796e-18,9.37450710e-19,1.75266738e-08,3.92809831e-02,3.04376620e-13,3.13874738e-15,5.01168614e-16,1.19816862e-09,3.26730719e-19,2.48766489e-12,3.30755431e-12,4.92130392e-33,3.24503063e-21,1.37256346e-23,3.92402122e-14,4.58026659e-15,2.25140078e-12,1.43744404e-30,1.93575271e-21,6.97415052e-31,5.99282537e-23,7.72015661e-25,1.10545694e-33,1.40957491e-41,3.34367603e-17,1.17835949e-20,3.38889880e-25,1.53108878e-14,1.18727546e-24,5.74350784e-36,8.33447889e-24,1.35926618e-27,3.36645322e-24,1.31630406e-34,6.34950866e-34,8.23836012e-34,1.58124850e-32,7.36871745e-01,0.00000000e+00,6.24153975e-23,3.22408773e-19,2.17415650e-22,2.02152570e-21
2.00000000e-05,3.34828314e-11,5.51866354e-13,1.32346400e-11,2.23847176e-01,3.67445800e-11,3.23367016e-09,7.21445316e-08,1.59667319e-09,8.53725414e-33,1.03517940e-22,2.76613059e-17,3.90589989e-18,3.59126278e-08,3.92809618e-02,1.71942378e-12,2.01497552e-14,1.79868183e-15,4.27210172e-09,1.64326314e-18,5.39018986e-12,1.21854087e-11,7.32292057e-32,3.18812961e-20,1.53649153e-22,2.61043105e-13,1.95951805e-14,1.44368252e-11,2.65704408e-29,2.99777952e-20,1.35038061e-29,1.16059949e-22,2.32582622e-24,1.03580661e-32,3.47748865e-40,5.52743834e-17,3.88808495e-20,3.11635332e-24,5.04462049e-14,3.96803069e-24,4.00608523e-35,2.96767022e-23,5.21064829e-27,6.90137335e-24,2.21422711e-33,6.49449431e-33,1.22677534e-32,1.58213631e-31,7.36871745e-01,0.00000000e+00,6.94397071e-22,3.84221081e-18,2.46700304e-21,2.26258239e-20
3.00000000e-05,6.55922722e-11,7.91676771e-13,2.00508602e-11,2.23847134e-01,5.86531246e-11,7.29156574e-09,1.07171064e-07,3.26121692e-09,5.21196594e-32,1.59485325e-22,6.78545897e-17,9.62769280e-18,5.53247182e-08,3.92809383e-02,5.40263979e-12,6.91960050e-14,4.03371898e-15,9.50972623e-09,4.76310358e-18,8.73943386e-12,2.80080073e-11,5.77044204e-31,1.55709364e-19,8.63879693e-22,8.95357813e-13,4.74728651e-14,4.85352632e-11,2.43790883e-28,2.36756143e-19,1.48541878e-28,1.76201522e-22,5.30772932e-24,6.99297498e-32,5.99897743e-39,7.93891954e-17,8.34327983e-20,1.41536670e-23,1.06532124e-13,9.46243778e-24,1.47256730e-34,6.60504747e-23,1.24332012e-26,1.06341945e-23,1.75853938e-32,3.31374282e-32,9.04950876e-32,8.41229798e-31,7.36871745e-01,0.00000000e+00,3.85541327e-21,2.11241246e-17,1.40683832e-20,1.22505808e-19
4.00000000e-05,1.09693071e-10,1.05631625e-12,2.73406540e-11,2.23847089e-01,8.30903680e-11,1.33021304e-08,1.41475103e-07,5.39244126e-09,1.00777360e-31,2.18725504e-22,1.30363180e-16,1.85624895e-17,7.58676872e-08,3.92809122e-02,1.24776085e-11,1.69246334e-13,7.30225786e-15,1.70943024e-08,1.03100685e-17,1.25627883e-11,5.18167302e-11,2.71885917e-30,4.84530116e-19,2.95641693e-21,2.17383377e-12,9.00073655e-14,1.16579796e-10,1.34741975e-27,9.89365705e-19,8.13578139e-28,2.40520937e-22,9.81289517e-24,2.60392296e-31,4.95823489e-38,1.05857402e-16,1.46856847e-19,4.13492604e-23,1.83608839e-13,1.80872845e-23,3.71846879e-34,1.18780732e-22,2.33101006e-26,1.45853998e-23,7.12880586e-32,1.04876574e-31,3.55883000e-31,2.82518036e-30,7.36871745e-01,0.00000000e+00,1.30675645e-20,6.84468992e-17,4.84319151e-20,3.94488098e-19
5.00000000e-05,1.67246120e-10,1.34784994e-12,3.51435138e-11,2.23847042e-01,1.09944783e-10,2.15032092e-08,1.75057172e-07,7.89357315e-09,1.66369308e-31,2.81530562e-22,2.20642467e-16,3.15121510e-17,9.76386603e-08,3.92808834e-02,2.45115040e-11,3.49652670e-13,1.17269076e-14,2.72394976e-08,1.92822250e-17,1.68976448e-11,8.49157403e-11,1.13437042e-29,1.26127860e-18,8.48078369e-21,4.44444185e-12,1.50280351e-13,2.36658240e-10,7.28773169e-27,3.54504056e-18,4.34085544e-27,3.09361276e-22,1.62997597e-23,8.35140831e-31,4.82077408e-37,1.34876728e-16,2.30805736e-19,9.94585798e-23,2.81392675e-13,3.06621673e-23,7.93790971e-34,1.89493439e-22,3.87330891e-26,1.87745001e-23,2.45737982e-31,2.75014172e-31,1.19527889e-30,8.28009545e-30,7.36871745e-01,0.00000000e+00,3.71556677e-20,1.83463873e-16,1.39592114e-19,1.05475555e-18
6.00000000e-05,2.39354052e-10,1.66765778e-12,4.34864228e-11,2.23846991e-01,1.39140265e-10,3.20645302e-08,2.07918614e-07,1.06993472e-08,2.69754184e-31,3.48096465e-22,3.42364630e-16,4.90144125e-17,1.20701829e-07,3.92808517e-02,4.27232435e-11,6.34078063e-13,1.73984857e-14,4.01057279e-08,3.23447973e-17,2.17683864e-11,1.28292193e-10,3.12785799e-29,2.70587634e-18,1.91921385e-20,7.98552679e-12,2.30479258e-13,4.23223018e-10,2.23238871e-26,9.15739345e-18,1.32778891e-26,3.82962352e-22,2.51235173e-23,2.04910284e-30,1.71558815e-36,1.66579352e-16,3.36525006e-19,2.01026077e-22,3.99648340e-13,4.78931988e-23,1.47234527e-33,2.79435782e-22,5.93162384e-26,2.32145861e-23,6.23271053e-31,5.91234717e-31,2.99323729e-30,1.92959845e-29,7.36871745e-01,0.00000000e+00,8.36779243e-20,4.00783154e-16,3.17017176e-19,2.30253442e-18
7.00000000e-05,3.27241227e-10,2.01706809e-12,5.23919585e-11,2.23846937e-01,1.70622154e-10,4.51510574e-08,2.40061390e-07,1.37581960e-08,4.04084069e-31,4.18581196e-22,5.00986963e-16,7.18758505e-17,1.45107260e-07,3.92808169e-02,6.85680961e-11,1.05423917e-12,2.44247324e-14,5.58690404e-08,5.03150264e-17,2.71984878e-11,1.83043306e-10,6.95183349e-29,5.18569625e-18,3.73786900e-20,1.31586695e-11,3.33573775e-13,6.95046855e-10,5.44796424e-26,2.02767337e-17,3.35579708e-26,4.61523431e-22,3.67552413e-23,4.48426333e-30,5.21731255e-36,2.01092520e-16,4.65402966e-19,3.63914008e-22,5.38121276e-13,7.07328966e-23,2.50039039e-33,3.90070662e-22,8.58848656e-26,2.79162236e-23,1.39062370e-30,1.13538667e-30,6.61347057e-30,4.02011464e-29,7.36871745e-01,0.00000000e+00,1.62271299e-19,7.80212050e-16,6.19250400e-19,4.48608042e-18
8.00000000e-05,4.32353596e-10,2.39767644e-12,6.18877014e-11,2.23846879e-01,2.04322315e-10,6.09606031e-08,2.71487702e-07,1.70066405e-08,5.64200722e-31,4.93178950e-22,7.02804444e-16,1.01026256e-16,1.70916810e-07,3.92807788e-02,1.03751584e-10,1.64691737e-12,3.29321314e-14,7.47376314e-08,7.41506502e-17,3.32161732e-11,2.50464543e-10,1.34098769e-28,9.11936551e-18,6.56959204e-20,2.03843242e-11,4.63010698e-13,1.07395960e-09,1.12815490e-25,3.96665872e-17,7.18103995e-26,5.45287943e-22,5.17413758e-23,8.79192420e-30,1.26006934e-35,2.38569070e-16,6.19078873e-19,6.08719883e-22,6.96511773e-13,1.00283848e-22,3.98449224e-33,5.23116349e-22,1.19397343e-25,3.28923983e-23,2.75684362e-30,2.00059145e-30,1.30233703e-29,7.58641662e-29,7.36871745e-01,0.00000000e+00,2.84139799e-19,1.38974512e-15,1.09100295e-18,8.00103522e-18
9.00000000e-05,5.56160196e-10,2.81127256e-12,7.19961504e-11,2.23846818e-01,2.40215027e-10,7.96669922e-08,3.02198483e-07,2.04035917e-08,7.70449617e-31,5.72040036e-22,9.53887797e-16,1.37326845e-16,1.98168486e-07,3.92807372e-02,1.50151368e-10,2.45653411e-12,4.30659164e-14,9.69171888e-08,1.05103181e-16,3.98531410e-11,3.31869213e-10,2.65366675e-28,1.52199892e-17,1.13153671e-19,3.01763953e-11,6.23171616e-13,1.58661935e-09,2.45409427e-25,7.39879196e-17,1.51219203e-25,6.34453695e-22,7.07886297e-23,1.65512726e-29,3.29995654e-35,2.79180391e-16,7.99208544e-19,9.63167365e-22,8.74551038e-13,1.37960342e-22,6.08073374e-33,6.80434186e-22,1.61077093e-25,3.81531664e-23,5.20997031e-30,3.33495635e-30,2.44628985e-29,1.36877602e-28,7.36871745e-01,0.00000000e+00,4.87583738e-19,2.35245642e-15,1.88138164e-18,1.35720884e-17
1.00000000e-04,7.00353384e-10,3.25988096e-12,8.27432264e-11,2.23846752e-01,2.78268167e-10,1.01471511e-07,3.32195035e-07,2.39008188e-08,1.04138217e-30,6.55337753e-22,1.26136932e-15,1.81794669e-16,2.26907031e-07,3.92806920e-02,2.09923062e-10,3.53392463e-12,5.49920199e-14,1.22645133e-07,1.44587900e-16,4.71452252e-11,4.28770813e-10,5.06313000e-28,2.42868622e-17,1.89448940e-19,4.31215570e-11,8.19045653e-13,2.26346114e-09,5.03531197e-25,1.30566732e-16,2.96888060e-25,7.29248661e-22,9.47007130e-23,2.95022065e-29,7.61691734e-35,3.23120359e-16,1.00770081e-18,1.45876352e-21,1.07192476e-12,1.85373551e-22,8.96563767e-33,8.64161763e-22,2.12316343e-25,4.37101226e-23,9.28884475e-30,5.30545553e-30,4.34060416e-29,2.34970499e-28,7.36871745e-01,0.00000000e+00,8.13799794e-19,3.80581124e-15,3.15097527e-18,2.20082043e-17
