t(s),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.00000000e-05,1.68736709e-10,9.32680667e-12,1.20086318e-11,1.95694684e-01,2.87437339e-11,1.41233894e-09,3.08539447e-08,3.98734699e-10,1.93383538e-32,1.08544005e-22,1.32533193e-17,1.86953590e-18,3.26096575e-08,6.84931169e-02,3.03982335e-13,1.99510165e-15,4.83132835e-16,1.11627352e-09,2.94511581e-19,2.24235457e-12,2.88760333e-12,5.50008627e-33,3.48627260e-21,1.41964433e-23,3.91279162e-14,4.40874950e-15,2.09444784e-12,9.80054396e-31,1.28815560e-21,4.64098075e-31,1.19684155e-22,1.43830483e-24,1.92995936e-33,2.31525151e-41,3.22290140e-17,1.09855009e-20,2.06064761e-25,9.73127102e-15,1.07088756e-24,6.17523477e-36,8.62674267e-24,1.35634324e-27,2.29503587e-24,8.55826061e-35,4.12828247e-34,5.35636370e-34,1.05275000e-32,7.35812133e-01,0.00000000e+00,4.05205648e-23,2.04525739e-19,1.41292222e-22,1.28367163e-21
2.00000000e-05,4.64602790e-10,1.53152309e-11,2.31403252e-11,1.95694649e-01,6.04387872e-11,5.02124737e-09,6.11449631e-08,1.31313232e-09,1.98833340e-32,2.22427335e-22,5.51642919e-17,7.78944429e-18,6.68180684e-08,6.84930798e-02,1.71719646e-12,1.28079151e-14,1.73395186e-15,3.98010262e-09,1.48121985e-18,4.85865958e-12,1.06382611e-11,8.18415110e-32,3.42514144e-20,1.58919537e-22,2.60296063e-13,1.88614004e-14,1.34303841e-11,1.81158198e-29,1.99488626e-20,8.98617029e-30,2.31786113e-22,4.33313372e-24,1.80836049e-32,5.71183611e-40,5.32778552e-17,3.62474788e-20,1.89492410e-24,3.20625229e-14,3.57904702e-24,4.30721391e-35,3.07173701e-23,5.19944341e-27,4.70492188e-24,1.43963186e-33,4.22254831e-33,7.97616855e-33,1.05334108e-31,7.35812132e-01,0.00000000e+00,4.50808016e-22,2.43737476e-18,1.60323482e-21,1.43674296e-20
3.00000000e-05,9.10148614e-10,2.19703783e-11,3.50582582e-11,1.95694612e-01,9.64747375e-11,1.13223531e-08,9.08311495e-08,2.68208257e-09,1.21387108e-31,3.42683557e-22,1.35320812e-16,1.92002813e-17,1.02935681e-07,6.84930386e-02,5.39564127e-12,4.39834898e-14,3.88855572e-15,8.85973431e-09,4.29341070e-18,7.87763235e-12,2.44519083e-11,6.44908941e-31,1.67285105e-19,8.93511992e-22,8.92795513e-13,4.56951501e-14,4.51517019e-11,1.66217479e-28,1.57550471e-19,9.88478798e-29,3.51896292e-22,9.88857234e-24,1.22086686e-31,9.85342564e-39,7.65216326e-17,7.77819576e-20,8.60625287e-24,6.77095267e-14,8.53484068e-24,1.58325696e-34,6.83666556e-23,1.24064651e-26,7.24972435e-24,1.14335576e-32,2.15450787e-32,5.88375107e-32,5.60066726e-31,7.35812131e-01,0.00000000e+00,2.50296448e-21,1.34004641e-17,9.14264043e-21,7.77913583e-20
4.00000000e-05,1.52208474e-09,2.93145744e-11,4.78042187e-11,1.95694573e-01,1.36669981e-10,2.06555659e-08,1.19904998e-07,4.43483921e-09,2.34711287e-31,4.69971977e-22,2.59980223e-16,3.70187361e-17,1.41157376e-07,6.84929930e-02,1.24614451e-11,1.07579107e-13,7.03946821e-15,1.59259030e-08,9.29338567e-18,1.13239632e-11,4.52377037e-11,3.03861745e-30,5.20551038e-19,3.05782622e-21,2.16761278e-12,8.66368623e-14,1.08452614e-10,9.18675515e-28,6.58377986e-19,5.41399337e-28,4.80350140e-22,1.82819277e-23,4.54605266e-31,8.14398775e-38,1.02033799e-16,1.36910342e-19,2.51427556e-23,1.16697829e-13,1.63141988e-23,3.99797796e-34,1.22945996e-22,2.32599750e-26,9.94340731e-24,4.63496087e-32,6.81879726e-32,2.31385706e-31,1.88092423e-30,7.35812130e-01,0.00000000e+00,8.48356521e-21,4.34205077e-17,3.14745184e-20,2.50500489e-19
5.00000000e-05,2.32068228e-09,3.74051306e-11,6.14472578e-11,1.95694531e-01,1.80841074e-10,3.33902120e-08,1.48366953e-07,6.49181437e-09,3.87475463e-31,6.04920193e-22,4.40022081e-16,6.28439413e-17,1.81663862e-07,6.84929427e-02,2.44797520e-11,2.22251914e-13,1.13048861e-14,2.53776718e-08,1.73807916e-17,1.52313565e-11,7.41342241e-11,1.26778090e-29,1.35504453e-18,8.77168657e-21,4.43172291e-12,1.44652807e-13,2.20159974e-10,4.96880102e-27,2.35906364e-18,2.88864233e-27,6.17832833e-22,3.03672893e-23,1.45802861e-30,7.91820594e-37,1.30004937e-16,2.15173437e-19,6.04766019e-23,1.78847132e-13,2.76563733e-23,8.53458499e-34,1.96138373e-22,3.86497980e-26,1.27992722e-23,1.59772331e-31,1.78806935e-31,7.77138696e-31,5.51265057e-30,7.35812129e-01,0.00000000e+00,2.41217503e-20,1.16383570e-16,9.07169280e-20,6.69771234e-19
6.00000000e-05,3.32124120e-09,4.62803423e-11,7.60345547e-11,1.95694486e-01,2.28862837e-10,4.97898451e-08,1.76218150e-07,8.79933263e-09,6.28259672e-31,7.47949277e-22,6.82769724e-16,9.77482893e-17,2.24574571e-07,6.84928871e-02,4.26679000e-11,4.03043006e-13,1.67723584e-14,3.73644922e-08,2.91552547e-17,1.96217909e-11,1.12003289e-10,3.49571758e-29,2.90703649e-18,1.98504560e-20,7.96267407e-12,2.21848507e-13,3.93718673e-10,1.52205045e-26,6.09382980e-18,8.83583266e-27,7.64823308e-22,4.68064028e-23,3.57742125e-30,2.81788361e-36,1.60562452e-16,3.13732418e-19,1.22235548e-22,2.54007888e-13,4.31982569e-23,1.58301823e-33,2.89234707e-22,5.91886854e-26,1.58262432e-23,4.05234339e-31,3.84405161e-31,1.94612365e-30,1.28467142e-29,7.35812126e-01,0.00000000e+00,5.43243633e-20,2.54243920e-16,2.06020407e-19,1.46211254e-18
7.00000000e-05,4.54075055e-09,5.59770731e-11,9.16055855e-11,1.95694438e-01,2.80645361e-10,7.01106217e-08,2.03460253e-07,1.13149840e-08,9.41115055e-31,8.99398683e-22,9.99106507e-16,1.43340317e-16,2.69982658e-07,6.84928262e-02,6.84792731e-11,6.70112639e-13,2.35457484e-14,5.20503785e-08,4.53534270e-17,2.45164261e-11,1.59802804e-10,7.76942129e-29,5.57121105e-18,3.86608317e-20,1.31210124e-11,3.21082444e-13,6.46592725e-10,3.71444110e-26,1.34932461e-17,2.23313067e-26,9.21719521e-22,6.84769015e-23,7.82884031e-30,8.56952726e-36,1.93828993e-16,4.33881568e-19,2.21280884e-22,3.42018306e-13,6.37989924e-23,2.68833924e-33,4.03749199e-22,8.57001794e-26,1.90315236e-23,9.04146715e-31,7.38198355e-31,4.29990347e-30,2.67647726e-29,7.35812123e-01,0.00000000e+00,1.05347797e-19,4.94941384e-16,4.02433146e-19,2.84866727e-18
8.00000000e-05,5.99927410e-09,6.65396023e-11,1.08208573e-10,1.95694386e-01,3.36076578e-10,9.46597048e-08,2.30095128e-07,1.39865622e-08,1.31402803e-30,1.05968567e-21,1.40158635e-15,2.01474283e-16,3.18003210e-07,6.84927595e-02,1.03617184e-10,1.04684038e-12,3.17469875e-14,6.96292965e-08,6.68386032e-17,2.99407034e-11,2.18663752e-10,1.49869790e-28,9.79731695e-18,6.79493827e-20,2.03259888e-11,4.45672344e-13,9.99090140e-10,7.69179961e-26,2.63963136e-17,4.77865619e-26,1.08900763e-21,9.63968391e-23,1.53493596e-29,2.06968596e-35,2.29951877e-16,5.77149118e-19,3.70137093e-22,4.42687895e-13,9.04530815e-23,4.28399775e-33,5.41460373e-22,1.19140591e-25,2.24239661e-23,1.79242672e-30,1.30073159e-30,8.46745056e-30,5.05081900e-29,7.35812120e-01,0.00000000e+00,1.84465779e-19,8.81609522e-16,7.09011649e-19,5.08066840e-18
9.00000000e-05,7.71719601e-09,7.80175983e-11,1.25882857e-10,1.95694331e-01,3.95114179e-10,1.23707010e-07,2.56123566e-07,1.67802749e-08,1.79438336e-30,1.22913321e-21,1.90231596e-15,2.73867691e-16,3.68706941e-07,6.84926866e-02,1.49956860e-10,1.56146212e-12,4.15160831e-14,9.02928754e-08,9.47388827e-17,3.59231949e-11,2.89732694e-10,2.96575785e-28,1.63514728e-17,1.17035000e-19,3.00900371e-11,5.99835715e-13,1.47601059e-09,1.67321005e-25,4.92356025e-17,1.00629516e-25,1.26708269e-21,1.31882850e-22,2.88959990e-29,5.42023638e-35,2.69096302e-16,7.45078734e-19,5.85661775e-22,5.55845818e-13,1.24436170e-22,6.53780906e-33,7.04294842e-22,1.60730712e-25,2.60104264e-23,3.38738473e-30,2.16830030e-30,1.59051288e-29,9.11291885e-29,7.35812116e-01,0.00000000e+00,3.16543174e-19,1.49232253e-15,1.22265617e-18,8.61829481e-18
1.00000000e-04,9.71799913e-09,9.04672444e-11,1.44673759e-10,1.95694273e-01,4.57705329e-10,1.57565095e-07,2.81546669e-07,1.96564562e-08,2.42538744e-30,1.40811366e-21,2.51551909e-15,3.62548822e-16,4.22177101e-07,6.84926073e-02,2.09651125e-10,2.24629058e-12,5.30129960e-14,1.14262308e-07,1.30329986e-16,4.24962014e-11,3.74330963e-10,5.65859201e-28,2.60923947e-17,1.95947302e-19,4.29981523e-11,7.88374854e-13,2.10566737e-09,3.43309328e-25,8.68862334e-17,1.97565528e-25,1.45639998e-21,1.76432287e-22,5.15063552e-29,1.25109200e-34,3.11449141e-16,9.39449963e-19,8.87013053e-22,6.81292302e-13,1.67201489e-22,9.63956479e-33,8.94465153e-22,2.11859776e-25,2.97988090e-23,6.03936083e-30,3.44946666e-30,2.82214586e-29,1.56436630e-28,7.35812112e-01,0.00000000e+00,5.28325184e-19,2.41428398e-15,2.04772878e-18,1.39752399e-17
