Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
4.470121e-03    4.469945e-03    1.765278e-07    5.000099e-01    2 O + M <=> O2 + M
2.999550e-03    2.999366e-03    1.846384e-07    5.000154e-01    H + O + M <=> OH + M
2.011067e+01    2.011065e+01    1.511084e-05    5.000002e-01    H2 + O <=> H + OH
1.489133e-01    1.489109e-01    2.422287e-06    5.000041e-01    HO2 + O <=> O2 + OH
1.085794e-02    1.085790e-02    4.624096e-08    5.000011e-01    H2O2 + O <=> HO2 + OH
8.943026e-13    9.057125e-13    -1.140993e-14   4.968306e-01    CH + O <=> CO + H
1.075752e-12    1.542284e-12    -4.665323e-13   4.109003e-01    CH2 + O <=> H + HCO
1.628106e-14    2.168127e-14    -5.400209e-15   4.288741e-01    CH2(S) + O <=> CO + H2
1.628106e-14    2.168236e-14    -5.401302e-15   4.288618e-01    CH2(S) + O <=> H + HCO
1.487253e-12    2.112017e-12    -6.247639e-13   4.132097e-01    CH3 + O <=> CH2O + H
1.282532e-13    1.282530e-13    2.119644e-19    5.000004e-01    CH4 + O <=> CH3 + OH
2.497707e-02    2.497519e-02    1.886413e-06    5.000189e-01    CO + O (+M) <=> CO2 (+M)
3.361312e-05    3.361140e-05    1.718869e-09    5.000128e-01    HCO + O <=> CO + OH
3.361312e-05    3.361093e-05    2.188464e-09    5.000163e-01    HCO + O <=> CO2 + H
2.084259e-07    2.084259e-07    6.872204e-14    5.000001e-01    CH2O + O <=> HCO + OH
8.315593e-13    8.330060e-13    -1.446637e-15   4.995655e-01    CH2OH + O <=> CH2O + OH
1.581848e-14    1.596683e-14    -1.483523e-16   4.976663e-01    CH3O + O <=> CH2O + OH
2.045762e-13    2.126788e-13    -8.102560e-15   4.902906e-01    CH3OH + O <=> CH2OH + OH
4.670102e-14    4.818326e-14    -1.482246e-15   4.921892e-01    CH3OH + O <=> CH3O + OH
4.138814e-19    4.542175e-19    -4.033608e-20   4.767676e-01    C2H + O <=> CH + CO
2.306162e-17    2.521513e-17    -2.153514e-18   4.776962e-01    C2H2 + O <=> H + HCCO
8.724967e-19    8.884130e-19    -1.591635e-20   4.954806e-01    C2H2 + O <=> C2H + OH
1.185538e-17    9.359019e-18    2.496360e-18    5.588365e-01    C2H2 + O <=> CH2 + CO
1.842268e-22    1.666633e-22    1.756346e-23    5.250270e-01    C2H3 + O <=> CH2CO + H
4.089174e-23    3.438824e-23    6.503499e-24    5.431954e-01    C2H4 + O <=> CH3 + HCO
8.713518e-28    8.703373e-28    1.014559e-30    5.002913e-01    C2H5 + O <=> CH2O + CH3
1.009907e-28    1.173748e-28    -1.638406e-29   4.624848e-01    C2H6 + O <=> C2H5 + OH
1.021324e-14    1.057216e-14    -3.589202e-16   4.913660e-01    HCCO + O <=> 2 CO + H
8.470297e-17    1.040021e-16    -1.929917e-17   4.488642e-01    CH2CO + O <=> HCCO + OH
5.677778e-17    5.033376e-17    6.444018e-18    5.300809e-01    CH2CO + O <=> CH2 + CO2
2.237472e-02    2.237391e-02    8.063087e-07    5.000090e-01    CO + O2 <=> CO2 + O
1.263907e-08    1.263927e-08    -2.014284e-13   4.999960e-01    CH2O + O2 <=> HCO + HO2
1.302596e-01    1.302537e-01    5.899417e-06    5.000113e-01    H + O2 + M <=> HO2 + M
2.224913e-02    2.224812e-02    1.007656e-06    5.000113e-01    H + 2 O2 <=> HO2 + O2
1.249977e+00    1.249920e+00    5.661104e-05    5.000113e-01    H + H2O + O2 <=> H2O + HO2
3.758339e-01    3.758169e-01    1.702140e-05    5.000113e-01    H + N2 + O2 <=> HO2 + N2
0.000000e+00    0.000000e+00    0.000000e+00    -nan(ind)       AR + H + O2 <=> AR + HO2
5.925050e+01    5.924919e+01    1.307399e-03    5.000055e-01    H + O2 <=> O + OH
8.009151e-04    8.008664e-04    4.869886e-08    5.000152e-01    2 H + M <=> H2 + M
2.949000e-06    2.948821e-06    1.793111e-10    5.000152e-01    2 H + H2 <=> 2 H2
1.105609e-03    1.105542e-03    6.722550e-08    5.000152e-01    2 H + H2O <=> H2 + H2O
1.401760e-05    1.401674e-05    8.523263e-10    5.000152e-01    CO2 + 2 H <=> CO2 + H2
2.200675e-01    2.200539e-01    1.358675e-05    5.000154e-01    H + OH + M <=> H2O + M
7.375542e-03    7.375258e-03    2.840715e-07    5.000096e-01    H + HO2 <=> H2O + O
7.681789e-02    7.681670e-02    1.191834e-06    5.000039e-01    H + HO2 <=> H2 + O2
1.571955e-01    1.571895e-01    6.025569e-06    5.000096e-01    H + HO2 <=> 2 OH
3.059218e-03    3.059207e-03    1.072972e-08    5.000009e-01    H + H2O2 <=> H2 + HO2
5.625021e-04    5.624780e-04    2.406040e-08    5.000107e-01    H + H2O2 <=> H2O + OH
7.396802e-13    7.557991e-13    -1.611894e-14   4.946108e-01    CH + H <=> C + H2
4.042424e-15    4.080891e-15    -3.846753e-17   4.976323e-01    CH2 + H (+M) <=> CH3 (+M)
9.303857e-15    1.223374e-14    -2.929881e-15   4.319822e-01    CH2(S) + H <=> CH + H2
2.537539e-14    2.537387e-14    1.520056e-18    5.000150e-01    CH3 + H (+M) <=> CH4 (+M)
3.855528e-14    3.855524e-14    3.475059e-20    5.000002e-01    CH4 + H <=> CH3 + H2
4.324748e-08    4.324483e-08    2.647856e-12    5.000153e-01    H + HCO (+M) <=> CH2O (+M)
2.349817e-05    2.349699e-05    1.183967e-09    5.000126e-01    H + HCO <=> CO + H2
