t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e-05,1.19999981e+03,5.06625000e+05,1.42043518e+00,1.42043495e+00,9.99999839e-01,5.41203389e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.00000000e-05,1.19999962e+03,5.06625000e+05,1.42043540e+00,1.42043495e+00,9.99999684e-01,5.41203444e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.00000000e-05,1.19999944e+03,5.06625000e+05,1.42043561e+00,1.42043495e+00,9.99999539e-01,5.41203495e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.00000000e-05,1.19999928e+03,5.06625000e+05,1.42043580e+00,1.42043495e+00,9.99999402e-01,5.41203544e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.00000000e-05,1.19999912e+03,5.06625000e+05,1.42043598e+00,1.42043495e+00,9.99999277e-01,5.41203589e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.00000000e-05,1.19999898e+03,5.06625000e+05,1.42043614e+00,1.42043495e+00,9.99999162e-01,5.41203630e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.00000000e-05,1.19999886e+03,5.06625000e+05,1.42043629e+00,1.42043495e+00,9.99999060e-01,5.41203666e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.00000000e-05,1.19999874e+03,5.06625000e+05,1.42043642e+00,1.42043495e+00,9.99998971e-01,5.41203698e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.00000000e-05,1.19999865e+03,5.06625000e+05,1.42043652e+00,1.42043495e+00,9.99998896e-01,5.41203724e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.00000000e-04,1.19999857e+03,5.06625000e+05,1.42043660e+00,1.42043495e+00,9.99998838e-01,5.41203745e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.10000000e-04,1.19999851e+03,5.06625000e+05,1.42043666e+00,1.42043495e+00,9.99998796e-01,5.41203760e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.20000000e-04,1.19999847e+03,5.06625000e+05,1.42043670e+00,1.42043495e+00,9.99998773e-01,5.41203768e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.30000000e-04,1.19999846e+03,5.06625000e+05,1.42043670e+00,1.42043495e+00,9.99998770e-01,5.41203769e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.40000000e-04,1.19999847e+03,5.06625000e+05,1.42043667e+00,1.42043495e+00,9.99998789e-01,5.41203763e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.50000000e-04,1.19999851e+03,5.06625000e+05,1.42043662e+00,1.42043495e+00,9.99998830e-01,5.41203748e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.60000000e-04,1.19999857e+03,5.06625000e+05,1.42043652e+00,1.42043495e+00,9.99998896e-01,5.41203724e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.70000000e-04,1.19999867e+03,5.06625000e+05,1.42043639e+00,1.42043495e+00,9.99998989e-01,5.41203692e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.80000000e-04,1.19999880e+03,5.06625000e+05,1.42043622e+00,1.42043495e+00,9.99999109e-01,5.41203649e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.90000000e-04,1.19999896e+03,5.06625000e+05,1.42043601e+00,1.42043495e+00,9.99999259e-01,5.41203596e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.00000000e-04,1.19999916e+03,5.06625000e+05,1.42043575e+00,1.42043495e+00,9.99999440e-01,5.41203531e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.10000000e-04,1.19999940e+03,5.06625000e+05,1.42043545e+00,1.42043495e+00,9.99999654e-01,5.41203456e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.20000000e-04,1.19999967e+03,5.06625000e+05,1.42043509e+00,1.42043495e+00,9.99999902e-01,5.41203367e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.30000000e-04,1.20000000e+03,5.06625000e+05,1.42043469e+00,1.42043495e+00,1.00000019e+00,5.41203266e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.40000000e-04,1.20000036e+03,5.06625000e+05,1.42043423e+00,1.42043495e+00,1.00000051e+00,5.41203152e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.50000000e-04,1.20000077e+03,5.06625000e+05,1.42043371e+00,1.42043495e+00,1.00000087e+00,5.41203023e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.60000000e-04,1.20000124e+03,5.06625000e+05,1.42043314e+00,1.42043495e+00,1.00000128e+00,5.41202879e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.70000000e-04,1.20000175e+03,5.06625000e+05,1.42043251e+00,1.42043495e+00,1.00000172e+00,5.41202720e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.80000000e-04,1.20000232e+03,5.06625000e+05,1.42043181e+00,1.42043495e+00,1.00000221e+00,5.41202546e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.90000000e-04,1.20000294e+03,5.06625000e+05,1.42043105e+00,1.42043495e+00,1.00000275e+00,5.41202354e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
