Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
1.375742e-19    9.371421e-28    1.375742e-19    1.000000e+00    2 O + M <=> O2 + M
8.000958e-18    2.614379e-33    8.000958e-18    1.000000e+00    H + O + M <=> OH + M
1.805447e-08    7.362508e-17    1.805447e-08    1.000000e+00    H2 + O <=> H + OH
6.479950e-11    8.478883e-22    6.479950e-11    1.000000e+00    HO2 + O <=> O2 + OH
2.467864e-11    2.490847e-18    2.467864e-11    9.999999e-01    H2O2 + O <=> HO2 + OH
2.983043e-08    7.449361e-13    2.982968e-08    9.999750e-01    H + O2 + M <=> HO2 + M
8.862247e-09    2.213112e-13    8.862025e-09    9.999750e-01    H + 2 O2 <=> HO2 + O2
9.444375e-09    2.358483e-13    9.444139e-09    9.999750e-01    H + H2O + O2 <=> H2O + HO2
0.000000e+00    0.000000e+00    0.000000e+00    -nan(ind)       H + N2 + O2 <=> HO2 + N2
0.000000e+00    0.000000e+00    0.000000e+00    -nan(ind)       AR + H + O2 <=> AR + HO2
1.799829e-08    8.633551e-16    1.799829e-08    1.000000e+00    H + O2 <=> O + OH
5.230595e-17    4.191182e-24    5.230594e-17    9.999999e-01    2 H + M <=> H2 + M
1.343890e-16    1.076835e-23    1.343890e-16    9.999999e-01    2 H + H2 <=> 2 H2
4.826066e-17    3.867041e-24    4.826066e-17    9.999999e-01    2 H + H2O <=> H2 + H2O
4.661613e-17    2.937608e-27    4.661613e-17    1.000000e+00    H + OH + M <=> H2O + M
1.487589e-10    1.800691e-23    1.487589e-10    1.000000e+00    H + HO2 <=> H2O + O
1.295071e-09    4.155462e-12    1.290915e-09    9.968016e-01    H + HO2 <=> H2 + O2
3.222473e-09    2.022621e-27    3.222473e-09    1.000000e+00    H + HO2 <=> 2 OH
2.537989e-10    6.281659e-09    -6.027861e-09   3.883414e-02    H + H2O2 <=> H2 + HO2
1.006524e-09    1.229720e-29    1.006524e-09    1.000000e+00    H + H2O2 <=> H2O + OH
4.776039e-08    3.756125e-11    4.772282e-08    9.992142e-01    H2 + OH <=> H + H2O
4.027127e-19    2.077165e-09    -2.077165e-09   1.938761e-10    2 OH (+M) <=> H2O2 (+M)
1.540267e-17    2.970484e-12    -2.970468e-12   5.185213e-06    2 OH <=> H2O + O
1.322143e-11    3.336387e-17    1.322139e-11    9.999975e-01    HO2 + OH <=> H2O + O2
1.812516e-11    3.528082e-13    1.777235e-11    9.809065e-01    H2O2 + OH <=> H2O + HO2
9.156150e-14    1.782255e-15    8.977925e-14    9.809065e-01    H2O2 + OH <=> H2O + HO2
1.270864e-08    1.647556e-12    1.270699e-08    9.998704e-01    2 HO2 <=> H2O2 + O2
5.558057e-09    7.205501e-13    5.557336e-09    9.998704e-01    2 HO2 <=> H2O2 + O2
3.965971e-14    1.000801e-19    3.965961e-14    9.999975e-01    HO2 + OH <=> H2O + O2
