t(s),N2,NH3,H2
1.00000000e-08,8.35946379e-01,1.78330902e-19,1.64053625e-01
1.45000000e-08,8.36227622e-01,2.13717820e-18,1.63772383e-01
1.90000000e-08,8.36295820e-01,1.28246577e-17,1.63704185e-01
2.35000000e-08,8.36317919e-01,5.17672622e-17,1.63682085e-01
2.80000000e-08,8.36328785e-01,1.61587128e-16,1.63671219e-01
3.25000000e-08,8.36337377e-01,4.21297308e-16,1.63662628e-01
3.70000000e-08,8.36345534e-01,9.61624794e-16,1.63654470e-01
4.15000000e-08,8.36353258e-01,1.98166648e-15,1.63646746e-01
4.60000000e-08,8.36359603e-01,3.76605228e-15,1.63640402e-01
5.05000000e-08,8.36366723e-01,6.70208529e-15,1.63633282e-01
5.50000000e-08,8.36373174e-01,1.12965893e-14,1.63626830e-01
5.95000000e-08,8.36379397e-01,1.81912787e-14,1.63620607e-01
6.40000000e-08,8.36385567e-01,2.81776238e-14,1.63614437e-01
6.85000000e-08,8.36391119e-01,4.22090153e-14,1.63608886e-01
7.30000000e-08,8.36396851e-01,6.14130140e-14,1.63603153e-01
7.75000000e-08,8.36402006e-01,8.71006888e-14,1.63597998e-01
8.20000000e-08,8.36406797e-01,1.20771165e-13,1.63593207e-01
8.65000000e-08,8.36411961e-01,1.64127466e-13,1.63588044e-01
9.10000000e-08,8.36417146e-01,2.19068666e-13,1.63582859e-01
9.55000000e-08,8.36421685e-01,2.87697713e-13,1.63578319e-01
1.00000000e-07,8.36425648e-01,3.72327508e-13,1.63574356e-01
1.45000000e-07,8.36461270e-01,2.75053278e-12,1.63538735e-01
1.90000000e-07,8.36486050e-01,1.06654379e-11,1.63513955e-01
2.35000000e-07,8.36503541e-01,2.90162646e-11,1.63496464e-01
2.80000000e-07,8.36516043e-01,6.32489599e-11,1.63483961e-01
3.25000000e-07,8.36525042e-01,1.18690384e-10,1.63474962e-01
3.70000000e-07,8.36531542e-01,2.00012289e-10,1.63468462e-01
4.15000000e-07,8.36536270e-01,3.11005558e-10,1.63463734e-01
4.60000000e-07,8.36539710e-01,4.54517108e-10,1.63460294e-01
5.05000000e-07,8.36542218e-01,6.32566723e-10,1.63457786e-01
5.50000000e-07,8.36544047e-01,8.46386337e-10,1.63455957e-01
5.95000000e-07,8.36545377e-01,1.09657484e-09,1.63454626e-01
6.40000000e-07,8.36546342e-01,1.38327433e-09,1.63453661e-01
6.85000000e-07,8.36547041e-01,1.70629862e-09,1.63452961e-01
7.30000000e-07,8.36547546e-01,2.06515700e-09,1.63452456e-01
7.75000000e-07,8.36547906e-01,2.45913911e-09,1.63452096e-01
8.20000000e-07,8.36548159e-01,2.88747714e-09,1.63451843e-01
8.65000000e-07,8.36548334e-01,3.34941301e-09,1.63451667e-01
9.10000000e-07,8.36548451e-01,3.84413870e-09,1.63451549e-01
9.55000000e-07,8.36548526e-01,4.37080327e-09,1.63451474e-01
1.00000000e-06,8.36548569e-01,4.92863185e-09,1.63451430e-01
1.45000000e-06,8.36548363e-01,1.20887324e-08,1.63451629e-01
1.90000000e-06,8.36547933e-01,2.18700633e-08,1.63452050e-01
2.35000000e-06,8.36547490e-01,3.41154716e-08,1.63452480e-01
2.80000000e-06,8.36547046e-01,4.87773415e-08,1.63452910e-01
3.25000000e-06,8.36546600e-01,6.58402735e-08,1.63453339e-01
3.70000000e-06,8.36546152e-01,8.52955945e-08,1.63453767e-01
4.15000000e-06,8.36545704e-01,1.07136424e-07,1.63454194e-01
4.60000000e-06,8.36545254e-01,1.31357151e-07,1.63454619e-01
5.05000000e-06,8.36544803e-01,1.57952296e-07,1.63455044e-01
5.50000000e-06,8.36544350e-01,1.86916308e-07,1.63455467e-01
5.95000000e-06,8.36543896e-01,2.18243637e-07,1.63455890e-01
6.40000000e-06,8.36543441e-01,2.51928752e-07,1.63456311e-01
6.85000000e-06,8.36542984e-01,2.87966164e-07,1.63456732e-01
7.30000000e-06,8.36542526e-01,3.26350364e-07,1.63457152e-01
7.75000000e-06,8.36542067e-01,3.67061323e-07,1.63457570e-01
8.20000000e-06,8.36541607e-01,4.10103748e-07,1.63457987e-01
8.65000000e-06,8.36541145e-01,4.55480977e-07,1.63458404e-01
9.10000000e-06,8.36540682e-01,5.03189624e-07,1.63458819e-01
9.55000000e-06,8.36540217e-01,5.53196561e-07,1.63459234e-01
1.00000000e-05,8.36539752e-01,6.05522025e-07,1.63459647e-01
1.45000000e-05,8.36535024e-01,1.25489058e-06,1.63463726e-01
