t(s),N2,NH3,H2
1.00000000e-08,2.68309210e-01,9.41496566e-20,7.31690790e-01
1.45000000e-08,2.68712285e-01,1.12963652e-18,7.31287715e-01
1.90000000e-08,2.68810168e-01,6.78057497e-18,7.31189832e-01
2.35000000e-08,2.68841898e-01,2.73725793e-17,7.31158102e-01
2.80000000e-08,2.68857502e-01,8.54450390e-17,7.31142498e-01
3.25000000e-08,2.68869840e-01,2.22784126e-16,7.31130160e-01
3.70000000e-08,2.68881556e-01,5.08529203e-16,7.31118444e-01
4.15000000e-08,2.68892651e-01,1.04798416e-15,7.31107349e-01
4.60000000e-08,2.68901764e-01,1.99169083e-15,7.31098236e-01
5.05000000e-08,2.68911991e-01,3.54452749e-15,7.31088009e-01
5.50000000e-08,2.68921259e-01,5.97457967e-15,7.31078741e-01
5.95000000e-08,2.68930200e-01,9.62131541e-15,7.31069800e-01
6.40000000e-08,2.68939064e-01,1.49034461e-14,7.31060936e-01
6.85000000e-08,2.68947040e-01,2.23253128e-14,7.31052960e-01
7.30000000e-08,2.68955277e-01,3.24835187e-14,7.31044723e-01
7.75000000e-08,2.68962685e-01,4.60716249e-14,7.31037315e-01
8.20000000e-08,2.68969569e-01,6.38827826e-14,7.31030431e-01
8.65000000e-08,2.68976989e-01,8.68182708e-14,7.31023011e-01
9.10000000e-08,2.68984440e-01,1.15882931e-13,7.31015560e-01
9.55000000e-08,2.68990964e-01,1.52189186e-13,7.31009036e-01
1.00000000e-07,2.68996659e-01,1.96960729e-13,7.31003341e-01
1.45000000e-07,2.69047863e-01,1.45524297e-12,7.30952137e-01
1.90000000e-07,2.69083492e-01,5.64341538e-12,7.30916508e-01
2.35000000e-07,2.69108644e-01,1.53545235e-11,7.30891356e-01
2.80000000e-07,2.69126626e-01,3.34711594e-11,7.30873374e-01
3.25000000e-07,2.69139569e-01,6.28129394e-11,7.30860431e-01
3.70000000e-07,2.69148919e-01,1.05852709e-10,7.30851081e-01
4.15000000e-07,2.69155721e-01,1.64597019e-10,7.30844279e-01
4.60000000e-07,2.69160670e-01,2.40552708e-10,7.30839330e-01
5.05000000e-07,2.69164278e-01,3.34788765e-10,7.30835722e-01
5.50000000e-07,2.69166909e-01,4.47957152e-10,7.30833090e-01
5.95000000e-07,2.69168823e-01,5.80374741e-10,7.30831176e-01
6.40000000e-07,2.69170212e-01,7.32116654e-10,7.30829788e-01
6.85000000e-07,2.69171218e-01,9.03084247e-10,7.30828781e-01
7.30000000e-07,2.69171945e-01,1.09301774e-09,7.30828054e-01
7.75000000e-07,2.69172463e-01,1.30154109e-09,7.30827536e-01
8.20000000e-07,2.69172827e-01,1.52824786e-09,7.30827171e-01
8.65000000e-07,2.69173079e-01,1.77273681e-09,7.30826919e-01
9.10000000e-07,2.69173249e-01,2.03458023e-09,7.30826749e-01
9.55000000e-07,2.69173357e-01,2.31332775e-09,7.30826641e-01
1.00000000e-06,2.69173420e-01,2.60856923e-09,7.30826577e-01
1.45000000e-06,2.69173130e-01,6.39817908e-09,7.30826863e-01
1.90000000e-06,2.69172522e-01,1.15751042e-08,7.30827467e-01
2.35000000e-06,2.69171898e-01,1.80561632e-08,7.30828084e-01
2.80000000e-06,2.69171274e-01,2.58161480e-08,7.30828700e-01
3.25000000e-06,2.69170651e-01,3.48469015e-08,7.30829315e-01
3.70000000e-06,2.69170028e-01,4.51438266e-08,7.30829927e-01
4.15000000e-06,2.69169405e-01,5.67032753e-08,7.30830538e-01
4.60000000e-06,2.69168784e-01,6.95222706e-08,7.30831146e-01
5.05000000e-06,2.69168163e-01,8.35979068e-08,7.30831753e-01
5.50000000e-06,2.69167543e-01,9.89272391e-08,7.30832358e-01
5.95000000e-06,2.69166923e-01,1.15507323e-07,7.30832961e-01
6.40000000e-06,2.69166304e-01,1.33335227e-07,7.30833563e-01
6.85000000e-06,2.69165685e-01,1.52408037e-07,7.30834162e-01
7.30000000e-06,2.69165067e-01,1.72722832e-07,7.30834760e-01
7.75000000e-06,2.69164450e-01,1.94269005e-07,7.30835356e-01
8.20000000e-06,2.69163833e-01,2.17049042e-07,7.30835950e-01
8.65000000e-06,2.69163217e-01,2.41064702e-07,7.30836542e-01
9.10000000e-06,2.69162601e-01,2.66314188e-07,7.30837132e-01
9.55000000e-06,2.69161986e-01,2.92779959e-07,7.30837721e-01
1.00000000e-05,2.69161372e-01,3.20472723e-07,7.30838308e-01
1.45000000e-05,2.69155259e-01,6.64139907e-07,7.30844077e-01
1.90000000e-05,2.69149203e-01,1.12727008e-06,7.30849669e-01
2.35000000e-05,2.69143204e-01,1.70713129e-06,7.30855089e-01
2.80000000e-05,2.69137259e-01,2.40109085e-06,7.30860340e-01
3.25000000e-05,2.69131369e-01,3.20649410e-06,7.30865425e-01
3.70000000e-05,2.69125531e-01,4.12087755e-06,7.30870348e-01
4.15000000e-05,2.69119745e-01,5.14174180e-06,7.30875114e-01
4.60000000e-05,2.69114010e-01,6.26672296e-06,7.30879724e-01
5.05000000e-05,2.69108324e-01,7.49355502e-06,7.30884182e-01
5.50000000e-05,2.69102688e-01,8.81993376e-06,7.30888492e-01
5.95000000e-05,2.69097100e-01,1.02437368e-05,7.30892656e-01
6.40000000e-05,2.69091559e-01,1.17627964e-05,7.30896678e-01
6.85000000e-05,2.69086065e-01,1.33750599e-05,7.30900560e-01
