t(s),N2,NH3,H2
1.00000000e-08,3.62656484e-07,1.15249627e-18,-6.48735221e-03
1.45000000e-08,6.76461636e-10,7.26454318e-18,-1.69511778e-03
1.90000000e-08,-8.32070472e-08,3.50735066e-17,-4.40602690e-04
2.35000000e-08,-1.08848686e-07,1.25845642e-16,-1.88179800e-04
2.80000000e-08,-1.02771350e-07,3.03598367e-16,-1.40432363e-04
3.25000000e-08,-9.40893898e-08,6.40721271e-16,-1.10704182e-04
3.70000000e-08,-8.95622124e-08,1.16284753e-15,-1.09873373e-04
4.15000000e-08,-6.69490180e-08,2.25764424e-15,-1.83232494e-04
4.60000000e-08,-6.48609651e-08,4.02803763e-15,-9.09146198e-05
5.05000000e-08,-8.37683312e-08,6.72473976e-15,-1.16067646e-04
5.50000000e-08,-6.84495315e-08,8.50732959e-15,-1.22701215e-04
5.95000000e-08,-7.81868124e-08,1.31396905e-14,-6.56954383e-05
6.40000000e-08,-6.69746573e-08,1.94784439e-14,-1.09438057e-04
6.85000000e-08,-6.99523354e-08,2.78896857e-14,-6.36321586e-05
7.30000000e-08,-7.06737998e-08,3.30038581e-14,-8.10618821e-05
7.75000000e-08,-6.03754212e-08,4.52306054e-14,-7.97381628e-05
8.20000000e-08,-6.14523638e-08,5.85723046e-14,-8.34513991e-05
8.65000000e-08,-4.39341356e-08,8.09680474e-14,-7.02374804e-05
9.10000000e-08,-5.83796356e-08,1.03326723e-13,-5.82205434e-05
9.55000000e-08,-5.68333900e-08,1.20933874e-13,-6.05121862e-05
1.00000000e-07,-4.08247190e-08,1.40408180e-13,-5.21834188e-05
1.45000000e-07,-4.27740606e-08,7.54415730e-13,-3.15780166e-05
1.90000000e-07,-3.55009453e-08,1.85308661e-12,-2.81623146e-05
2.35000000e-07,-3.03215583e-08,3.88613353e-12,-2.16805214e-05
2.80000000e-07,-2.67263053e-08,7.13936024e-12,-1.48874654e-05
3.25000000e-07,-2.44184787e-08,1.13212492e-11,-9.63093318e-06
3.70000000e-07,-2.27595914e-08,1.62706677e-11,-7.04922314e-06
4.15000000e-07,-2.23096329e-08,1.90081864e-11,-5.96669550e-06
4.60000000e-07,-2.13970288e-08,2.47232125e-11,-4.16203198e-06
5.05000000e-07,-2.08007276e-08,3.07186844e-11,-2.93602561e-06
5.50000000e-07,-2.03870862e-08,3.68708445e-11,-2.04704881e-06
5.95000000e-07,-2.01527375e-08,4.16283168e-11,-1.56344391e-06
6.40000000e-07,-1.99456018e-08,4.63272149e-11,-1.20027207e-06
6.85000000e-07,-1.98421200e-08,5.10997365e-11,-9.05834223e-07
7.30000000e-07,-1.96718984e-08,6.02147904e-11,-5.25620839e-07
7.75000000e-07,-1.95975894e-08,6.46888124e-11,-3.97770057e-07
8.20000000e-07,-1.95488050e-08,6.90259318e-11,-2.99339021e-07
