Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
1.923798e-02    1.923798e-02    1.646350e-09    5.000000e-01    H2 + 2 RU(T) <=> 2 H(T) + 2 RU(B)
1.943982e-02    1.943982e-02    -1.164334e-09   5.000000e-01    N2 + RU(T) <=> N2(T) + RU(B)
4.560660e-03    4.560658e-03    2.120970e-09    5.000001e-01    NH3 + RU(T) <=> NH3(T) + RU(B)
3.218045e-09    2.867017e-09    3.510284e-10    5.288435e-01    NH3(T) + RU(T) <=> H(T) + NH2(T) + RU(B)
1.917836e-05    1.917801e-05    3.524109e-10    5.000046e-01    NH2(T) + RU(T) <=> H(T) + NH(T) + RU(B)
1.273091e-04    1.273088e-04    3.591453e-10    5.000007e-01    NH(T) + RU(T) <=> H(T) + N(T) + RU(B)
5.143270e-12    1.945931e-12    3.197339e-12    7.255077e-01    N2(T) + RU(T) <=> 2 N(T) + RU(B)
7.654550e-06    7.647024e-06    7.526348e-09    5.002459e-01    H2 + 2 RU(S) <=> 2 H(S) + 2 RU(B)
3.877684e-04    3.877659e-04    2.504669e-09    5.000016e-01    N2 + RU(S) <=> N2(S) + RU(B)
9.097202e-05    9.097703e-05    -5.012811e-09   4.999862e-01    NH3 + RU(S) <=> NH3(S) + RU(B)
1.388834e-07    1.439014e-07    -5.018006e-09   4.911275e-01    NH3(S) + RU(S) <=> H(S) + NH2(S) + RU(B)
9.673501e-07    9.723681e-07    -5.018005e-09   4.987065e-01    NH2(S) + RU(S) <=> H(S) + NH(S) + RU(B)
4.794467e-06    4.789449e-06    5.017998e-09    5.002618e-01    H(S) + N(S) + RU(B) <=> NH(S) + RU(S)
5.225814e-09    2.716126e-09    2.509688e-09    6.580022e-01    N2(S) + RU(S) <=> 2 N(S) + RU(B)
