t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e-08,9.00000000e+02,9.44093315e+04,1.13441122e-01,1.13441122e-07,1.00000000e-06,3.21596874e+06,-1.15305513e-07,-1.15235991e-07,-1.30683426e-02,-1.30683425e-02,
1.45000000e-08,9.00000000e+02,9.42677399e+04,1.13402999e-01,1.13402999e-07,1.00000000e-06,3.21156039e+06,-1.15305513e-07,-1.15234900e-07,-3.41733850e-03,-3.41733843e-03,
1.90000000e-08,9.00000000e+02,9.42334083e+04,1.13393744e-01,1.13393744e-07,1.00000000e-06,3.21049142e+06,-1.15305513e-07,-1.15234576e-07,-8.90585986e-04,-8.90585915e-04,
2.35000000e-08,9.00000000e+02,9.42222688e+04,1.13390727e-01,1.13390727e-07,1.00000000e-06,3.21014502e+06,-1.15305513e-07,-1.15234471e-07,-3.82419764e-04,-3.82419693e-04,
2.80000000e-08,9.00000000e+02,9.42167885e+04,1.13389239e-01,1.13389239e-07,1.00000000e-06,3.20997470e+06,-1.15305513e-07,-1.15234421e-07,-2.85990681e-04,-2.85990610e-04,
3.25000000e-08,9.00000000e+02,9.42124534e+04,1.13388060e-01,1.13388060e-07,1.00000000e-06,3.20984003e+06,-1.15305513e-07,-1.15234377e-07,-2.25815451e-04,-2.25815380e-04,
3.70000000e-08,9.00000000e+02,9.42083345e+04,1.13386938e-01,1.13386938e-07,1.00000000e-06,3.20971217e+06,-1.15305513e-07,-1.15234343e-07,-2.24013717e-04,-2.24013645e-04,
4.15000000e-08,9.00000000e+02,9.42044300e+04,1.13385870e-01,1.13385870e-07,1.00000000e-06,3.20959110e+06,-1.15305513e-07,-1.15234317e-07,-3.71272217e-04,-3.71272146e-04,
4.60000000e-08,9.00000000e+02,9.42012340e+04,1.13385005e-01,1.13385005e-07,1.00000000e-06,3.20949165e+06,-1.15305513e-07,-1.15234259e-07,-1.85100888e-04,-1.85100817e-04,
5.05000000e-08,9.00000000e+02,9.41976413e+04,1.13384028e-01,1.13384028e-07,1.00000000e-06,3.20938005e+06,-1.15305513e-07,-1.15234227e-07,-2.36339061e-04,-2.36338990e-04,
5.50000000e-08,9.00000000e+02,9.41943843e+04,1.13383141e-01,1.13383141e-07,1.00000000e-06,3.20927892e+06,-1.15305513e-07,-1.15234210e-07,-2.49283195e-04,-2.49283123e-04,
