Species_name	Phase	Surf_cov	N	H	Ru
N2	Gas	0	2	0	0
NH3	Gas	0	1	3	0
H2	Gas	0	0	2	0
RU(B)	RefStateStoichSubstance	0	0	0	1
N2(T)	Surface	2.10126e-06	2	0	0
N(T)	Surface	0.780315	1	0	0
H(T)	Surface	0.119793	0	1	0
NH3(T)	Surface	2.61163e-07	1	3	0
NH2(T)	Surface	1.02578e-06	1	2	0
NH(T)	Surface	0.0113257	1	1	0
RU(T)	Surface	0.0885627	0	0	1
N2(S)	Surface	4.30344e-07	2	0	0
N(S)	Surface	0.789598	1	0	0
H(S)	Surface	0.117029	0	1	0
NH3(S)	Surface	5.94231e-06	1	3	0
NH2(S)	Surface	0.00250676	1	2	0
NH(S)	Surface	0.00429758	1	1	0
RU(S)	Surface	0.086562	0	0	1
