t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,1.48210810e-05,2.45061581e-10,5.99076401e-01,6.83601632e-24,4.13114816e-18,4.38615512e-14,4.00908777e-01,7.33820174e-06,3.92786051e-05,5.24691577e-02,4.29391032e-19,2.64583119e-13,6.64034266e-10,9.47484225e-01
1.45000000e-08,1.43825153e-05,3.00503845e-10,6.10929237e-01,4.79017644e-23,8.38812564e-18,8.28678903e-14,3.89056380e-01,7.17289334e-06,5.56599358e-05,7.38002590e-02,3.55077535e-18,1.54524296e-12,1.89002896e-09,9.26136906e-01
1.90000000e-08,1.42876294e-05,3.54245956e-10,6.13493627e-01,2.55771603e-22,1.34370196e-17,1.29849278e-13,3.86492085e-01,7.01526934e-06,7.13194573e-05,9.41393244e-02,1.61362730e-17,5.48452168e-12,3.98949197e-09,9.05782337e-01
2.35000000e-08,1.42664586e-05,4.07625476e-10,6.14065712e-01,1.00216086e-21,1.90795774e-17,1.84345128e-13,3.85920021e-01,6.86475901e-06,8.63051159e-05,1.13560211e-01,5.21588067e-17,1.46596328e-11,7.10444426e-09,8.86346612e-01
2.80000000e-08,1.42628860e-05,4.60908766e-10,6.14162223e-01,3.09957789e-21,2.56854265e-17,2.46183644e-13,3.85823513e-01,6.72093423e-06,1.00660717e-04,1.32118345e-01,1.35286419e-16,3.26220268e-11,1.13367171e-08,8.67774262e-01
3.25000000e-08,1.42623755e-05,5.14171691e-10,6.14175963e-01,8.05662600e-21,3.50064978e-17,3.15274659e-13,3.85809774e-01,6.58341564e-06,1.14426544e-04,1.49862630e-01,3.00840403e-16,6.38603009e-11,1.67559597e-08,8.50016343e-01
3.70000000e-08,1.42619445e-05,5.67431248e-10,6.14187530e-01,1.83496656e-20,3.46595366e-17,3.91566812e-13,3.85798207e-01,6.45185566e-06,1.27639726e-04,1.66837910e-01,5.97151985e-16,1.13725329e-10,2.34061259e-08,8.33027975e-01
4.15000000e-08,1.42616086e-05,6.20688010e-10,6.14196517e-01,3.78263050e-20,6.52467777e-17,4.74957941e-13,3.85789220e-01,6.32593230e-06,1.40334543e-04,1.83085724e-01,1.08632280e-15,1.88332965e-10,3.13106966e-08,8.16767584e-01
4.60000000e-08,1.42631834e-05,6.73919261e-10,6.14153938e-01,7.18384368e-20,7.08917722e-17,5.65413395e-13,3.85831798e-01,6.20534832e-06,1.52542683e-04,1.98644580e-01,1.84444252e-15,2.94456224e-10,4.04769142e-08,8.01196631e-01
5.05000000e-08,1.42629127e-05,7.27159912e-10,6.14161253e-01,1.27761643e-19,7.07905902e-17,6.62887884e-13,3.85824483e-01,6.08982028e-06,1.64293483e-04,2.13550941e-01,2.96136753e-15,4.39414628e-10,5.08992729e-08,7.86278625e-01
5.50000000e-08,1.42632392e-05,7.80392962e-10,6.14152333e-01,2.15389408e-19,9.60572843e-17,7.67279431e-13,3.85833403e-01,5.97908800e-06,1.75614115e-04,2.27838318e-01,4.54005269e-15,6.30963945e-10,6.25621569e-08,7.71980026e-01
5.95000000e-08,1.42635322e-05,8.33618822e-10,6.14144428e-01,3.46612697e-19,2.97564444e-17,8.78636588e-13,3.85841308e-01,5.87290831e-06,1.86529792e-04,2.41538254e-01,6.69576129e-15,8.77192864e-10,7.54421540e-08,7.58269267e-01
6.40000000e-08,1.42634314e-05,8.86844403e-10,6.14147065e-01,5.37354391e-19,2.74370853e-16,9.96512298e-13,3.85838671e-01,5.77105070e-06,1.97063933e-04,2.54680336e-01,9.55478219e-15,1.18642667e-09,8.95098976e-08,7.45116739e-01
6.85000000e-08,1.42639928e-05,9.40058036e-10,6.14131878e-01,8.03936775e-19,-2.63250704e-16,1.12192046e-12,3.85853857e-01,5.67330316e-06,2.07238300e-04,2.67292057e-01,1.32533562e-14,1.56713644e-09,1.04731420e-07,7.32494925e-01
7.30000000e-08,1.42638303e-05,9.93272631e-10,6.14136222e-01,1.17157080e-18,8.82084520e-16,1.25235625e-12,3.85849513e-01,5.57946274e-06,2.17073160e-04,2.79399536e-01,1.79361809e-14,2.02786220e-09,1.21069492e-07,7.20377689e-01
7.75000000e-08,1.42642722e-05,1.04647709e-09,6.14124233e-01,1.65827709e-18,-1.08211715e-15,1.39253964e-12,3.85861501e-01,5.48934206e-06,2.26587382e-04,2.91026963e-01,2.37550366e-14,2.57713814e-09,1.38484433e-07,7.08740820e-01
