t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,-4.92081639e-06,3.28247872e-10,1.32991073e-01,7.18258387e-23,2.17263530e-17,1.97693005e-13,-1.32986153e-01,-1.97178482e-08,1.95065736e-06,2.54477021e-03,1.28776714e-19,6.62365373e-14,9.87636976e-11,-2.54670125e-03
1.45000000e-08,-1.05920980e-06,3.09057940e-10,2.86211441e-02,4.58922575e-22,2.65566700e-17,2.45914471e-13,-2.86200852e-02,-1.87534779e-08,1.86365926e-06,2.42325720e-03,7.23184509e-19,2.63239035e-13,1.90328717e-10,-2.42510229e-03
1.90000000e-08,-2.29145833e-07,3.04948500e-10,6.17258414e-03,2.02263666e-21,2.94987399e-17,2.89586910e-13,-6.17235529e-03,-1.79128419e-08,1.78252662e-06,2.31267531e-03,2.47196964e-18,7.03712459e-13,3.01124863e-10,-2.31444022e-03
2.35000000e-08,-4.04625012e-08,3.04002826e-10,1.12272423e-03,7.77933787e-21,4.54095323e-17,3.31829281e-13,-1.12268408e-03,-1.71240063e-08,1.70671690e-06,2.20920805e-03,6.36823296e-18,1.50107079e-12,4.25940507e-10,-2.21089808e-03
2.80000000e-08,-1.07110603e-08,3.03808931e-10,2.18326470e-04,2.40552849e-20,4.47469862e-17,3.73426234e-13,-2.18316063e-04,-1.63807414e-08,1.63579254e-06,2.11173715e-03,1.36627636e-17,2.76748110e-12,5.60596081e-10,-2.11335712e-03
3.25000000e-08,-2.82783582e-09,3.03746035e-10,3.74308017e-05,3.02207495e-20,-1.14627608e-16,4.14764003e-13,-3.74282781e-05,-1.56441169e-08,1.56936687e-06,2.01968753e-03,2.58063642e-17,4.60822753e-12,7.01750016e-10,-2.02124196e-03
3.70000000e-08,8.85245777e-09,3.03686901e-10,-1.21733551e-04,1.03701200e-19,5.76124032e-16,4.54896798e-13,1.21724395e-04,-1.49804184e-08,1.50709143e-06,1.93265020e-03,4.43780928e-17,7.11831647e-12,8.46737851e-10,-1.93414316e-03
4.15000000e-08,1.84990104e-08,3.03632180e-10,-2.55703068e-04,-1.10592759e-19,-1.19134731e-15,4.97136996e-13,2.55684265e-04,-1.43140824e-08,1.44865027e-06,1.85027972e-03,7.09955333e-17,1.03806387e-11,9.93441744e-10,-1.85171506e-03
4.60000000e-08,5.73506517e-09,3.03659275e-10,6.08175362e-05,3.65291925e-21,-8.66829315e-16,5.36868784e-13,-6.08235755e-05,-1.35971454e-08,1.39375677e-06,1.77227385e-03,1.07285198e-16,1.44651988e-11,1.14018433e-09,-1.77365516e-03
5.05000000e-08,-5.18463664e-09,3.03607968e-10,-5.43351928e-05,5.90457416e-19,-1.22011003e-17,5.75781096e-13,5.43400733e-05,-1.32752630e-08,1.34214734e-06,1.69831164e-03,1.54699321e-16,1.94291641e-11,1.28564941e-09,-1.69964182e-03
5.50000000e-08,9.87869166e-09,3.03582559e-10,-2.59903945e-05,-2.93925937e-20,-1.16457658e-15,6.16337374e-13,2.59802116e-05,-1.24958341e-08,1.29358338e-06,1.62814772e-03,2.15109165e-16,2.53171819e-11,1.42880583e-09,-1.62943027e-03
5.95000000e-08,-7.61701999e-09,3.03555983e-10,-4.58596979e-06,2.36458347e-18,5.20336739e-15,6.49027244e-13,4.59328260e-06,-1.21943211e-08,1.24784644e-06,1.56153190e-03,2.89177034e-16,3.21621939e-11,1.56885805e-09,-1.56276916e-03
6.40000000e-08,7.18885338e-09,3.03513005e-10,-7.28031803e-05,-1.30405310e-18,-1.37016668e-14,7.06678867e-13,7.27956872e-05,-1.15763239e-08,1.20473589e-06,1.49823672e-03,3.79030061e-16,3.99863549e-11,1.70520020e-09,-1.49943162e-03
6.85000000e-08,-1.76908749e-09,3.03498604e-10,1.57155424e-05,6.30327667e-18,3.11869234e-14,7.00144310e-13,-1.57140775e-05,-1.11306326e-08,1.16406910e-06,1.43806208e-03,4.84896676e-16,4.88019260e-11,1.83737770e-09,-1.43921690e-03
7.30000000e-08,1.02100625e-09,3.03453587e-10,-6.38302326e-05,-5.62144912e-18,-6.09923994e-14,8.30434969e-13,6.38289073e-05,-1.07545006e-08,1.12567712e-06,1.38080648e-03,6.08075352e-16,5.86124549e-11,1.96506302e-09,-1.38192343e-03
7.75000000e-08,2.80826858e-09,3.03434848e-10,3.10329465e-07,1.75597984e-17,1.00252340e-13,7.06834886e-13,-3.13441976e-07,-1.02031865e-08,1.08940593e-06,1.32630207e-03,7.49734089e-16,6.94135785e-11,2.08802518e-09,-1.32738343e-03
8.20000000e-08,-1.00602062e-08,3.03429850e-10,1.39371589e-04,3.05706530e-17,2.73045059e-13,5.71334619e-13,-1.39361833e-04,-9.91372737e-09,1.05511358e-06,1.27438261e-03,9.09252812e-16,8.11940960e-11,2.20611543e-09,-1.27543010e-03
8.65000000e-08,-2.77345893e-09,3.03383363e-10,5.15937301e-05,1.32583662e-17,-6.83263721e-14,9.49942061e-13,-5.15912609e-05,-9.49877437e-09,1.02266847e-06,1.22488802e-03,1.08830786e-15,9.39369681e-11,2.31925210e-09,-1.22590360e-03
9.10000000e-08,-1.63983445e-09,3.03318858e-10,-1.37791275e-04,5.36851952e-17,3.05110323e-13,6.13144125e-13,1.37792611e-04,-9.18447060e-09,9.91949842e-07,1.17768102e-03,1.28637758e-15,1.07620007e-10,2.42740401e-09,-1.17866632e-03
9.55000000e-08,1.01436782e-08,3.03285003e-10,-1.55838800e-04,-2.18373535e-17,-8.48364480e-14,1.03969805e-12,1.55828352e-04,-8.74183336e-09,9.62846788e-07,1.13263774e-03,1.50446998e-15,1.22216574e-10,2.53057913e-09,-1.13359450e-03
1.00000000e-07,-7.91408315e-10,3.03282918e-10,-1.35958580e-06,2.01426200e-17,-5.39093941e-14,1.04483622e-12,1.36007294e-06,-8.45554722e-09,9.35256970e-07,1.08963622e-03,1.74142923e-15,1.37696337e-10,2.62881819e-09,-1.09056579e-03
1.45000000e-07,2.21452621e-10,3.02986268e-10,-6.18291754e-06,3.91655466e-17,-4.68681067e-16,1.33573516e-12,6.18239177e-06,-5.79132920e-09,7.24709073e-07,7.50095148e-04,5.11225602e-15,3.32883578e-10,3.36180746e-09,-7.50817760e-04
1.90000000e-07,2.91857558e-10,3.02704138e-10,-7.96953342e-06,1.87717168e-16,2.03828384e-16,1.65066134e-12,7.96893720e-06,-4.08370353e-09,5.93966723e-07,5.26437527e-04,9.85749009e-15,5.73262979e-10,3.73152384e-09,-5.27031714e-04
2.35000000e-07,2.09905502e-10,3.02439171e-10,-5.76748181e-06,2.66742547e-16,2.95104736e-16,1.93980740e-12,5.76696752e-06,-2.90988143e-09,5.09316952e-07,3.74477416e-04,1.52959922e-14,8.22765550e-10,3.85827743e-09,-3.74988504e-04
2.80000000e-07,1.02565459e-10,3.02191698e-10,-2.87099486e-06,4.12705181e-16,5.33258253e-16,2.20464879e-12,2.87058789e-06,-2.10157420e-09,4.52700034e-07,2.68826110e-04,2.18221960e-14,1.05587489e-09,3.83364747e-09,-2.69281598e-04
3.25000000e-07,1.33238315e-10,3.01960896e-10,-3.75142199e-06,1.31995020e-15,2.74753104e-16,2.44785409e-12,3.75098434e-06,-1.58069161e-09,4.14009188e-07,1.94359823e-04,5.95646438e-14,1.25746423e-09,3.71689901e-09,-1.94777226e-04
3.70000000e-07,1.00915348e-10,3.01747336e-10,-2.77519635e-06,1.07664461e-15,2.85318656e-16,2.67050713e-12,2.77479102e-06,-1.07479428e-09,3.87097584e-07,1.41276933e-04,1.29899750e-14,1.42069391e-09,3.55151712e-09,-1.41667928e-04
4.15000000e-07,7.41948031e-11,3.01549918e-10,-2.08158040e-06,1.38803037e-15,3.06662487e-16,2.87456521e-12,2.08120177e-06,-8.09574296e-10,3.68073927e-07,1.03013737e-04,3.56494999e-14,1.54469868e-09,3.36878339e-09,-1.03385915e-04
4.60000000e-07,5.22853259e-11,3.01367788e-10,-1.47582425e-06,1.73240522e-15,3.27153683e-16,3.06159379e-12,1.47546753e-06,-5.83718666e-10,3.54517152e-07,7.53151292e-05,3.69172402e-14,1.63177486e-09,3.18745885e-09,-7.56738819e-05
5.05000000e-07,3.87386233e-11,3.01199982e-10,-1.10373197e-06,2.12726638e-15,3.45533850e-16,3.23301940e-12,1.10338879e-06,-4.25032014e-10,3.44778314e-07,5.51568218e-05,2.23952923e-14,1.68702077e-09,3.01588700e-09,-5.55058780e-05
5.50000000e-07,2.72181870e-11,3.01045572e-10,-8.00675591e-07,2.52514935e-15,3.62561452e-16,3.39014621e-12,8.00343935e-07,-3.18831027e-10,3.37740165e-07,4.04312139e-05,4.53020312e-14,1.71562760e-09,2.86153788e-09,-4.07732124e-05
5.95000000e-07,2.01219786e-11,3.00903603e-10,-5.98268541e-07,2.96410003e-15,3.78173695e-16,3.53416987e-12,5.97943978e-07,-2.27185000e-10,3.32642087e-07,2.96656189e-05,2.30008990e-14,1.72304896e-09,2.72620742e-09,-3.00024831e-05
6.40000000e-07,1.44974853e-11,3.00773174e-10,-4.38439133e-07,3.30546402e-15,3.92523897e-16,3.66618558e-12,4.38120193e-07,-1.60953576e-10,3.28939248e-07,2.17808564e-05,4.01463311e-15,1.71453977e-09,2.60873240e-09,-2.21139579e-05
6.85000000e-07,1.07534506e-11,3.00653417e-10,-3.18606085e-07,3.65789867e-15,4.05680364e-16,3.78719700e-12,3.18290887e-07,-1.01922204e-10,3.26236667e-07,1.59808899e-05,-5.02124662e-14,1.69471925e-09,2.50688022e-09,-1.63112262e-05
7.30000000e-07,6.79855425e-12,3.00543511e-10,-2.33224053e-07,4.07742899e-15,4.17732811e-16,3.89812359e-12,2.32912808e-07,-8.64067045e-11,3.24257967e-07,1.17070795e-05,1.05163748e-14,1.66692517e-09,2.42111305e-09,-1.20353391e-05
