t(s),N2,NH3,H2
1.00000000e-08,8.29726264e-01,-4.09212977e-12,1.70273740e-01
1.45000000e-08,8.29736317e-01,-2.51975870e-11,1.70263688e-01
1.90000000e-08,8.29745936e-01,-2.94096333e-10,1.70254068e-01
2.35000000e-08,8.29755075e-01,-2.94692203e-10,1.70244930e-01
2.80000000e-08,8.29763744e-01,-2.95099938e-10,1.70236261e-01
3.25000000e-08,8.29771948e-01,-2.99955701e-10,1.70228056e-01
3.70000000e-08,8.29779690e-01,-3.02252368e-10,1.70220314e-01
4.15000000e-08,8.29786968e-01,-3.02223750e-10,1.70213037e-01
4.60000000e-08,8.29793778e-01,-3.02291273e-10,1.70206226e-01
5.05000000e-08,8.29800117e-01,-3.02303817e-10,1.70199888e-01
5.50000000e-08,8.29805980e-01,-3.01077200e-10,1.70194025e-01
5.95000000e-08,8.29811366e-01,-3.05708802e-10,1.70188638e-01
6.40000000e-08,8.29816278e-01,-3.01328277e-10,1.70183727e-01
6.85000000e-08,8.29820722e-01,-3.01305051e-10,1.70179282e-01
7.30000000e-08,8.29824712e-01,-3.00613745e-10,1.70175293e-01
7.75000000e-08,8.29828265e-01,-3.01966650e-10,1.70171739e-01
8.20000000e-08,8.29831404e-01,-3.01376119e-10,1.70168601e-01
8.65000000e-08,8.29834155e-01,-3.01228201e-10,1.70165850e-01
9.10000000e-08,8.29836548e-01,-3.01083221e-10,1.70163456e-01
9.55000000e-08,8.29838616e-01,-3.00910941e-10,1.70161388e-01
1.00000000e-07,8.29840392e-01,-3.00731559e-10,1.70159612e-01
1.45000000e-07,8.29848255e-01,-2.96473999e-10,1.70151749e-01
1.90000000e-07,8.29849523e-01,-2.85763423e-10,1.70150481e-01
2.35000000e-07,8.29849714e-01,-2.73528791e-10,1.70150291e-01
2.80000000e-07,8.29849741e-01,-2.48333937e-10,1.70150264e-01
3.25000000e-07,8.29849744e-01,-2.28028836e-10,1.70150260e-01
3.70000000e-07,8.29849744e-01,-1.88257766e-10,1.70150260e-01
4.15000000e-07,8.29849743e-01,-1.35422104e-10,1.70150261e-01
4.60000000e-07,8.29849742e-01,-7.57055465e-11,1.70150262e-01
5.05000000e-07,8.29849741e-01,-9.35007029e-12,1.70150263e-01
5.50000000e-07,8.29849740e-01,5.97014926e-11,1.70150264e-01
5.95000000e-07,8.29849739e-01,1.24875691e-10,1.70150265e-01
6.40000000e-07,8.29849738e-01,1.95907650e-10,1.70150266e-01
6.85000000e-07,8.29849737e-01,2.71840744e-10,1.70150267e-01
7.30000000e-07,8.29849736e-01,3.52486835e-10,1.70150268e-01
7.75000000e-07,8.29849735e-01,4.37687361e-10,1.70150269e-01
8.20000000e-07,8.29849734e-01,5.27292184e-10,1.70150269e-01
8.65000000e-07,8.29849733e-01,6.20833170e-10,1.70150270e-01
9.10000000e-07,8.29849732e-01,7.18260538e-10,1.70150271e-01
9.55000000e-07,8.29849731e-01,8.19602355e-10,1.70150272e-01
1.00000000e-06,8.29849730e-01,9.24822255e-10,1.70150273e-01
1.45000000e-06,8.29849719e-01,2.15682275e-09,1.70150283e-01
1.90000000e-06,8.29849709e-01,3.64713637e-09,1.70150292e-01
2.35000000e-06,8.29849698e-01,5.33077514e-09,1.70150301e-01
2.80000000e-06,8.29849687e-01,7.17254904e-09,1.70150310e-01
3.25000000e-06,8.29849676e-01,9.15229703e-09,1.70150319e-01
3.70000000e-06,8.29849664e-01,1.12579413e-08,1.70150328e-01
4.15000000e-06,8.29849653e-01,1.34822728e-08,1.70150338e-01
4.60000000e-06,8.29849642e-01,1.58210950e-08,1.70150347e-01
5.05000000e-06,8.29849630e-01,1.82718173e-08,1.70150356e-01
5.50000000e-06,8.29849619e-01,2.08332008e-08,1.70150364e-01
5.95000000e-06,8.29849607e-01,2.35040310e-08,1.70150373e-01
6.40000000e-06,8.29849596e-01,2.62832582e-08,1.70150382e-01
6.85000000e-06,8.29849584e-01,2.91701048e-08,1.70150391e-01
7.30000000e-06,8.29849572e-01,3.21639729e-08,1.70150400e-01
7.75000000e-06,8.29849560e-01,3.52643722e-08,1.70150409e-01
8.20000000e-06,8.29849548e-01,3.84705983e-08,1.70150417e-01
8.65000000e-06,8.29849536e-01,4.17824412e-08,1.70150426e-01
9.10000000e-06,8.29849524e-01,4.51997994e-08,1.70150435e-01
9.55000000e-06,8.29849512e-01,4.87221840e-08,1.70150443e-01
1.00000000e-05,8.29849500e-01,5.23485225e-08,1.70150452e-01
1.45000000e-05,8.29849375e-01,9.42798756e-08,1.70150535e-01
1.90000000e-05,8.29849244e-01,1.46227541e-07,1.70150614e-01
2.35000000e-05,8.29849107e-01,2.07816218e-07,1.70150689e-01
2.80000000e-05,8.29848964e-01,2.78681841e-07,1.70150761e-01
3.25000000e-05,8.29848816e-01,3.58475223e-07,1.70150830e-01
3.70000000e-05,8.29848662e-01,4.46859872e-07,1.70150895e-01
4.15000000e-05,8.29848503e-01,5.43511314e-07,1.70150957e-01
4.60000000e-05,8.29848340e-01,6.48117548e-07,1.70151016e-01
5.05000000e-05,8.29848171e-01,7.60378593e-07,1.70151072e-01
5.50000000e-05,8.29847999e-01,8.80005319e-07,1.70151126e-01
5.95000000e-05,8.29847821e-01,1.00671938e-06,1.70151176e-01
6.40000000e-05,8.29847640e-01,1.14025295e-06,1.70151224e-01
6.85000000e-05,8.29847455e-01,1.28034827e-06,1.70151269e-01
7.30000000e-05,8.29847265e-01,1.42675632e-06,1.70151312e-01
7.75000000e-05,8.29847072e-01,1.57923711e-06,1.70151353e-01
8.20000000e-05,8.29846875e-01,1.73756417e-06,1.70151391e-01
8.65000000e-05,8.29846675e-01,1.90151539e-06,1.70151427e-01
9.10000000e-05,8.29846472e-01,2.07087396e-06,1.70151461e-01
