t(s),N2,NH3,H2
1.00000000e-08,2.59628453e-01,-2.10621073e-12,7.40371547e-01
1.45000000e-08,2.59642131e-01,-1.29696720e-11,7.40357869e-01
1.90000000e-08,2.59655220e-01,-1.51382791e-10,7.40344780e-01
2.35000000e-08,2.59667656e-01,-1.51695103e-10,7.40332344e-01
2.80000000e-08,2.59679454e-01,-1.51910302e-10,7.40320546e-01
3.25000000e-08,2.59690620e-01,-1.54415045e-10,7.40309380e-01
3.70000000e-08,2.59701158e-01,-1.55602214e-10,7.40298842e-01
4.15000000e-08,2.59711064e-01,-1.55592052e-10,7.40288936e-01
4.60000000e-08,2.59720335e-01,-1.55631092e-10,7.40279665e-01
5.05000000e-08,2.59728964e-01,-1.55641532e-10,7.40271036e-01
5.50000000e-08,2.59736946e-01,-1.55013675e-10,7.40263054e-01
5.95000000e-08,2.59744279e-01,-1.57401741e-10,7.40255721e-01
6.40000000e-08,2.59750967e-01,-1.55149395e-10,7.40249033e-01
6.85000000e-08,2.59757018e-01,-1.55140219e-10,7.40242982e-01
7.30000000e-08,2.59762451e-01,-1.54786763e-10,7.40237550e-01
7.75000000e-08,2.59767289e-01,-1.55485607e-10,7.40232711e-01
8.20000000e-08,2.59771563e-01,-1.55183504e-10,7.40228437e-01
8.65000000e-08,2.59775309e-01,-1.55109061e-10,7.40224691e-01
9.10000000e-08,2.59778568e-01,-1.55035905e-10,7.40221432e-01
9.55000000e-08,2.59781385e-01,-1.54948487e-10,7.40218616e-01
1.00000000e-07,2.59783803e-01,-1.54857228e-10,7.40216197e-01
1.45000000e-07,2.59794512e-01,-1.52669708e-10,7.40205488e-01
1.90000000e-07,2.59796238e-01,-1.47155034e-10,7.40203762e-01
2.35000000e-07,2.59796498e-01,-1.40854869e-10,7.40203502e-01
2.80000000e-07,2.59796534e-01,-1.27880681e-10,7.40203466e-01
3.25000000e-07,2.59796539e-01,-1.17424479e-10,7.40203461e-01
3.70000000e-07,2.59796539e-01,-9.69441872e-11,7.40203461e-01
4.15000000e-07,2.59796538e-01,-6.97362239e-11,7.40203462e-01
4.60000000e-07,2.59796537e-01,-3.89849129e-11,7.40203463e-01
5.05000000e-07,2.59796536e-01,-4.81486088e-12,7.40203464e-01
5.50000000e-07,2.59796534e-01,3.07435529e-11,7.40203466e-01
5.95000000e-07,2.59796533e-01,6.43053000e-11,7.40203467e-01
6.40000000e-07,2.59796532e-01,1.00883527e-10,7.40203468e-01
6.85000000e-07,2.59796530e-01,1.39985615e-10,7.40203469e-01
7.30000000e-07,2.59796529e-01,1.81514683e-10,7.40203471e-01
7.75000000e-07,2.59796528e-01,2.25389076e-10,7.40203472e-01
8.20000000e-07,2.59796526e-01,2.71531482e-10,7.40203473e-01
8.65000000e-07,2.59796525e-01,3.19700832e-10,7.40203475e-01
9.10000000e-07,2.59796524e-01,3.69871492e-10,7.40203476e-01
9.55000000e-07,2.59796523e-01,4.22057915e-10,7.40203477e-01
1.00000000e-06,2.59796521e-01,4.76241373e-10,7.40203478e-01
1.45000000e-06,2.59796508e-01,1.11066552e-09,7.40203491e-01
1.90000000e-06,2.59796495e-01,1.87810911e-09,7.40203503e-01
2.35000000e-06,2.59796482e-01,2.74510628e-09,7.40203516e-01
2.80000000e-06,2.59796468e-01,3.69353578e-09,7.40203528e-01
3.25000000e-06,2.59796455e-01,4.71301557e-09,7.40203540e-01
3.70000000e-06,2.59796442e-01,5.79732613e-09,7.40203552e-01
4.15000000e-06,2.59796429e-01,6.94275509e-09,7.40203564e-01
4.60000000e-06,2.59796416e-01,8.14714145e-09,7.40203576e-01
5.05000000e-06,2.59796403e-01,9.40915122e-09,7.40203588e-01
5.50000000e-06,2.59796390e-01,1.07281463e-08,7.40203600e-01
5.95000000e-06,2.59796376e-01,1.21035014e-08,7.40203611e-01
6.40000000e-06,2.59796363e-01,1.35346758e-08,7.40203623e-01
6.85000000e-06,2.59796350e-01,1.50212692e-08,7.40203635e-01
7.30000000e-06,2.59796337e-01,1.65629737e-08,7.40203646e-01
7.75000000e-06,2.59796324e-01,1.81595368e-08,7.40203658e-01
8.20000000e-06,2.59796311e-01,1.98105957e-08,7.40203669e-01
8.65000000e-06,2.59796298e-01,2.15160423e-08,7.40203680e-01
9.10000000e-06,2.59796285e-01,2.32758243e-08,7.40203691e-01
9.55000000e-06,2.59796272e-01,2.50896900e-08,7.40203703e-01
1.00000000e-05,2.59796259e-01,2.69570870e-08,7.40203714e-01
1.45000000e-05,2.59796131e-01,4.85497931e-08,7.40203821e-01
1.90000000e-05,2.59796004e-01,7.53004232e-08,7.40203921e-01
2.35000000e-05,2.59795879e-01,1.07015711e-07,7.40204014e-01
2.80000000e-05,2.59795755e-01,1.43508175e-07,7.40204102e-01
3.25000000e-05,2.59795632e-01,1.84597998e-07,7.40204183e-01
3.70000000e-05,2.59795511e-01,2.30111899e-07,7.40204259e-01
4.15000000e-05,2.59795391e-01,2.79882788e-07,7.40204329e-01
4.60000000e-05,2.59795273e-01,3.33749997e-07,7.40204394e-01
5.05000000e-05,2.59795155e-01,3.91559048e-07,7.40204453e-01
5.50000000e-05,2.59795039e-01,4.53161051e-07,7.40204508e-01
5.95000000e-05,2.59794924e-01,5.18412673e-07,7.40204558e-01
6.40000000e-05,2.59794810e-01,5.87175990e-07,7.40204603e-01
6.85000000e-05,2.59794697e-01,6.59318271e-07,7.40204644e-01
7.30000000e-05,2.59794585e-01,7.34711279e-07,7.40204680e-01
7.75000000e-05,2.59794474e-01,8.13231438e-07,7.40204713e-01
8.20000000e-05,2.59794364e-01,8.94762118e-07,7.40204741e-01
8.65000000e-05,2.59794255e-01,9.79188948e-07,7.40204766e-01
9.10000000e-05,2.59794146e-01,1.06640029e-06,7.40204787e-01
9.55000000e-05,2.59794039e-01,1.15629391e-06,7.40204805e-01
1.00000000e-04,2.59793932e-01,1.24876862e-06,7.40204819e-01
1.45000000e-04,2.59792902e-01,2.29562858e-06,7.40204802e-01
1.90000000e-04,2.59791925e-01,3.51318625e-06,7.40204562e-01
2.35000000e-04,2.59790983e-01,4.84652493e-06,7.40204170e-01
2.80000000e-04,2.59790066e-01,6.25853662e-06,7.40203676e-01
3.25000000e-04,2.59789165e-01,7.72377589e-06,7.40203111e-01
3.70000000e-04,2.59788275e-01,9.22485709e-06,7.40202500e-01
4.15000000e-04,2.59787393e-01,1.07501281e-05,7.40201857e-01
4.60000000e-04,2.59786516e-01,1.22918169e-05,7.40201192e-01
5.05000000e-04,2.59785643e-01,1.38442272e-05,7.40200513e-01
5.50000000e-04,2.59784772e-01,1.54034884e-05,7.40199825e-01
5.95000000e-04,2.59783902e-01,1.69672859e-05,7.40199131e-01
6.40000000e-04,2.59783033e-01,1.85341136e-05,7.40198432e-01
6.85000000e-04,2.59782166e-01,2.01027680e-05,7.40197732e-01
7.30000000e-04,2.59781298e-01,2.16723661e-05,7.40197029e-01
7.75000000e-04,2.59780432e-01,2.32423747e-05,7.40196326e-01
8.20000000e-04,2.59779565e-01,2.48124234e-05,7.40195623e-01
8.65000000e-04,2.59778698e-01,2.63823280e-05,7.40194919e-01
9.10000000e-04,2.59777832e-01,2.79519332e-05,7.40194216e-01
9.55000000e-04,2.59776965e-01,2.95211157e-05,7.40193514e-01
1.00000000e-03,2.59776099e-01,3.10898451e-05,7.40192811e-01
1.45000000e-03,2.59767435e-01,4.67423655e-05,7.40185823e-01
1.90000000e-03,2.59758769e-01,6.23278507e-05,7.40178903e-01
2.35000000e-03,2.59750101e-01,7.78459601e-05,7.40172053e-01
2.80000000e-03,2.59741431e-01,9.32978800e-05,7.40165271e-01
3.25000000e-03,2.59732759e-01,1.08683385e-04,7.40158557e-01
3.70000000e-03,2.59724086e-01,1.24002846e-04,7.40151911e-01
4.15000000e-03,2.59715411e-01,1.39256921e-04,7.40145332e-01
4.60000000e-03,2.59706734e-01,1.54445976e-04,7.40138820e-01
5.05000000e-03,2.59698055e-01,1.69570412e-04,7.40132374e-01
5.50000000e-03,2.59689375e-01,1.84630614e-04,7.40125994e-01
5.95000000e-03,2.59680693e-01,1.99626993e-04,7.40119680e-01
6.40000000e-03,2.59672010e-01,2.14559979e-04,7.40113430e-01
6.85000000e-03,2.59663325e-01,2.29429975e-04,7.40107245e-01
7.30000000e-03,2.59654638e-01,2.44237376e-04,7.40101124e-01
7.75000000e-03,2.59645950e-01,2.58982515e-04,7.40095067e-01
8.20000000e-03,2.59637261e-01,2.73665806e-04,7.40089073e-01
8.65000000e-03,2.59628570e-01,2.88287638e-04,7.40083142e-01
9.10000000e-03,2.59619878e-01,3.02848395e-04,7.40077274e-01
9.55000000e-03,2.59611184e-01,3.17348466e-04,7.40071467e-01
1.00000000e-02,2.59602490e-01,3.31788264e-04,7.40065722e-01
1.45000000e-02,2.59515479e-01,4.72950378e-04,7.40011570e-01
1.90000000e-02,2.59428369e-01,6.08498606e-04,7.39963132e-01
2.35000000e-02,2.59341228e-01,7.38707170e-04,7.39920065e-01
2.80000000e-02,2.59254062e-01,8.63946374e-04,7.39881992e-01
3.25000000e-02,2.59166900e-01,9.84515768e-04,7.39848584e-01
3.70000000e-02,2.59079799e-01,1.10065664e-03,7.39819545e-01
4.15000000e-02,2.58992774e-01,1.21264811e-03,7.39794578e-01
4.60000000e-02,2.58905852e-01,1.32073274e-03,7.39773416e-01
5.05000000e-02,2.58819058e-01,1.42513888e-03,7.39755803e-01
5.50000000e-02,2.58732430e-01,1.52607182e-03,7.39741498e-01
5.95000000e-02,2.58645943e-01,1.62375661e-03,7.39730300e-01
6.40000000e-02,2.58559611e-01,1.71838888e-03,7.39722000e-01
6.85000000e-02,2.58473568e-01,1.81008316e-03,7.39716349e-01
7.30000000e-02,2.58387777e-01,1.89903504e-03,7.39713188e-01
7.75000000e-02,2.58302346e-01,1.98535664e-03,7.39712297e-01
8.20000000e-02,2.58217278e-01,2.06920270e-03,7.39713519e-01
8.65000000e-02,2.58132489e-01,2.15076138e-03,7.39716750e-01
9.10000000e-02,2.58048005e-01,2.23016470e-03,7.39721831e-01
9.55000000e-02,2.57963817e-01,2.30755821e-03,7.39728625e-01
1.00000000e-01,2.57879941e-01,2.38303980e-03,7.39737019e-01
1.45000000e-01,2.57063747e-01,3.05200398e-03,7.39884249e-01
1.90000000e-01,2.56293179e-01,3.61320596e-03,7.40093616e-01
2.35000000e-01,2.55572420e-01,4.11040915e-03,7.40317171e-01
2.80000000e-01,2.54899979e-01,4.56818652e-03,7.40531834e-01
3.25000000e-01,2.54274083e-01,4.99907034e-03,7.40726846e-01
3.70000000e-01,2.53694150e-01,5.40870758e-03,7.40897142e-01
