t(s),N2,NH3,H2
1.00000000e-08,1.87491237e-09,9.73835938e-08,-6.78873241e-05
1.45000000e-08,3.03520459e-08,2.03100294e-06,-1.34174730e-04
1.90000000e-08,-1.47105498e-08,-2.80734186e-07,-1.42382957e-04
2.35000000e-08,-1.13532147e-08,6.30680309e-10,-1.34474482e-04
2.80000000e-08,-7.36506858e-09,9.83513376e-10,-1.27378841e-04
3.25000000e-08,-4.76487076e-09,-1.37431848e-09,-1.20365586e-04
3.70000000e-08,-3.04043913e-09,1.19252409e-09,-1.13350435e-04
4.15000000e-08,-1.90021134e-09,3.03315020e-09,-1.06293375e-04
4.60000000e-08,-1.13506385e-09,1.25717775e-09,-9.91740359e-05
5.05000000e-08,-6.32142723e-10,6.44000127e-09,-9.19938127e-05
5.50000000e-08,-2.75335897e-10,-6.12206941e-09,-8.44811515e-05
5.95000000e-08,-7.98009047e-11,-3.67496849e-09,-7.76402477e-05
6.40000000e-08,3.90786700e-11,2.48190765e-09,-7.08646122e-05
6.85000000e-08,1.22350147e-10,1.22446813e-09,-6.22873034e-05
7.30000000e-08,1.44990894e-10,8.90048487e-10,-5.64276016e-05
7.75000000e-08,1.46178434e-10,4.89909168e-12,-4.88778264e-05
8.20000000e-08,1.19256192e-10,9.09040970e-10,-4.18910152e-05
8.65000000e-08,1.08770611e-10,-2.89505307e-10,-3.86273444e-05
9.10000000e-08,6.99210339e-11,-1.47236977e-10,-3.26040019e-05
9.55000000e-08,1.61632779e-11,2.65030598e-11,-2.54777400e-05
1.00000000e-07,-1.70117584e-11,-3.33440949e-11,-2.16364807e-05
1.45000000e-07,-1.95205659e-10,2.01914077e-11,-3.81871370e-06
1.90000000e-07,-2.31607474e-10,-3.07828147e-09,-5.01141791e-07
2.35000000e-07,-2.41768962e-10,2.99041449e-09,-8.73337644e-08
2.80000000e-07,-2.37801437e-10,-3.59885807e-09,-7.92983343e-09
3.25000000e-07,-2.38564908e-10,-1.68533343e-09,-3.44567606e-09
3.70000000e-07,-2.41142594e-10,2.66737280e-09,-4.50480101e-10
4.15000000e-07,-2.40972501e-10,1.18657973e-09,1.46828749e-10
4.60000000e-07,-2.43698408e-10,3.65395693e-09,2.45529455e-10
5.05000000e-07,-2.41222077e-10,1.49745423e-09,2.47167996e-10
5.50000000e-07,-2.38948801e-10,-1.19172021e-09,2.48591508e-10
5.95000000e-07,-2.41168251e-10,1.73186014e-09,2.52375643e-10
6.40000000e-07,-2.40015721e-10,2.34018950e-12,2.53460769e-10
6.85000000e-07,-2.39997703e-10,1.26327641e-11,2.53421142e-10
7.30000000e-07,-2.39997703e-10,1.26327641e-11,2.53421142e-10
7.75000000e-07,-2.39993366e-10,1.13915782e-11,2.53904734e-10
8.20000000e-07,-2.39993366e-10,1.13915782e-11,2.53904734e-10
8.65000000e-07,-2.40036123e-10,1.65339361e-11,2.54367840e-10
9.10000000e-07,-2.40036123e-10,1.65339361e-11,2.54367840e-10
9.55000000e-07,-2.40036123e-10,1.65339361e-11,2.54367840e-10
1.00000000e-06,-2.40036123e-10,1.65339361e-11,2.54367840e-10
1.45000000e-06,-2.40008142e-10,2.07139985e-11,2.54133946e-10
1.90000000e-06,-2.39846299e-10,2.38521982e-11,2.52689475e-10
2.35000000e-06,-2.39918351e-10,2.74117112e-11,2.48823443e-10
2.80000000e-06,-2.39909845e-10,2.93969375e-11,2.45862420e-10
3.25000000e-06,-2.39901430e-10,3.08614770e-11,2.43377309e-10
3.70000000e-06,-2.39912860e-10,3.35813541e-11,2.38166272e-10
4.15000000e-06,-2.39819715e-10,3.56548677e-11,2.33987904e-10
4.60000000e-06,-2.39866138e-10,3.77069793e-11,2.29695212e-10
5.05000000e-06,-2.39866138e-10,3.77069793e-11,2.29695212e-10
5.50000000e-06,-2.39714740e-10,3.96844090e-11,2.25583936e-10
5.95000000e-06,-2.40015427e-10,4.16856568e-11,2.20893949e-10
6.40000000e-06,-2.39559839e-10,4.36687481e-11,2.17289790e-10
6.85000000e-06,-2.40148023e-10,4.68020104e-11,2.09823924e-10
7.30000000e-06,-2.40148023e-10,4.68020104e-11,2.09823924e-10
