Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
1.689897e+00    1.689897e+00    4.223841e-09    5.000000e-01    H2 + 2 RU(T) <=> 2 H(T) + 2 RU(B)
2.237719e-01    2.237719e-01    -3.162415e-11   5.000000e-01    N2 + RU(T) <=> N2(T) + RU(B)
1.652540e-02    1.652541e-02    -1.028412e-09   5.000000e-01    NH3 + RU(T) <=> NH3(T) + RU(B)
6.243044e-09    6.249944e-09    -6.900041e-12   4.997238e-01    NH3(T) + RU(T) <=> H(T) + NH2(T) + RU(B)
6.584660e-06    6.584667e-06    -6.926128e-12   4.999997e-01    NH2(T) + RU(T) <=> H(T) + NH(T) + RU(B)
2.602821e-05    2.602822e-05    -6.834596e-12   4.999999e-01    NH(T) + RU(T) <=> H(T) + N(T) + RU(B)
9.451058e-12    2.158294e-13    9.235229e-12    9.776733e-01    N2(T) + RU(T) <=> 2 N(T) + RU(B)
7.008199e-04    7.008175e-04    2.395054e-09    5.000009e-01    H2 + 2 RU(S) <=> 2 H(S) + 2 RU(B)
4.556995e-03    4.556994e-03    7.950682e-10    5.000000e-01    N2 + RU(S) <=> N2(S) + RU(B)
3.365311e-04    3.365327e-04    -1.621283e-09   4.999988e-01    NH3 + RU(S) <=> NH3(S) + RU(B)
3.333220e-07    3.349138e-07    -1.591817e-09   4.988089e-01    NH3(S) + RU(S) <=> H(S) + NH2(S) + RU(B)
5.829816e-07    5.845735e-07    -1.591877e-09   4.993183e-01    NH2(S) + RU(S) <=> H(S) + NH(S) + RU(B)
1.517195e-06    1.515603e-06    1.591805e-09    5.002624e-01    H(S) + N(S) + RU(B) <=> NH(S) + RU(S)
8.149065e-10    1.888880e-11    7.960177e-10    9.773460e-01    N2(S) + RU(S) <=> 2 N(S) + RU(B)
