t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e-08,9.00000000e+02,9.75650596e+04,1.14290516e-01,1.14290516e-07,1.00000000e-06,3.31346614e+06,-1.15305513e-07,-1.15267906e-07,-1.35149782e-04,-1.35149744e-04,
1.45000000e-08,9.00000000e+02,9.75599151e+04,1.14289125e-01,1.14289125e-07,1.00000000e-06,3.31330857e+06,-1.15305513e-07,-1.15267855e-07,-2.35055963e-04,-2.35055925e-04,
1.90000000e-08,9.00000000e+02,9.75549944e+04,1.14287797e-01,1.14287797e-07,1.00000000e-06,3.31315779e+06,-1.15305513e-07,-1.15267812e-07,-2.92237327e-04,-2.92237289e-04,
2.35000000e-08,9.00000000e+02,9.75503203e+04,1.14286536e-01,1.14286536e-07,1.00000000e-06,3.31301454e+06,-1.15305513e-07,-1.15267761e-07,-2.71407863e-04,-2.71407825e-04,
2.80000000e-08,9.00000000e+02,9.75458872e+04,1.14285341e-01,1.14285341e-07,1.00000000e-06,3.31287867e+06,-1.15305513e-07,-1.15267717e-07,-2.56985318e-04,-2.56985280e-04,
3.25000000e-08,9.00000000e+02,9.75416920e+04,1.14284210e-01,1.14284210e-07,1.00000000e-06,3.31275006e+06,-1.15305513e-07,-1.15267676e-07,-2.42813909e-04,-2.42813872e-04,
3.70000000e-08,9.00000000e+02,9.75377336e+04,1.14283143e-01,1.14283143e-07,1.00000000e-06,3.31262871e+06,-1.15305513e-07,-1.15267636e-07,-2.28579341e-04,-2.28579304e-04,
4.15000000e-08,9.00000000e+02,9.75340128e+04,1.14282140e-01,1.14282140e-07,1.00000000e-06,3.31251464e+06,-1.15305513e-07,-1.15267599e-07,-2.14289019e-04,-2.14288981e-04,
4.60000000e-08,9.00000000e+02,9.75305311e+04,1.14281202e-01,1.14281202e-07,1.00000000e-06,3.31240789e+06,-1.15305513e-07,-1.15267565e-07,-1.99945243e-04,-1.99945205e-04,
5.05000000e-08,9.00000000e+02,9.75272908e+04,1.14280329e-01,1.14280329e-07,1.00000000e-06,3.31230853e+06,-1.15305513e-07,-1.15267533e-07,-1.85367556e-04,-1.85367518e-04,
5.50000000e-08,9.00000000e+02,9.75242936e+04,1.14279521e-01,1.14279521e-07,1.00000000e-06,3.31221663e+06,-1.15305513e-07,-1.15267502e-07,-1.70425980e-04,-1.70425942e-04,
5.95000000e-08,9.00000000e+02,9.75215402e+04,1.14278779e-01,1.14278779e-07,1.00000000e-06,3.31213221e+06,-1.15305513e-07,-1.15267476e-07,-1.56587563e-04,-1.56587525e-04,
6.40000000e-08,9.00000000e+02,9.75190294e+04,1.14278103e-01,1.14278103e-07,1.00000000e-06,3.31205522e+06,-1.15305513e-07,-1.15267453e-07,-1.42819694e-04,-1.42819656e-04,
6.85000000e-08,9.00000000e+02,9.75167576e+04,1.14277491e-01,1.14277491e-07,1.00000000e-06,3.31198556e+06,-1.15305513e-07,-1.15267425e-07,-1.25546922e-04,-1.25546884e-04,
7.30000000e-08,9.00000000e+02,9.75147182e+04,1.14276942e-01,1.14276942e-07,1.00000000e-06,3.31192302e+06,-1.15305513e-07,-1.15267408e-07,-1.13738825e-04,-1.13738786e-04,
7.75000000e-08,9.00000000e+02,9.75129019e+04,1.14276452e-01,1.14276452e-07,1.00000000e-06,3.31186732e+06,-1.15305513e-07,-1.15267387e-07,-9.85335195e-05,-9.85334814e-05,
8.20000000e-08,9.00000000e+02,9.75112977e+04,1.14276020e-01,1.14276020e-07,1.00000000e-06,3.31181813e+06,-1.15305513e-07,-1.15267369e-07,-8.44334639e-05,-8.44334258e-05,
8.65000000e-08,9.00000000e+02,9.75098915e+04,1.14275641e-01,1.14275641e-07,1.00000000e-06,3.31177501e+06,-1.15305513e-07,-1.15267361e-07,-7.78746097e-05,-7.78745716e-05,
9.10000000e-08,9.00000000e+02,9.75086680e+04,1.14275312e-01,1.14275312e-07,1.00000000e-06,3.31173749e+06,-1.15305513e-07,-1.15267347e-07,-6.57302166e-05,-6.57301785e-05,
9.55000000e-08,9.00000000e+02,9.75076110e+04,1.14275027e-01,1.14275027e-07,1.00000000e-06,3.31170507e+06,-1.15305513e-07,-1.15267331e-07,-5.13622197e-05,-5.13621815e-05,
1.00000000e-07,9.00000000e+02,9.75067033e+04,1.14274782e-01,1.14274782e-07,1.00000000e-06,3.31167724e+06,-1.15305513e-07,-1.15267323e-07,-4.36201896e-05,-4.36201514e-05,
1.45000000e-07,9.00000000e+02,9.75026838e+04,1.14273699e-01,1.14273699e-07,1.00000000e-06,3.31155398e+06,-1.15305513e-07,-1.15267289e-07,-7.70365143e-06,-7.70361321e-06,
1.90000000e-07,9.00000000e+02,9.75020356e+04,1.14273524e-01,1.14273524e-07,1.00000000e-06,3.31153411e+06,-1.15305513e-07,-1.15267283e-07,-1.06921631e-06,-1.06917808e-06,
2.35000000e-07,9.00000000e+02,9.75019378e+04,1.14273498e-01,1.14273498e-07,1.00000000e-06,3.31153112e+06,-1.15305513e-07,-1.15267282e-07,-1.31908035e-07,-1.31869805e-07,
2.80000000e-07,9.00000000e+02,9.75019237e+04,1.14273494e-01,1.14273494e-07,1.00000000e-06,3.31153070e+06,-1.15305513e-07,-1.15267282e-07,-8.39404654e-08,-8.39022346e-08,
3.25000000e-07,9.00000000e+02,9.75019216e+04,1.14273493e-01,1.14273493e-07,1.00000000e-06,3.31153065e+06,-1.15305513e-07,-1.15267282e-07,-4.23325539e-08,-4.22943231e-08,
3.70000000e-07,9.00000000e+02,9.75019212e+04,1.14273492e-01,1.14273492e-07,1.00000000e-06,3.31153065e+06,-1.15305513e-07,-1.15267282e-07,3.77644897e-08,3.78027205e-08,
4.15000000e-07,9.00000000e+02,9.75019212e+04,1.14273492e-01,1.14273492e-07,1.00000000e-06,3.31153066e+06,-1.15305513e-07,-1.15267282e-07,1.37540424e-08,1.37922732e-08,
4.60000000e-07,9.00000000e+02,9.75019213e+04,1.14273492e-01,1.14273492e-07,1.00000000e-06,3.31153067e+06,-1.15305513e-07,-1.15267282e-07,5.58985607e-08,5.59367915e-08,
5.05000000e-07,9.00000000e+02,9.75019215e+04,1.14273491e-01,1.14273491e-07,1.00000000e-06,3.31153069e+06,-1.15305513e-07,-1.15267282e-07,1.92438384e-08,1.92820692e-08,
5.50000000e-07,9.00000000e+02,9.75019216e+04,1.14273491e-01,1.14273491e-07,1.00000000e-06,3.31153070e+06,-1.15305513e-07,-1.15267282e-07,-2.64889381e-08,-2.64507073e-08,
5.95000000e-07,9.00000000e+02,9.75019218e+04,1.14273491e-01,1.14273491e-07,1.00000000e-06,3.31153072e+06,-1.15305513e-07,-1.15267282e-07,2.32480119e-08,2.32862427e-08,
6.40000000e-07,9.00000000e+02,9.75019219e+04,1.14273491e-01,1.14273491e-07,1.00000000e-06,3.31153073e+06,-1.15305513e-07,-1.15267282e-07,-6.17296773e-09,-6.13473695e-09,
6.85000000e-07,9.00000000e+02,9.75019220e+04,1.14273490e-01,1.14273490e-07,1.00000000e-06,3.31153074e+06,-1.15305513e-07,-1.15267282e-07,-5.99725002e-09,-5.95901924e-09,
7.30000000e-07,9.00000000e+02,9.75019222e+04,1.14273490e-01,1.14273490e-07,1.00000000e-06,3.31153076e+06,-1.15305513e-07,-1.15267282e-07,-5.99725002e-09,-5.95901924e-09,
7.75000000e-07,9.00000000e+02,9.75019223e+04,1.14273490e-01,1.14273490e-07,1.00000000e-06,3.31153077e+06,-1.15305513e-07,-1.15267282e-07,-6.01729224e-09,-5.97906147e-09,
8.20000000e-07,9.00000000e+02,9.75019225e+04,1.14273490e-01,1.14273490e-07,1.00000000e-06,3.31153079e+06,-1.15305513e-07,-1.15267282e-07,-6.01729224e-09,-5.97906147e-09,
8.65000000e-07,9.00000000e+02,9.75019226e+04,1.14273489e-01,1.14273489e-07,1.00000000e-06,3.31153080e+06,-1.15305513e-07,-1.15267282e-07,-5.92997692e-09,-5.89174615e-09,
9.10000000e-07,9.00000000e+02,9.75019228e+04,1.14273489e-01,1.14273489e-07,1.00000000e-06,3.31153082e+06,-1.15305513e-07,-1.15267282e-07,-5.92997692e-09,-5.89174615e-09,
9.55000000e-07,9.00000000e+02,9.75019229e+04,1.14273489e-01,1.14273489e-07,1.00000000e-06,3.31153083e+06,-1.15305513e-07,-1.15267282e-07,-5.92997692e-09,-5.89174615e-09,
