Species_name	Phase	Surf_cov	H	N	Ru
N2	Gas	0	0	2	0
NH3	Gas	0	3	1	0
H2	Gas	0	2	0	0
RU(B)	RefStateStoichSubstance	0	0	0	1
N2(T)	Surface	2.41857e-05	0	2	0
N(T)	Surface	0.0413967	0	1	0
H(T)	Surface	0.269405	1	0	0
NH3(T)	Surface	1.25169e-07	3	1	0
NH2(T)	Surface	6.52779e-07	2	1	0
NH(T)	Surface	0.000628528	1	1	0
RU(T)	Surface	0.688545	0	0	1
N2(S)	Surface	5.05728e-06	0	2	0
N(S)	Surface	0.0382888	0	1	0
H(S)	Surface	0.272996	1	0	0
NH3(S)	Surface	2.97154e-06	3	1	0
NH2(S)	Surface	0.00141821	2	1	0
NH(S)	Surface	0.000218439	1	1	0
RU(S)	Surface	0.68707	0	0	1
