t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,2.49439472e-05,3.77337250e-11,3.25157033e-01,5.53062368e-13,7.23243935e-16,8.49362750e-15,6.74818023e-01,7.32827174e-06,2.56574501e-05,5.38169988e-02,-8.12763361e-15,2.76331117e-13,5.46375836e-10,9.46150015e-01
1.45000000e-08,2.49442110e-05,4.36379819e-11,3.25149929e-01,1.35324333e-11,5.08223645e-15,1.47684194e-14,6.74825127e-01,7.15626128e-06,3.11026465e-05,7.60383540e-02,-3.81339755e-12,1.11019871e-12,1.44796870e-09,9.23923386e-01
1.90000000e-08,2.49443605e-05,4.95419560e-11,3.25145769e-01,5.55548008e-14,4.12267727e-14,8.73631030e-14,6.74829287e-01,6.99269466e-06,3.46951914e-05,9.71642363e-02,1.09371088e-11,-2.52948926e-10,2.86350102e-09,9.02794074e-01
2.35000000e-08,2.49445051e-05,5.54461738e-11,3.25141840e-01,-1.87961315e-15,3.70228051e-15,1.30727416e-13,6.74833216e-01,6.83730594e-06,3.71116313e-05,1.17231101e-01,-6.97944262e-12,-2.62037113e-10,4.81144205e-09,8.82724946e-01
2.80000000e-08,2.49446421e-05,6.13501131e-11,3.25138123e-01,-1.76011706e-15,4.69562740e-16,1.40020735e-13,6.74836933e-01,6.68991507e-06,3.87680384e-05,1.36263435e-01,1.34234072e-11,-2.06914320e-10,7.29366663e-09,8.63691101e-01
3.25000000e-08,2.49447720e-05,6.72536677e-11,3.25134605e-01,-1.79143858e-15,1.36817547e-16,1.47105859e-13,6.74840450e-01,6.55042189e-06,3.99248661e-05,1.54274903e-01,2.30045438e-10,1.33015895e-10,1.03003446e-08,8.45678612e-01
3.70000000e-08,2.49448946e-05,7.31568196e-11,3.25131284e-01,-1.80530636e-15,1.10050214e-16,1.54552623e-13,6.74843771e-01,6.41879601e-06,4.07476423e-05,1.71269879e-01,3.05467522e-11,6.33966163e-10,1.38154785e-08,8.28682940e-01
4.15000000e-08,2.49450099e-05,7.90595581e-11,3.25128161e-01,-1.80509521e-15,1.12717536e-16,1.62634202e-13,6.74846894e-01,6.29506158e-06,4.13435272e-05,1.87245519e-01,-7.27449043e-12,7.62016356e-10,1.78091469e-08,8.12706824e-01
4.60000000e-08,2.49451179e-05,8.49618729e-11,3.25125238e-01,-1.80552503e-15,1.18736364e-16,1.71371424e-13,6.74849818e-01,6.17927826e-06,4.17829677e-05,2.02194294e-01,8.45384004e-12,8.95078859e-10,2.22487002e-08,7.97757721e-01
5.05000000e-08,2.49452185e-05,9.08637538e-11,3.25122515e-01,-1.80561930e-15,1.25520124e-16,1.80761607e-13,6.74852541e-01,6.07151842e-06,4.21129633e-05,2.16106971e-01,1.06261391e-11,1.09634679e-09,2.70985641e-08,7.83844817e-01
5.50000000e-08,2.49453117e-05,9.67651903e-11,3.25119994e-01,-1.79832211e-15,1.32806821e-16,1.90799733e-13,6.74855061e-01,5.97184218e-06,4.23653326e-05,2.28975862e-01,-1.70995352e-10,1.42181912e-09,3.23182097e-08,7.70975768e-01
