t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,-1.08548735e-08,3.36722851e-11,-1.78720532e-04,-5.43443956e-08,1.92674465e-14,3.65480509e-14,1.78785698e-04,-2.05407215e-08,7.79314239e-07,2.65190445e-03,9.89132903e-14,6.89350810e-14,7.65028889e-11,-2.65266330e-03
1.45000000e-08,-3.37451200e-08,3.36715830e-11,-2.68150472e-05,-1.32961467e-06,6.53596660e-13,1.03963337e-13,2.81783726e-05,-1.95271845e-08,5.09414982e-07,2.52178673e-03,8.79299940e-11,-5.67363703e-13,1.34372488e-10,-2.52227684e-03
1.90000000e-08,-3.27205147e-10,3.36725687e-11,-2.36247928e-05,-5.63086632e-09,-5.98299690e-13,6.31634785e-13,2.36307172e-05,-1.85549477e-08,3.39647914e-07,2.39664887e-03,-2.87793931e-10,3.78176489e-12,1.95443031e-10,-2.39696987e-03
2.35000000e-08,8.04484806e-10,3.36721339e-11,-2.18235421e-05,1.17497322e-11,-5.27599618e-14,8.55921318e-14,2.18226921e-05,-1.76171002e-08,2.30824348e-07,2.27503902e-03,1.96093223e-10,9.55174186e-13,2.57944698e-10,-2.27525269e-03
2.80000000e-08,7.60953996e-10,3.36700637e-11,-2.06277330e-05,-2.32436354e-13,-5.42737891e-15,4.20207601e-14,2.06269385e-05,-1.66935798e-08,1.59814649e-07,2.15562125e-03,-4.31264674e-10,6.47746241e-12,3.19657346e-10,-2.15576427e-03
3.25000000e-08,7.19805963e-10,3.36678057e-11,-1.95003453e-05,-6.92326224e-15,-4.90834885e-16,4.09053902e-14,1.94995918e-05,-1.57711478e-08,1.12693177e-07,2.03721710e-03,-8.04558586e-09,4.85629327e-11,3.79902170e-10,-2.03730640e-03
3.70000000e-08,6.78570294e-10,3.36654770e-11,-1.83755945e-05,5.54160310e-15,-1.93918785e-17,4.42359940e-14,1.83748822e-05,-1.48640996e-08,8.09192050e-08,1.91885723e-03,-1.17225115e-09,1.40320278e-11,4.37603687e-10,-1.91892256e-03
4.15000000e-08,6.37008069e-10,3.36630899e-11,-1.72448867e-05,-6.17374312e-16,2.97091389e-17,4.79602737e-14,1.72442160e-05,-1.39426014e-08,5.91632806e-08,1.79983950e-03,2.98327833e-10,1.21315627e-11,4.91418536e-10,-1.79988553e-03
4.60000000e-08,5.95003353e-10,3.36606445e-11,-1.61043857e-05,-7.90324415e-17,3.69582129e-17,5.16962925e-14,1.61037570e-05,-1.30093027e-08,4.40457497e-08,1.67978485e-03,-3.84704976e-10,2.10354643e-11,5.41352709e-10,-1.67981606e-03
5.05000000e-08,5.52572273e-10,3.36581399e-11,-1.49536135e-05,-1.05997201e-16,4.01675165e-17,5.54064445e-14,1.49530272e-05,-1.20713184e-08,3.33907571e-08,1.55868144e-03,-5.18876922e-10,2.91353671e-11,5.86812674e-10,-1.55870285e-03
