z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00
5.00000000e-09,2.14368434e-03,9.91425263e-01,6.43105303e-03
1.50000000e-08,3.96957413e-03,9.84121703e-01,1.19087224e-02
2.50000000e-08,5.58651940e-03,9.77653922e-01,1.67595582e-02
3.50000000e-08,7.05279255e-03,9.71788830e-01,2.11583777e-02
4.50000000e-08,8.40362110e-03,9.66385516e-01,2.52108633e-02
5.50000000e-08,9.66212899e-03,9.61351484e-01,2.89863870e-02
6.50000000e-08,1.08444475e-02,9.56622210e-01,3.25333424e-02
7.50000000e-08,1.19623674e-02,9.52150531e-01,3.58871021e-02
8.50000000e-08,1.30248294e-02,9.47900682e-01,3.90744882e-02
9.50000000e-08,1.40388163e-02,9.43844735e-01,4.21164490e-02
1.05000000e-07,1.50099150e-02,9.39960340e-01,4.50297449e-02
1.15000000e-07,1.59426858e-02,9.36229257e-01,4.78280573e-02
1.25000000e-07,1.68409144e-02,9.32636342e-01,5.05227432e-02
1.35000000e-07,1.77077888e-02,9.29168845e-01,5.31233663e-02
1.45000000e-07,1.85460264e-02,9.25815895e-01,5.56380791e-02
1.55000000e-07,1.93579684e-02,9.22568126e-01,5.80739053e-02
1.65000000e-07,2.01456509e-02,9.19417396e-01,6.04369527e-02
1.75000000e-07,2.09108583e-02,9.16356567e-01,6.27325750e-02
1.85000000e-07,2.16551666e-02,9.13379334e-01,6.49654999e-02
1.95000000e-07,2.23799760e-02,9.10480096e-01,6.71399280e-02
2.05000000e-07,2.30865379e-02,9.07653848e-01,6.92596137e-02
2.15000000e-07,2.37759766e-02,9.04896094e-01,7.13279297e-02
2.25000000e-07,2.44493066e-02,9.02202774e-01,7.33479198e-02
2.35000000e-07,2.51074476e-02,8.99570210e-01,7.53223428e-02
2.45000000e-07,2.57512363e-02,8.96995055e-01,7.72537088e-02
2.55000000e-07,2.63814366e-02,8.94474254e-01,7.91443098e-02
2.65000000e-07,2.69987484e-02,8.92005006e-01,8.09962453e-02
2.75000000e-07,2.76038148e-02,8.89584741e-01,8.28114445e-02
2.85000000e-07,2.81972283e-02,8.87211087e-01,8.45916849e-02
2.95000000e-07,2.87795362e-02,8.84881855e-01,8.63386086e-02
3.05000000e-07,2.93512454e-02,8.82595018e-01,8.80537362e-02
3.15000000e-07,2.99128264e-02,8.80348695e-01,8.97384791e-02
3.25000000e-07,3.04647166e-02,8.78141133e-01,9.13941499e-02
3.35000000e-07,3.10073240e-02,8.75970704e-01,9.30219721e-02
3.45000000e-07,3.15410293e-02,8.73835883e-01,9.46230878e-02
3.55000000e-07,3.20661885e-02,8.71735246e-01,9.61985656e-02
3.65000000e-07,3.25831355e-02,8.69667458e-01,9.77494066e-02
3.75000000e-07,3.30921834e-02,8.67631266e-01,9.92765501e-02
3.85000000e-07,3.35936264e-02,8.65625494e-01,1.00780879e-01
3.95000000e-07,3.40877417e-02,8.63649033e-01,1.02263225e-01
4.05000000e-07,3.45747902e-02,8.61700839e-01,1.03724371e-01
4.15000000e-07,3.50550185e-02,8.59779926e-01,1.05165055e-01
4.25000000e-07,3.55286592e-02,8.57885363e-01,1.06585978e-01
4.35000000e-07,3.59959327e-02,8.56016269e-01,1.07987798e-01
4.45000000e-07,3.64570475e-02,8.54171810e-01,1.09371143e-01
4.55000000e-07,3.69122015e-02,8.52351194e-01,1.10736604e-01
4.65000000e-07,3.73615823e-02,8.50553671e-01,1.12084747e-01
4.75000000e-07,3.78053683e-02,8.48778527e-01,1.13416105e-01
4.85000000e-07,3.82437292e-02,8.47025083e-01,1.14731188e-01
4.95000000e-07,3.86768263e-02,8.45292695e-01,1.16030479e-01
5.05000000e-07,3.91048136e-02,8.43580746e-01,1.17314441e-01
5.15000000e-07,3.95278377e-02,8.41888649e-01,1.18583513e-01
5.25000000e-07,3.99460386e-02,8.40215846e-01,1.19838116e-01
5.35000000e-07,4.03595500e-02,8.38561800e-01,1.21078650e-01
5.45000000e-07,4.07684998e-02,8.36926001e-01,1.22305499e-01
5.55000000e-07,4.11730102e-02,8.35307959e-01,1.23519031e-01
5.65000000e-07,4.15731983e-02,8.33707207e-01,1.24719595e-01
5.75000000e-07,4.19691762e-02,8.32123295e-01,1.25907529e-01
5.85000000e-07,4.23610514e-02,8.30555794e-01,1.27083154e-01
5.95000000e-07,4.27489271e-02,8.29004292e-01,1.28246781e-01
6.05000000e-07,4.31329022e-02,8.27468391e-01,1.29398707e-01
6.15000000e-07,4.35130718e-02,8.25947713e-01,1.30539215e-01
6.25000000e-07,4.38895273e-02,8.24441891e-01,1.31668582e-01
6.35000000e-07,4.42623565e-02,8.22950574e-01,1.32787069e-01
6.45000000e-07,4.46316439e-02,8.21473424e-01,1.33894932e-01
6.55000000e-07,4.49974711e-02,8.20010116e-01,1.34992413e-01
6.65000000e-07,4.53599162e-02,8.18560335e-01,1.36079749e-01
6.75000000e-07,4.57190550e-02,8.17123780e-01,1.37157165e-01
6.85000000e-07,4.60749602e-02,8.15700159e-01,1.38224881e-01
6.95000000e-07,4.64277021e-02,8.14289191e-01,1.39283106e-01
7.05000000e-07,4.67773486e-02,8.12890606e-01,1.40332046e-01
7.15000000e-07,4.71239651e-02,8.11504139e-01,1.41371895e-01
7.25000000e-07,4.74676149e-02,8.10129540e-01,1.42402845e-01
7.35000000e-07,4.78083592e-02,8.08766563e-01,1.43425078e-01
7.45000000e-07,4.81462571e-02,8.07414972e-01,1.44438771e-01
7.55000000e-07,4.84813657e-02,8.06074537e-01,1.45444097e-01
7.65000000e-07,4.88137405e-02,8.04745038e-01,1.46441221e-01
7.75000000e-07,4.91434350e-02,8.03426260e-01,1.47430305e-01
7.85000000e-07,4.94705010e-02,8.02117996e-01,1.48411503e-01
7.95000000e-07,4.97949889e-02,8.00820044e-01,1.49384967e-01
8.05000000e-07,5.01169475e-02,7.99532210e-01,1.50350842e-01
8.15000000e-07,5.04364239e-02,7.98254304e-01,1.51309272e-01
8.25000000e-07,5.07534640e-02,7.96986144e-01,1.52260392e-01
8.35000000e-07,5.10681122e-02,7.95727551e-01,1.53204336e-01
8.45000000e-07,5.13804117e-02,7.94478353e-01,1.54141235e-01
8.55000000e-07,5.16904044e-02,7.93238382e-01,1.55071213e-01
8.65000000e-07,5.19981310e-02,7.92007476e-01,1.55994393e-01
8.75000000e-07,5.23036311e-02,7.90785476e-01,1.56910893e-01
8.85000000e-07,5.26069430e-02,7.89572228e-01,1.57820829e-01
8.95000000e-07,5.29081042e-02,7.88367583e-01,1.58724313e-01
9.05000000e-07,5.32071509e-02,7.87171396e-01,1.59621453e-01
9.15000000e-07,5.35041186e-02,7.85983526e-01,1.60512356e-01
9.25000000e-07,5.37990415e-02,7.84803834e-01,1.61397125e-01
9.35000000e-07,5.40919532e-02,7.83632187e-01,1.62275860e-01
9.45000000e-07,5.43828862e-02,7.82468455e-01,1.63148659e-01
9.55000000e-07,5.46718723e-02,7.81312511e-01,1.64015617e-01
9.65000000e-07,5.49589424e-02,7.80164230e-01,1.64876827e-01
9.75000000e-07,5.52441266e-02,7.79023494e-01,1.65732380e-01
9.85000000e-07,5.55274543e-02,7.77890183e-01,1.66582363e-01
9.95000000e-07,5.58089540e-02,7.76764184e-01,1.67426862e-01
