z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00
5.00000000e-09,2.03423913e-07,3.54961435e-01,2.88620792e-03,4.24072641e-07,1.18757631e-06,4.15460735e-04,6.41735081e-01,3.72216440e-08,4.22254549e-01,1.22175253e-03,3.05781919e-06,1.62969764e-02,1.81607081e-04,5.60042020e-01
1.50000000e-08,3.76870972e-07,3.53423294e-01,3.96766827e-03,4.26973861e-07,2.12278253e-06,5.63223668e-04,6.42042888e-01,7.04186169e-08,4.07554213e-01,1.93801716e-03,3.75982666e-06,1.78957498e-02,2.36133929e-04,5.72372056e-01
2.50000000e-08,5.30848929e-07,3.51962855e-01,4.76057797e-03,4.30883222e-07,2.91238623e-06,6.65967945e-04,6.42606725e-01,1.00690866e-07,3.96686038e-01,2.58099470e-03,4.37898662e-06,1.88486271e-02,2.72906926e-04,5.81606954e-01
3.50000000e-08,6.70884622e-07,3.50553151e-01,5.41233011e-03,4.35315833e-07,3.59349468e-06,7.45991342e-04,6.43283828e-01,1.28702745e-07,3.88142819e-01,3.17726972e-03,4.93257174e-06,1.94908248e-02,3.00962405e-04,5.88883063e-01
4.50000000e-08,8.00291799e-07,3.49185854e-01,5.97873052e-03,4.40054499e-07,4.18973864e-06,8.11930932e-04,6.44018055e-01,1.54896887e-07,3.81147022e-01,3.73748973e-03,5.43323531e-06,1.99589475e-02,3.23739802e-04,5.94827213e-01
5.50000000e-08,9.21232005e-07,3.47856832e-01,6.48747458e-03,4.44981248e-07,4.71732742e-06,8.68163623e-04,6.44781447e-01,1.79584868e-07,3.75246707e-01,4.26799698e-03,5.89052488e-06,2.03185409e-02,3.42950387e-04,5.99817735e-01
6.50000000e-08,1.03520485e-06,3.46563451e-01,6.95442649e-03,4.50024262e-07,5.18801244e-06,9.17247542e-04,6.45558202e-01,2.02995505e-07,3.70158458e-01,4.77321273e-03,6.31167607e-06,2.06051507e-02,3.59577646e-04,6.04097086e-01
7.50000000e-08,1.14330094e-06,3.45303770e-01,7.38954440e-03,4.55136328e-07,5.61067681e-06,9.60820615e-04,6.46338656e-01,2.25302768e-07,3.65694049e-01,5.25645533e-03,6.70224865e-06,2.08398727e-02,3.74241776e-04,6.07828454e-01
8.50000000e-08,1.24634336e-06,3.44076220e-01,7.79949445e-03,4.60284673e-07,5.99225400e-06,1.00000102e-03,6.47116586e-01,2.46642768e-07,3.61722678e-01,5.72032338e-03,7.06658909e-06,2.10361116e-02,3.87360354e-04,6.11126213e-01
9.50000000e-08,1.34497218e-06,3.42879455e-01,8.18895866e-03,4.65445629e-07,6.33829235e-06,1.03558946e-03,6.47887848e-01,2.67124568e-07,3.58150052e-01,6.16691095e-03,7.40815494e-06,2.12028498e-02,3.99228636e-04,6.14073283e-01
1.05000000e-07,1.43969745e-06,3.41712273e-01,8.56135105e-03,4.70601601e-07,6.65332011e-06,1.06818093e-03,6.48649632e-01,2.86837329e-07,3.54906109e-01,6.59794196e-03,7.72974163e-06,2.13463666e-02,4.10063489e-04,6.16731503e-01
1.15000000e-07,1.53093400e-06,3.40573570e-01,8.91923735e-03,4.75739234e-07,6.94109192e-06,1.09823082e-03,6.49400014e-01,3.05855182e-07,3.51937455e-01,7.01485989e-03,8.03364269e-06,2.14712057e-02,4.20029123e-04,6.19148110e-01
1.25000000e-07,1.61902504e-06,3.39462314e-01,9.26459452e-03,4.80848240e-07,7.20476123e-06,1.12609620e-03,6.50137691e-01,3.24240660e-07,3.49202522e-01,7.41889040e-03,8.32176465e-06,2.15807495e-02,4.29253021e-04,6.21359939e-01
