z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.75457706e+00,0.00000000e+00,0.00000000e+00,-1.75457706e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.57742561e-02,0.00000000e+00,0.00000000e+00,-3.57742561e-02
5.00000000e-09,-2.11228014e-19,6.33620349e-22,-8.20576403e-18,2.12058723e-16,1.30694537e-22,-7.67623608e-22,-2.03641729e-16,2.53845186e-20,1.13820052e-20,4.71162077e-20,5.27497246e-17,0.00000000e+00,-1.12298040e-20,-5.28223775e-17
1.50000000e-08,7.07999603e-19,-1.58537436e-20,-1.06790979e-16,4.98184364e-16,8.16427265e-22,1.50348348e-20,-3.92101381e-16,-4.92007028e-21,-4.98293601e-21,-1.49554255e-20,4.66582937e-17,-5.29395592e-22,4.85720456e-21,-4.66377664e-17
2.50000000e-08,9.72111300e-18,5.64724476e-20,2.30122318e-16,3.72582574e-15,-1.49802409e-21,-5.49512625e-20,-3.96566919e-15,1.82767211e-19,-4.48662764e-21,-2.88785295e-20,6.30226923e-18,-3.97046694e-22,4.92337901e-21,-6.45619100e-18
3.50000000e-08,-9.39269376e-19,-3.23675774e-20,-3.51538261e-17,-3.45506336e-17,-4.49903535e-21,3.68459332e-20,7.06437489e-17,3.36447442e-20,1.40256745e-20,1.24222676e-19,6.17593956e-17,7.94093388e-23,-1.41613321e-20,-6.19172085e-17
4.50000000e-08,1.51872925e-18,-4.91262566e-20,-2.73648916e-17,-7.54172715e-16,-1.06871735e-21,5.01867021e-20,7.80018887e-16,-8.29165846e-21,-5.43953971e-21,-1.79359227e-19,3.53619315e-17,1.48230766e-21,3.59989003e-21,-3.51739166e-17
5.50000000e-08,-2.73666998e-18,-1.88100871e-21,-4.76465827e-17,-6.73850444e-17,-3.44107135e-22,2.22346149e-21,1.17768298e-16,2.80017181e-20,1.09121666e-20,-9.32000940e-20,2.76997509e-17,7.14684049e-22,-1.18055217e-20,-2.76343705e-17
6.50000000e-08,-1.94547669e-17,-5.05936750e-20,7.40444273e-17,2.88038659e-15,-4.03995011e-21,5.46336251e-20,-2.93497625e-15,-2.94018040e-19,-3.19291716e-21,4.24045869e-20,-1.01989120e-17,-2.17052193e-21,4.49986253e-21,1.04513940e-17
7.50000000e-08,3.64826107e-17,6.93475138e-20,4.99995002e-16,6.46694226e-15,-4.73478183e-21,-6.45862622e-20,-7.00341989e-15,5.55365755e-19,8.19901423e-21,1.95823429e-19,1.15170329e-16,-3.70576914e-22,-8.20563168e-21,-1.15921144e-16
8.50000000e-08,-3.03028436e-18,-5.88125416e-21,2.80186799e-16,1.69221179e-15,-1.95710933e-21,7.83505476e-21,-1.96936830e-15,-1.35359835e-20,-4.56603698e-22,6.40568666e-21,-3.27976451e-18,5.29395592e-23,4.23516474e-22,3.28687165e-18
9.50000000e-08,3.58001875e-17,-2.60909309e-20,-3.88910926e-16,6.40238767e-15,2.13412598e-21,2.39286808e-20,-6.04927690e-15,7.91793826e-19,-1.40356006e-20,1.44154420e-19,5.77222778e-17,-1.74700545e-21,1.57759886e-20,-5.86582227e-17
1.05000000e-07,-8.83344935e-19,-6.12072294e-20,5.18541732e-16,-1.01478128e-15,-1.64989445e-20,7.77152729e-20,4.97122879e-16,2.29790774e-20,-2.05471664e-20,-1.97888072e-19,2.80350435e-17,3.17637355e-21,1.72053567e-20,-2.78599724e-17
1.15000000e-07,-4.70594796e-18,1.35988493e-21,3.42168852e-17,-5.28496417e-15,-1.12827436e-21,-2.11758237e-22,5.25545322e-15,-3.84688616e-20,1.55179083e-21,-2.17899226e-19,2.67964167e-18,9.52912066e-22,-3.12343399e-21,-2.42265320e-18
1.25000000e-07,-1.59047972e-18,-3.88444016e-21,-1.10154448e-16,1.69280163e-15,-6.28326393e-21,1.01643954e-20,-1.58105670e-15,-2.14487933e-20,-1.55476868e-20,2.65333071e-19,3.90728887e-17,-4.23516474e-22,1.72582963e-20,-3.93180584e-17
1.35000000e-07,1.25193000e-18,-5.08525825e-20,6.38905769e-16,-3.81195662e-15,-5.67694054e-21,5.65394492e-20,3.17179891e-15,-1.56022807e-20,1.55840827e-21,7.25271961e-20,-1.11535128e-16,1.90582413e-21,-1.53524722e-21,1.11476272e-16
1.45000000e-07,4.27720950e-18,-2.77436377e-21,1.17809627e-17,1.44101263e-16,1.69902898e-21,1.05879118e-21,-1.60159422e-16,9.94932841e-21,-3.26041510e-20,-2.04029061e-19,-5.84598317e-17,3.59989003e-21,3.04402465e-20,5.86524788e-17
1.55000000e-07,2.86344410e-18,2.44266435e-21,-5.91448200e-17,-8.20547261e-17,1.03397577e-22,-2.54109884e-21,1.38336097e-16,8.15864782e-20,-2.17184542e-20,-4.70844440e-19,-3.19760232e-18,8.47032947e-22,1.95346973e-20,3.58819700e-18
1.65000000e-07,-1.89159828e-18,-7.24974176e-20,2.10624983e-16,7.25428163e-16,-2.46582541e-21,7.49624158e-20,-9.34161547e-16,8.36461579e-20,-2.96792404e-21,2.96302713e-19,1.06304805e-16,-7.57035697e-21,7.09390093e-21,-1.06681312e-16
1.75000000e-07,2.99190566e-18,-3.70576914e-22,-3.06207225e-17,-3.59867395e-16,-4.81419117e-22,8.47032947e-22,3.87496217e-16,-2.15433400e-19,-2.56839580e-20,-2.76926834e-19,-1.07374132e-17,4.18222518e-21,2.24993127e-20,1.12287783e-17
1.85000000e-07,1.45991757e-17,-8.07468899e-20,-5.02287305e-16,-1.59044947e-15,-4.38984751e-21,8.51268112e-20,2.07813761e-15,4.24879667e-19,-1.03232140e-21,2.32775242e-19,-4.00994397e-17,1.11173074e-21,1.48230766e-21,3.94402231e-17
1.95000000e-07,-4.17275727e-18,-3.67235105e-20,1.90030065e-16,-3.02395116e-15,2.45920796e-21,3.43048344e-20,2.83809381e-15,2.14570651e-21,4.17891645e-21,3.17637355e-20,-8.13490443e-18,-2.96461532e-21,-2.11758237e-21,8.10189661e-18
2.05000000e-07,8.76541445e-17,3.76954477e-20,1.72082808e-16,3.27332196e-15,-3.79345029e-21,-3.38813179e-20,-3.53305893e-15,1.66543883e-18,2.67609472e-20,3.18272630e-19,3.14692857e-17,2.96461532e-21,-2.69991752e-20,-3.34557235e-17
2.15000000e-07,7.76770034e-17,-1.83286680e-20,-5.67857141e-16,2.55775353e-15,5.60414865e-21,1.27054942e-20,-2.06757337e-15,1.82897243e-18,1.22488905e-20,2.17052193e-20,9.83666773e-17,-2.01170325e-21,-1.14349448e-20,-1.00216161e-16
2.25000000e-07,1.05199687e-16,2.22925175e-22,-8.60659848e-16,6.54114443e-15,-4.06890143e-21,3.81164826e-21,-5.78568423e-15,1.62484742e-18,1.73112359e-20,-1.85288457e-20,5.64891566e-17,1.37642854e-21,-1.79994501e-20,-5.80961634e-17
2.35000000e-07,-8.35666683e-17,4.42293474e-20,8.03150960e-16,-2.91373556e-15,5.33035187e-21,-4.95514274e-20,2.19415126e-15,-1.38758555e-18,-8.17916190e-21,4.43633506e-20,-1.60940072e-16,-1.16467030e-21,1.00585162e-20,1.62282579e-16
2.45000000e-07,5.28922135e-18,1.96335454e-20,6.70140152e-16,1.57148935e-15,-6.90613093e-21,-1.27054942e-20,-2.24691874e-15,1.61926395e-19,2.25836851e-20,3.16472685e-19,3.17699824e-17,-2.85873620e-21,-2.11758237e-20,-3.22469281e-17
2.55000000e-07,1.31181961e-17,-3.93572535e-20,5.78254102e-16,-5.25836738e-16,1.60489582e-20,2.32934060e-20,-6.55355446e-17,2.87668602e-19,-2.81539193e-20,2.09005380e-19,3.92156138e-17,-3.38813179e-21,3.08108235e-20,-3.97115582e-17
2.65000000e-07,-4.90561696e-18,-7.95747749e-22,-9.88233803e-17,-3.37133466e-16,-4.63221143e-23,8.47032947e-22,4.40862458e-16,-5.67578249e-20,1.35657620e-20,7.07166632e-19,-4.35807980e-17,-2.22346149e-21,-1.03761536e-20,4.29294231e-17
2.75000000e-07,-4.34276563e-18,-3.21318309e-20,6.40060372e-16,2.39566505e-15,-1.53210393e-20,4.74338450e-20,-3.03138264e-15,-4.56711232e-20,-1.37311982e-22,7.71858773e-20,4.42966468e-18,-2.01170325e-21,6.35274710e-22,-4.45966817e-18
2.85000000e-07,1.06645915e-19,1.71011320e-20,-6.86298432e-16,-2.10269815e-15,4.93165081e-21,-2.20228566e-20,2.78888993e-15,2.51987339e-19,-4.22523857e-21,2.07840709e-19,-3.28145858e-17,1.58818678e-21,4.02340650e-21,3.23533697e-17
2.95000000e-07,-3.54935281e-18,8.52728086e-20,9.01655857e-16,-4.14735703e-17,6.22536129e-21,-9.14795583e-20,-8.56632952e-16,1.19997437e-19,-1.80722420e-20,4.62162352e-19,5.11502021e-17,-2.22346149e-21,2.12817028e-20,-5.17333446e-17
3.05000000e-07,8.99672902e-18,-1.60307603e-20,-5.01150539e-16,2.42449724e-15,3.28059831e-21,1.27054942e-20,-1.93234339e-15,1.30229661e-19,3.09200113e-20,2.97732081e-19,-1.58736092e-17,8.47032947e-22,-3.11284608e-20,1.54450105e-17
