z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00
5.00000000e-08,1.95160207e-02,9.76270626e-01,4.21335379e-03
1.50000000e-07,3.37348736e-02,9.58982035e-01,7.28309116e-03
2.50000000e-07,4.53325895e-02,9.44880465e-01,9.78694585e-03
3.50000000e-07,5.53081074e-02,9.32751312e-01,1.19405809e-02
4.50000000e-07,6.41633442e-02,9.21984300e-01,1.38523562e-02
5.50000000e-07,7.21903295e-02,9.12224352e-01,1.55853185e-02
6.50000000e-07,7.95752742e-02,9.03245056e-01,1.71796694e-02
7.50000000e-07,8.64448154e-02,8.94892436e-01,1.86627487e-02
8.50000000e-07,9.28893438e-02,8.87056585e-01,2.00540712e-02
9.50000000e-07,9.89758649e-02,8.79656032e-01,2.13681028e-02
