z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-08,1.60655727e-10,-3.21311285e-10,4.81967167e-10
1.50000000e-07,1.17049484e-10,-2.34098914e-10,3.51148459e-10
2.50000000e-07,9.54723049e-11,-1.90944583e-10,2.86416918e-10
3.50000000e-07,8.21183849e-11,-1.64236697e-10,2.46355172e-10
4.50000000e-07,7.28962387e-11,-1.45792447e-10,2.18688743e-10
5.50000000e-07,6.60780801e-11,-1.32156136e-10,1.98234266e-10
6.50000000e-07,6.07928058e-11,-1.21585606e-10,1.82378414e-10
7.50000000e-07,5.65500088e-11,-1.13099997e-10,1.69650010e-10
8.50000000e-07,5.30513067e-11,-1.06102615e-10,1.59153919e-10
9.50000000e-07,5.01041932e-11,-1.00208390e-10,1.50312581e-10
