Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
3.717303e-01    3.717303e-01    -1.983196e-09   5.000000e-01    H2 + 2 RU(T) <=> 2 H(T) + 2 RU(B)
4.992167e-02    4.992167e-02    -6.610654e-10   5.000000e-01    N2 + RU(T) <=> N2(T) + RU(B)
9.359984e-01    9.359984e-01    1.322131e-09    5.000000e-01    NH3 + RU(T) <=> NH3(T) + RU(B)
1.746562e-08    1.614349e-08    1.322131e-09    5.196692e-01    NH3(T) + RU(T) <=> H(T) + NH2(T) + RU(B)
5.573346e-06    5.572024e-06    1.322131e-09    5.000593e-01    NH2(T) + RU(T) <=> H(T) + NH(T) + RU(B)
3.197564e-05    3.197432e-05    1.322131e-09    5.000103e-01    NH(T) + RU(T) <=> H(T) + N(T) + RU(B)
2.688207e-14    6.610923e-10    -6.610654e-10   4.066147e-05    N2(T) + RU(T) <=> 2 N(T) + RU(B)
1.498625e-04    1.498731e-04    -1.054285e-08   4.999824e-01    H2 + 2 RU(S) <=> 2 H(S) + 2 RU(B)
1.002355e-03    1.002359e-03    -3.514284e-09   4.999991e-01    N2 + RU(S) <=> N2(S) + RU(B)
1.879350e-02    1.879349e-02    7.028568e-09    5.000001e-01    NH3 + RU(S) <=> NH3(S) + RU(B)
1.009573e-06    1.002544e-06    7.028568e-09    5.017466e-01    NH3(S) + RU(S) <=> H(S) + NH2(S) + RU(B)
9.870043e-07    9.799758e-07    7.028568e-09    5.017866e-01    NH2(S) + RU(S) <=> H(S) + NH(S) + RU(B)
3.360106e-06    3.367135e-06    -7.028568e-09   4.994776e-01    H(S) + N(S) + RU(B) <=> NH(S) + RU(S)
1.260730e-13    3.514410e-09    -3.514284e-09   3.587187e-05    N2(S) + RU(S) <=> 2 N(S) + RU(B)
