Species_name	Phase	Surf_cov	H	N	Ru
N2	Gas	0	0	2	0
NH3	Gas	0	3	1	0
H2	Gas	0	2	0	0
RU(B)	RefStateStoichSubstance	0	0	0	1
N2(T)	Surface	5.39597e-06	0	2	0
N(T)	Surface	0.293166	0	1	0
H(T)	Surface	0.0255746	1	0	0
NH3(T)	Surface	7.3678e-07	3	1	0
NH2(T)	Surface	1.10899e-05	2	1	0
NH(T)	Surface	0.00180515	1	1	0
RU(T)	Surface	0.679437	0	0	1
N2(S)	Surface	1.11242e-06	0	2	0
N(S)	Surface	0.282853	0	1	0
H(S)	Surface	0.0255637	1	0	0
NH3(S)	Surface	1.72563e-05	3	1	0
NH2(S)	Surface	0.0224444	2	1	0
NH(S)	Surface	0.000656508	1	1	0
RU(S)	Surface	0.668464	0	0	1
