z(m),N2,NH3,H2
0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
1.000000e-10,4.576821e-09,1.000000e+00,9.880992e-10
1.450000e-10,6.636388e-09,1.000000e+00,1.432743e-09
1.900000e-10,8.695954e-09,1.000000e+00,1.877387e-09
2.350000e-10,1.075552e-08,1.000000e+00,2.322031e-09
2.800000e-10,1.281508e-08,1.000000e+00,2.766675e-09
3.250000e-10,1.487465e-08,1.000000e+00,3.211318e-09
3.700000e-10,1.693421e-08,1.000000e+00,3.655961e-09
4.150000e-10,1.899377e-08,1.000000e+00,4.100604e-09
4.600000e-10,2.105333e-08,1.000000e+00,4.545246e-09
5.050000e-10,2.311289e-08,1.000000e+00,4.989888e-09
5.500000e-10,2.517244e-08,1.000000e+00,5.434531e-09
5.950000e-10,2.723200e-08,1.000000e+00,5.879172e-09
6.400000e-10,2.929156e-08,1.000000e+00,6.323814e-09
6.850000e-10,3.135111e-08,1.000000e+00,6.768456e-09
7.300000e-10,3.341066e-08,1.000000e+00,7.213097e-09
7.750000e-10,3.547022e-08,1.000000e+00,7.657738e-09
8.200000e-10,3.752977e-08,1.000000e+00,8.102379e-09
8.650000e-10,3.958932e-08,1.000000e+00,8.547019e-09
9.100000e-10,4.164887e-08,9.999999e-01,8.991659e-09
9.550000e-10,4.370842e-08,9.999999e-01,9.436300e-09
1.000000e-09,4.576796e-08,9.999999e-01,9.880940e-09
1.450000e-09,6.636338e-08,9.999999e-01,1.432733e-08
1.900000e-09,8.695871e-08,9.999999e-01,1.877369e-08
2.350000e-09,1.075539e-07,9.999999e-01,2.322004e-08
2.800000e-09,1.281491e-07,9.999998e-01,2.766637e-08
3.250000e-09,1.487441e-07,9.999998e-01,3.211267e-08
3.700000e-09,1.693391e-07,9.999998e-01,3.655896e-08
4.150000e-09,1.899339e-07,9.999998e-01,4.100523e-08
4.600000e-09,2.105287e-07,9.999997e-01,4.545148e-08
5.050000e-09,2.311234e-07,9.999997e-01,4.989770e-08
5.500000e-09,2.517180e-07,9.999997e-01,5.434391e-08
5.950000e-09,2.723125e-07,9.999997e-01,5.879010e-08
