z(m),Velocity(m/s),Density,Pressure(Pa)
0.000000e+00,1.000000e-02,2.306110e-01,1.013250e+05
1.000000e-10,1.000000e-02,2.306110e-01,1.013250e+05
1.450000e-10,1.000000e-02,2.306110e-01,1.013250e+05
1.900000e-10,1.000000e-02,2.306110e-01,1.013250e+05
2.350000e-10,1.000000e-02,2.306110e-01,1.013250e+05
2.800000e-10,1.000000e-02,2.306110e-01,1.013250e+05
3.250000e-10,1.000000e-02,2.306110e-01,1.013250e+05
3.700000e-10,1.000000e-02,2.306110e-01,1.013250e+05
4.150000e-10,1.000000e-02,2.306110e-01,1.013250e+05
4.600000e-10,1.000000e-02,2.306110e-01,1.013250e+05
5.050000e-10,1.000000e-02,2.306110e-01,1.013250e+05
5.500000e-10,1.000000e-02,2.306110e-01,1.013250e+05
5.950000e-10,1.000000e-02,2.306110e-01,1.013250e+05
6.400000e-10,1.000000e-02,2.306110e-01,1.013250e+05
6.850000e-10,1.000000e-02,2.306110e-01,1.013250e+05
7.300000e-10,1.000000e-02,2.306110e-01,1.013250e+05
7.750000e-10,1.000000e-02,2.306110e-01,1.013250e+05
8.200000e-10,1.000000e-02,2.306110e-01,1.013250e+05
8.650000e-10,1.000000e-02,2.306110e-01,1.013250e+05
9.100000e-10,1.000000e-02,2.306110e-01,1.013250e+05
9.550000e-10,1.000000e-02,2.306110e-01,1.013250e+05
1.000000e-09,1.000000e-02,2.306110e-01,1.013250e+05
1.450000e-09,1.000000e-02,2.306110e-01,1.013250e+05
1.900000e-09,1.000000e-02,2.306110e-01,1.013250e+05
2.350000e-09,1.000000e-02,2.306110e-01,1.013250e+05
2.800000e-09,1.000000e-02,2.306110e-01,1.013250e+05
3.250000e-09,1.000000e-02,2.306110e-01,1.013250e+05
3.700000e-09,1.000000e-02,2.306110e-01,1.013250e+05
4.150000e-09,1.000000e-02,2.306110e-01,1.013250e+05
4.600000e-09,1.000000e-02,2.306110e-01,1.013250e+05
5.050000e-09,1.000000e-02,2.306110e-01,1.013250e+05
5.500000e-09,1.000000e-02,2.306110e-01,1.013250e+05
5.950000e-09,1.000000e-02,2.306109e-01,1.013250e+05
6.400000e-09,1.000000e-02,2.306109e-01,1.013250e+05
6.850000e-09,1.000000e-02,2.306109e-01,1.013250e+05
7.300000e-09,1.000000e-02,2.306109e-01,1.013250e+05
7.750000e-09,1.000000e-02,2.306109e-01,1.013250e+05
8.200000e-09,1.000000e-02,2.306109e-01,1.013250e+05
8.650000e-09,1.000000e-02,2.306109e-01,1.013250e+05
9.100000e-09,1.000001e-02,2.306109e-01,1.013250e+05
9.550000e-09,1.000001e-02,2.306109e-01,1.013250e+05
1.000000e-08,1.000001e-02,2.306109e-01,1.013250e+05
1.450000e-08,1.000001e-02,2.306108e-01,1.013250e+05
1.900000e-08,1.000001e-02,2.306108e-01,1.013250e+05
2.350000e-08,1.000001e-02,2.306107e-01,1.013250e+05
2.800000e-08,1.000002e-02,2.306107e-01,1.013250e+05
3.250000e-08,1.000002e-02,2.306106e-01,1.013250e+05
3.700000e-08,1.000002e-02,2.306106e-01,1.013250e+05
4.150000e-08,1.000002e-02,2.306105e-01,1.013250e+05
4.600000e-08,1.000003e-02,2.306104e-01,1.013250e+05
5.050000e-08,1.000003e-02,2.306104e-01,1.013250e+05
5.500000e-08,1.000003e-02,2.306103e-01,1.013250e+05
5.950000e-08,1.000003e-02,2.306103e-01,1.013250e+05
6.400000e-08,1.000004e-02,2.306102e-01,1.013250e+05
6.850000e-08,1.000004e-02,2.306101e-01,1.013250e+05
7.300000e-08,1.000004e-02,2.306101e-01,1.013250e+05
7.750000e-08,1.000004e-02,2.306100e-01,1.013250e+05
8.200000e-08,1.000005e-02,2.306100e-01,1.013250e+05
8.650000e-08,1.000005e-02,2.306099e-01,1.013250e+05
9.100000e-08,1.000005e-02,2.306099e-01,1.013250e+05
9.550000e-08,1.000005e-02,2.306098e-01,1.013250e+05
1.000000e-07,1.000006e-02,2.306097e-01,1.013250e+05
1.450000e-07,1.000008e-02,2.306092e-01,1.013250e+05
1.900000e-07,1.000011e-02,2.306086e-01,1.013250e+05
2.350000e-07,1.000013e-02,2.306080e-01,1.013250e+05
2.800000e-07,1.000016e-02,2.306074e-01,1.013250e+05
3.250000e-07,1.000018e-02,2.306069e-01,1.013250e+05
3.700000e-07,1.000021e-02,2.306063e-01,1.013250e+05
4.150000e-07,1.000023e-02,2.306057e-01,1.013250e+05
4.600000e-07,1.000026e-02,2.306051e-01,1.013250e+05
5.050000e-07,1.000028e-02,2.306046e-01,1.013250e+05
5.500000e-07,1.000031e-02,2.306040e-01,1.013250e+05
5.950000e-07,1.000033e-02,2.306034e-01,1.013250e+05
6.400000e-07,1.000036e-02,2.306028e-01,1.013250e+05
6.850000e-07,1.000038e-02,2.306023e-01,1.013250e+05
7.300000e-07,1.000040e-02,2.306017e-01,1.013250e+05
7.750000e-07,1.000043e-02,2.306011e-01,1.013250e+05
8.200000e-07,1.000045e-02,2.306005e-01,1.013250e+05
8.650000e-07,1.000048e-02,2.306000e-01,1.013250e+05
9.100000e-07,1.000050e-02,2.305994e-01,1.013250e+05
9.550000e-07,1.000053e-02,2.305988e-01,1.013250e+05
1.000000e-06,1.000055e-02,2.305982e-01,1.013250e+05
1.450000e-06,1.000080e-02,2.305925e-01,1.013250e+05
1.900000e-06,1.000105e-02,2.305868e-01,1.013250e+05
2.350000e-06,1.000130e-02,2.305811e-01,1.013250e+05
2.800000e-06,1.000154e-02,2.305755e-01,1.013250e+05
3.250000e-06,1.000179e-02,2.305698e-01,1.013250e+05
3.700000e-06,1.000203e-02,2.305642e-01,1.013250e+05
4.150000e-06,1.000228e-02,2.305586e-01,1.013250e+05
4.600000e-06,1.000252e-02,2.305530e-01,1.013250e+05
5.050000e-06,1.000276e-02,2.305474e-01,1.013250e+05
5.500000e-06,1.000300e-02,2.305418e-01,1.013250e+05
5.950000e-06,1.000325e-02,2.305362e-01,1.013250e+05
6.400000e-06,1.000349e-02,2.305306e-01,1.013250e+05
6.850000e-06,1.000373e-02,2.305251e-01,1.013250e+05
7.300000e-06,1.000397e-02,2.305195e-01,1.013250e+05
7.750000e-06,1.000421e-02,2.305140e-01,1.013250e+05
8.200000e-06,1.000445e-02,2.305085e-01,1.013250e+05
8.650000e-06,1.000469e-02,2.305030e-01,1.013250e+05
9.100000e-06,1.000493e-02,2.304975e-01,1.013250e+05
9.550000e-06,1.000516e-02,2.304920e-01,1.013250e+05
1.000000e-05,1.000540e-02,2.304865e-01,1.013250e+05
1.450000e-05,1.000776e-02,2.304323e-01,1.013250e+05
1.900000e-05,1.001007e-02,2.303790e-01,1.013250e+05
2.350000e-05,1.001236e-02,2.303264e-01,1.013250e+05
2.800000e-05,1.001461e-02,2.302746e-01,1.013250e+05
3.250000e-05,1.001683e-02,2.302235e-01,1.013250e+05
3.700000e-05,1.001903e-02,2.301730e-01,1.013250e+05
4.150000e-05,1.002120e-02,2.301232e-01,1.013250e+05
4.600000e-05,1.002335e-02,2.300739e-01,1.013250e+05
5.050000e-05,1.002547e-02,2.300252e-01,1.013250e+05
5.500000e-05,1.002756e-02,2.299771e-01,1.013250e+05
5.950000e-05,1.002964e-02,2.299295e-01,1.013250e+05
6.400000e-05,1.003170e-02,2.298824e-01,1.013250e+05
6.850000e-05,1.003373e-02,2.298358e-01,1.013250e+05
7.300000e-05,1.003574e-02,2.297897e-01,1.013250e+05
7.750000e-05,1.003774e-02,2.297440e-01,1.013250e+05
8.200000e-05,1.003972e-02,2.296987e-01,1.013250e+05
8.650000e-05,1.004168e-02,2.296539e-01,1.013250e+05
9.100000e-05,1.004362e-02,2.296095e-01,1.013250e+05
9.550000e-05,1.004554e-02,2.295656e-01,1.013250e+05
1.000000e-04,1.004745e-02,2.295220e-01,1.013250e+05
1.450000e-04,1.006571e-02,2.291055e-01,1.013250e+05
1.900000e-04,1.008272e-02,2.287191e-01,1.013250e+05
2.350000e-04,1.009873e-02,2.283566e-01,1.013250e+05
2.800000e-04,1.011389e-02,2.280142e-01,1.013250e+05
3.250000e-04,1.012834e-02,2.276888e-01,1.013250e+05
3.700000e-04,1.014220e-02,2.273777e-01,1.013250e+05
4.150000e-04,1.015552e-02,2.270795e-01,1.013250e+05
4.600000e-04,1.016836e-02,2.267927e-01,1.013250e+05
5.050000e-04,1.018079e-02,2.265159e-01,1.013250e+05
