z(m),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
0.000000e+00,4.066249e-13,3.571678e-01,2.646952e-06,4.243479e-07,4.174714e-08,9.706375e-07,6.428281e-01,3.069751e-11,4.471382e-01,1.354310e-04,2.139660e-06,1.385273e-02,3.918510e-05,5.388323e-01
1.000000e-10,6.711125e-13,3.571670e-01,4.208160e-06,4.243472e-07,4.174946e-08,1.197460e-06,6.428272e-01,3.074394e-11,4.471381e-01,1.354352e-04,2.139663e-06,1.385272e-02,3.918585e-05,5.388324e-01
1.450000e-10,7.901318e-13,3.571667e-01,4.746009e-06,4.243469e-07,4.175041e-08,1.275602e-06,6.428268e-01,3.076483e-11,4.471381e-01,1.354370e-04,2.139665e-06,1.385271e-02,3.918618e-05,5.388324e-01
1.900000e-10,9.091509e-13,3.571664e-01,5.228823e-06,4.243466e-07,4.175134e-08,1.345748e-06,6.428265e-01,3.078572e-11,4.471381e-01,1.354389e-04,2.139666e-06,1.385271e-02,3.918652e-05,5.388325e-01
2.350000e-10,1.028170e-12,3.571662e-01,5.670677e-06,4.243464e-07,4.175225e-08,1.409943e-06,6.428262e-01,3.080661e-11,4.471380e-01,1.354408e-04,2.139667e-06,1.385270e-02,3.918686e-05,5.388325e-01
2.800000e-10,1.147189e-12,3.571660e-01,6.080504e-06,4.243462e-07,4.175314e-08,1.469485e-06,6.428260e-01,3.082750e-11,4.471380e-01,1.354426e-04,2.139668e-06,1.385270e-02,3.918719e-05,5.388325e-01
3.250000e-10,1.266208e-12,3.571658e-01,6.464402e-06,4.243460e-07,4.175402e-08,1.525260e-06,6.428257e-01,3.084839e-11,4.471380e-01,1.354445e-04,2.139670e-06,1.385269e-02,3.918753e-05,5.388326e-01
3.700000e-10,1.385226e-12,3.571656e-01,6.826744e-06,4.243459e-07,4.175488e-08,1.577903e-06,6.428255e-01,3.086928e-11,4.471379e-01,1.354464e-04,2.139671e-06,1.385269e-02,3.918787e-05,5.388326e-01
4.150000e-10,1.504245e-12,3.571654e-01,7.170800e-06,4.243457e-07,4.175574e-08,1.627890e-06,6.428253e-01,3.089017e-11,4.471379e-01,1.354483e-04,2.139672e-06,1.385268e-02,3.918820e-05,5.388327e-01
4.600000e-10,1.623264e-12,3.571653e-01,7.499087e-06,4.243455e-07,4.175659e-08,1.675585e-06,6.428251e-01,3.091106e-11,4.471378e-01,1.354501e-04,2.139674e-06,1.385268e-02,3.918854e-05,5.388327e-01
5.050000e-10,1.742282e-12,3.571651e-01,7.813593e-06,4.243454e-07,4.175743e-08,1.721278e-06,6.428249e-01,3.093195e-11,4.471378e-01,1.354520e-04,2.139675e-06,1.385267e-02,3.918888e-05,5.388327e-01
5.500000e-10,1.861300e-12,3.571650e-01,8.115920e-06,4.243452e-07,4.175827e-08,1.765202e-06,6.428247e-01,3.095284e-11,4.471378e-01,1.354539e-04,2.139676e-06,1.385267e-02,3.918921e-05,5.388328e-01
5.950000e-10,1.980318e-12,3.571648e-01,8.407382e-06,4.243451e-07,4.175910e-08,1.807547e-06,6.428245e-01,3.097373e-11,4.471377e-01,1.354557e-04,2.139678e-06,1.385266e-02,3.918955e-05,5.388328e-01
6.400000e-10,2.099337e-12,3.571647e-01,8.689072e-06,4.243449e-07,4.175992e-08,1.848473e-06,6.428243e-01,3.099462e-11,4.471377e-01,1.354576e-04,2.139679e-06,1.385266e-02,3.918989e-05,5.388329e-01
6.850000e-10,2.218355e-12,3.571645e-01,8.961912e-06,4.243448e-07,4.176074e-08,1.888113e-06,6.428242e-01,3.101551e-11,4.471377e-01,1.354595e-04,2.139680e-06,1.385265e-02,3.919022e-05,5.388329e-01
7.300000e-10,2.337372e-12,3.571644e-01,9.226687e-06,4.243447e-07,4.176156e-08,1.926581e-06,6.428240e-01,3.103640e-11,4.471376e-01,1.354614e-04,2.139682e-06,1.385265e-02,3.919056e-05,5.388329e-01
7.750000e-10,2.456390e-12,3.571642e-01,9.484073e-06,4.243445e-07,4.176237e-08,1.963975e-06,6.428238e-01,3.105729e-11,4.471376e-01,1.354632e-04,2.139683e-06,1.385264e-02,3.919090e-05,5.388330e-01
8.200000e-10,2.575408e-12,3.571641e-01,9.734656e-06,4.243444e-07,4.176318e-08,2.000381e-06,6.428237e-01,3.107818e-11,4.471375e-01,1.354651e-04,2.139684e-06,1.385264e-02,3.919123e-05,5.388330e-01
8.650000e-10,2.694426e-12,3.571640e-01,9.978947e-06,4.243443e-07,4.176398e-08,2.035873e-06,6.428235e-01,3.109907e-11,4.471375e-01,1.354670e-04,2.139686e-06,1.385263e-02,3.919157e-05,5.388331e-01
9.100000e-10,2.813443e-12,3.571639e-01,1.021740e-05,4.243442e-07,4.176479e-08,2.070517e-06,6.428234e-01,3.111996e-11,4.471375e-01,1.354688e-04,2.139687e-06,1.385263e-02,3.919190e-05,5.388331e-01
9.550000e-10,2.932460e-12,3.571637e-01,1.045041e-05,4.243441e-07,4.176558e-08,2.104370e-06,6.428232e-01,3.114085e-11,4.471374e-01,1.354707e-04,2.139688e-06,1.385262e-02,3.919224e-05,5.388331e-01
1.000000e-09,3.051478e-12,3.571636e-01,1.067834e-05,4.243439e-07,4.176638e-08,2.137485e-06,6.428231e-01,3.116174e-11,4.471374e-01,1.354726e-04,2.139689e-06,1.385262e-02,3.919258e-05,5.388332e-01
1.450000e-09,4.241646e-12,3.571626e-01,1.273517e-05,4.243429e-07,4.177424e-08,2.436312e-06,6.428218e-01,3.137065e-11,4.471370e-01,1.354913e-04,2.139703e-06,1.385256e-02,3.919594e-05,5.388336e-01
1.900000e-09,5.431806e-12,3.571617e-01,1.450325e-05,4.243420e-07,4.178195e-08,2.693188e-06,6.428207e-01,3.157955e-11,4.471367e-01,1.355100e-04,2.139716e-06,1.385251e-02,3.919930e-05,5.388340e-01
2.350000e-09,6.621957e-12,3.571608e-01,1.607794e-05,4.243412e-07,4.178956e-08,2.921966e-06,6.428197e-01,3.178845e-11,4.471363e-01,1.355287e-04,2.139729e-06,1.385246e-02,3.920267e-05,5.388344e-01
2.800000e-09,7.812100e-12,3.571601e-01,1.751162e-05,4.243405e-07,4.179709e-08,3.130259e-06,6.428188e-01,3.199735e-11,4.471359e-01,1.355474e-04,2.139742e-06,1.385241e-02,3.920603e-05,5.388348e-01
3.250000e-09,9.002236e-12,3.571594e-01,1.883649e-05,4.243399e-07,4.180458e-08,3.322742e-06,6.428180e-01,3.220625e-11,4.471355e-01,1.355661e-04,2.139755e-06,1.385236e-02,3.920939e-05,5.388352e-01
3.700000e-09,1.019236e-11,3.571588e-01,2.007409e-05,4.243392e-07,4.181201e-08,3.502546e-06,6.428172e-01,3.241515e-11,4.471352e-01,1.355848e-04,2.139768e-06,1.385231e-02,3.921275e-05,5.388356e-01
4.150000e-09,1.138248e-11,3.571582e-01,2.123970e-05,4.243387e-07,4.181941e-08,3.671890e-06,6.428164e-01,3.262404e-11,4.471348e-01,1.356035e-04,2.139781e-06,1.385226e-02,3.921611e-05,5.388360e-01
4.600000e-09,1.257260e-11,3.571576e-01,2.234457e-05,4.243381e-07,4.182678e-08,3.832411e-06,6.428158e-01,3.283294e-11,4.471344e-01,1.356222e-04,2.139795e-06,1.385220e-02,3.921947e-05,5.388364e-01
5.050000e-09,1.376270e-11,3.571571e-01,2.339731e-05,4.243376e-07,4.183412e-08,3.985358e-06,6.428151e-01,3.304184e-11,4.471340e-01,1.356409e-04,2.139808e-06,1.385215e-02,3.922283e-05,5.388368e-01
5.500000e-09,1.495280e-11,3.571565e-01,2.440469e-05,4.243371e-07,4.184144e-08,4.131713e-06,6.428145e-01,3.325074e-11,4.471337e-01,1.356596e-04,2.139821e-06,1.385210e-02,3.922619e-05,5.388372e-01
5.950000e-09,1.614290e-11,3.571560e-01,2.537209e-05,4.243366e-07,4.184873e-08,4.272262e-06,6.428138e-01,3.345963e-11,4.471333e-01,1.356782e-04,2.139834e-06,1.385205e-02,3.922955e-05,5.388376e-01
6.400000e-09,1.733298e-11,3.571556e-01,2.630392e-05,4.243361e-07,4.185601e-08,4.407642e-06,6.428133e-01,3.366853e-11,4.471329e-01,1.356969e-04,2.139847e-06,1.385200e-02,3.923291e-05,5.388380e-01
6.850000e-09,1.852306e-11,3.571551e-01,2.720385e-05,4.243356e-07,4.186328e-08,4.538387e-06,6.428127e-01,3.387742e-11,4.471325e-01,1.357156e-04,2.139860e-06,1.385195e-02,3.923627e-05,5.388384e-01
7.300000e-09,1.971313e-11,3.571546e-01,2.807494e-05,4.243352e-07,4.187052e-08,4.664942e-06,6.428121e-01,3.408632e-11,4.471322e-01,1.357343e-04,2.139873e-06,1.385190e-02,3.923963e-05,5.388388e-01
7.750000e-09,2.090320e-11,3.571542e-01,2.891981e-05,4.243348e-07,4.187776e-08,4.787688e-06,6.428116e-01,3.429521e-11,4.471318e-01,1.357530e-04,2.139886e-06,1.385185e-02,3.924299e-05,5.388392e-01
8.200000e-09,2.209326e-11,3.571538e-01,2.974069e-05,4.243343e-07,4.188498e-08,4.906948e-06,6.428111e-01,3.450410e-11,4.471314e-01,1.357716e-04,2.139900e-06,1.385180e-02,3.924634e-05,5.388396e-01
8.650000e-09,2.328331e-11,3.571534e-01,3.053936e-05,4.243339e-07,4.189219e-08,5.022982e-06,6.428106e-01,3.471299e-11,4.471310e-01,1.357903e-04,2.139913e-06,1.385174e-02,3.924970e-05,5.388400e-01
9.100000e-09,2.447335e-11,3.571530e-01,3.131800e-05,4.243335e-07,4.189939e-08,5.136105e-06,6.428101e-01,3.492189e-11,4.471307e-01,1.358090e-04,2.139926e-06,1.385169e-02,3.925306e-05,5.388404e-01
9.550000e-09,2.566339e-11,3.571526e-01,3.207765e-05,4.243332e-07,4.190658e-08,5.246470e-06,6.428096e-01,3.513078e-11,4.471303e-01,1.358276e-04,2.139939e-06,1.385164e-02,3.925641e-05,5.388408e-01
1.000000e-08,2.685342e-11,3.571522e-01,3.281941e-05,4.243328e-07,4.191376e-08,5.354234e-06,6.428092e-01,3.533967e-11,4.471299e-01,1.358463e-04,2.139952e-06,1.385159e-02,3.925977e-05,5.388412e-01
1.450000e-08,3.875340e-11,3.571487e-01,3.947916e-05,4.243294e-07,4.198518e-08,6.321781e-06,6.428050e-01,3.742854e-11,4.471262e-01,1.360328e-04,2.140083e-06,1.385108e-02,3.929329e-05,5.388453e-01
1.900000e-08,5.065276e-11,3.571458e-01,4.516723e-05,4.243264e-07,4.205609e-08,7.148155e-06,6.428014e-01,3.951736e-11,4.471224e-01,1.362191e-04,2.140214e-06,1.385057e-02,3.932677e-05,5.388493e-01
2.350000e-08,6.255152e-11,3.571432e-01,5.021452e-05,4.243238e-07,4.212667e-08,7.881432e-06,6.427982e-01,4.160612e-11,4.471187e-01,1.364051e-04,2.140344e-06,1.385007e-02,3.936021e-05,5.388533e-01
2.800000e-08,7.444969e-11,3.571408e-01,5.479874e-05,4.243214e-07,4.219701e-08,8.547432e-06,6.427954e-01,4.369483e-11,4.471150e-01,1.365909e-04,2.140475e-06,1.384956e-02,3.939360e-05,5.388573e-01
3.250000e-08,8.634728e-11,3.571386e-01,5.902779e-05,4.243192e-07,4.226717e-08,9.161829e-06,6.427927e-01,4.578347e-11,4.471113e-01,1.367765e-04,2.140605e-06,1.384906e-02,3.942695e-05,5.388613e-01
3.700000e-08,9.824430e-11,3.571366e-01,6.297325e-05,4.243171e-07,4.233717e-08,9.735025e-06,6.427902e-01,4.787207e-11,4.471076e-01,1.369619e-04,2.140735e-06,1.384856e-02,3.946025e-05,5.388653e-01
4.150000e-08,1.101408e-10,3.571347e-01,6.668549e-05,4.243151e-07,4.240706e-08,1.027434e-05,6.427879e-01,4.996061e-11,4.471039e-01,1.371470e-04,2.140865e-06,1.384806e-02,3.949351e-05,5.388693e-01
4.600000e-08,1.220366e-10,3.571328e-01,7.020153e-05,4.243133e-07,4.247683e-08,1.078514e-05,6.427857e-01,5.204909e-11,4.471002e-01,1.373319e-04,2.140995e-06,1.384756e-02,3.952673e-05,5.388733e-01
5.050000e-08,1.339320e-10,3.571311e-01,7.354949e-05,4.243115e-07,4.254652e-08,1.127153e-05,6.427836e-01,5.413752e-11,4.470965e-01,1.375166e-04,2.141125e-06,1.384706e-02,3.955990e-05,5.388773e-01
5.500000e-08,1.458268e-10,3.571294e-01,7.675139e-05,4.243098e-07,4.261613e-08,1.173670e-05,6.427816e-01,5.622590e-11,4.470928e-01,1.377010e-04,2.141254e-06,1.384657e-02,3.959302e-05,5.388812e-01
5.950000e-08,1.577210e-10,3.571278e-01,7.982481e-05,4.243081e-07,4.268567e-08,1.218320e-05,6.427797e-01,5.831422e-11,4.470891e-01,1.378853e-04,2.141384e-06,1.384607e-02,3.962611e-05,5.388852e-01
6.400000e-08,1.696147e-10,3.571263e-01,8.278406e-05,4.243065e-07,4.275515e-08,1.261311e-05,6.427778e-01,6.040248e-11,4.470854e-01,1.380693e-04,2.141513e-06,1.384558e-02,3.965915e-05,5.388892e-01
6.850000e-08,1.815078e-10,3.571248e-01,8.564096e-05,4.243050e-07,4.282457e-08,1.302815e-05,6.427760e-01,6.249069e-11,4.470817e-01,1.382530e-04,2.141642e-06,1.384509e-02,3.969214e-05,5.388931e-01
7.300000e-08,1.934004e-10,3.571234e-01,8.840546e-05,4.243035e-07,4.289394e-08,1.342977e-05,6.427743e-01,6.457885e-11,4.470780e-01,1.384366e-04,2.141771e-06,1.384460e-02,3.972510e-05,5.388971e-01
7.750000e-08,2.052925e-10,3.571220e-01,9.108596e-05,4.243020e-07,4.296327e-08,1.381918e-05,6.427726e-01,6.666695e-11,4.470743e-01,1.386199e-04,2.141899e-06,1.384411e-02,3.975801e-05,5.389010e-01
8.200000e-08,2.171840e-10,3.571206e-01,9.368968e-05,4.243006e-07,4.303255e-08,1.419744e-05,6.427710e-01,6.875500e-11,4.470707e-01,1.388031e-04,2.142028e-06,1.384363e-02,3.979088e-05,5.389050e-01
8.650000e-08,2.290750e-10,3.571193e-01,9.622284e-05,4.242992e-07,4.310179e-08,1.456544e-05,6.427694e-01,7.084299e-11,4.470670e-01,1.389860e-04,2.142156e-06,1.384314e-02,3.982370e-05,5.389089e-01
9.100000e-08,2.409655e-10,3.571180e-01,9.869089e-05,4.242979e-07,4.317100e-08,1.492399e-05,6.427679e-01,7.293093e-11,4.470634e-01,1.391686e-04,2.142285e-06,1.384266e-02,3.985649e-05,5.389128e-01
9.550000e-08,2.528554e-10,3.571168e-01,1.010986e-04,4.242966e-07,4.324017e-08,1.527377e-05,6.427664e-01,7.501882e-11,4.470597e-01,1.393511e-04,2.142413e-06,1.384218e-02,3.988923e-05,5.389167e-01
1.000000e-07,2.647448e-10,3.571156e-01,1.034501e-04,4.242953e-07,4.330931e-08,1.561539e-05,6.427649e-01,7.710665e-11,4.470560e-01,1.395333e-04,2.142541e-06,1.384170e-02,3.992193e-05,5.389207e-01
1.450000e-07,3.836102e-10,3.571046e-01,1.245423e-04,4.242835e-07,4.399930e-08,1.867951e-05,6.427517e-01,9.798203e-11,4.470197e-01,1.413440e-04,2.143811e-06,1.383697e-02,4.024664e-05,5.389596e-01
1.900000e-07,5.024244e-10,3.570952e-01,1.425393e-04,4.242734e-07,4.468738e-08,2.129395e-05,6.427405e-01,1.188521e-10,4.469838e-01,1.431339e-04,2.145067e-06,1.383240e-02,4.056732e-05,5.389979e-01
