z(m),N2,NH3,H2
1.000000e-10,2.782460e-09,1.000000e+00,8.347380e-09
1.450000e-10,4.034566e-09,1.000000e+00,1.210370e-08
1.900000e-10,5.286671e-09,1.000000e+00,1.586001e-08
2.350000e-10,6.538775e-09,1.000000e+00,1.961632e-08
2.800000e-10,7.790879e-09,1.000000e+00,2.337264e-08
3.250000e-10,9.042982e-09,1.000000e+00,2.712894e-08
3.700000e-10,1.029508e-08,1.000000e+00,3.088525e-08
4.150000e-10,1.154719e-08,1.000000e+00,3.464156e-08
4.600000e-10,1.279929e-08,9.999999e-01,3.839786e-08
5.050000e-10,1.405139e-08,9.999999e-01,4.215416e-08
5.500000e-10,1.530349e-08,9.999999e-01,4.591046e-08
5.950000e-10,1.655559e-08,9.999999e-01,4.966676e-08
6.400000e-10,1.780768e-08,9.999999e-01,5.342305e-08
6.850000e-10,1.905978e-08,9.999999e-01,5.717935e-08
7.300000e-10,2.031188e-08,9.999999e-01,6.093564e-08
7.750000e-10,2.156398e-08,9.999999e-01,6.469193e-08
8.200000e-10,2.281607e-08,9.999999e-01,6.844822e-08
8.650000e-10,2.406817e-08,9.999999e-01,7.220450e-08
9.100000e-10,2.532026e-08,9.999999e-01,7.596079e-08
9.550000e-10,2.657236e-08,9.999999e-01,7.971707e-08
1.000000e-09,2.782445e-08,9.999999e-01,8.347335e-08
1.450000e-09,4.034535e-08,9.999998e-01,1.210361e-07
1.900000e-09,5.286620e-08,9.999998e-01,1.585986e-07
2.350000e-09,6.538698e-08,9.999997e-01,1.961609e-07
2.800000e-09,7.790771e-08,9.999997e-01,2.337231e-07
3.250000e-09,9.042838e-08,9.999996e-01,2.712851e-07
3.700000e-09,1.029490e-07,9.999996e-01,3.088470e-07
4.150000e-09,1.154696e-07,9.999995e-01,3.464087e-07
4.600000e-09,1.279901e-07,9.999995e-01,3.839702e-07
5.050000e-09,1.405105e-07,9.999994e-01,4.215315e-07
5.500000e-09,1.530309e-07,9.999994e-01,4.590927e-07
5.950000e-09,1.655512e-07,9.999993e-01,4.966537e-07
6.400000e-09,1.780715e-07,9.999993e-01,5.342145e-07
6.850000e-09,1.905917e-07,9.999992e-01,5.717752e-07
7.300000e-09,2.031119e-07,9.999992e-01,6.093357e-07
7.750000e-09,2.156320e-07,9.999991e-01,6.468961e-07
8.200000e-09,2.281521e-07,9.999991e-01,6.844563e-07
8.650000e-09,2.406721e-07,9.999990e-01,7.220163e-07
9.100000e-09,2.531920e-07,9.999990e-01,7.595761e-07
9.550000e-09,2.657119e-07,9.999989e-01,7.971358e-07
1.000000e-08,2.782318e-07,9.999989e-01,8.346954e-07
1.450000e-08,4.034272e-07,9.999984e-01,1.210282e-06
1.900000e-08,5.286173e-07,9.999979e-01,1.585852e-06
2.350000e-08,6.538020e-07,9.999974e-01,1.961406e-06
2.800000e-08,7.789815e-07,9.999969e-01,2.336944e-06
3.250000e-08,9.041556e-07,9.999964e-01,2.712467e-06
3.700000e-08,1.029324e-06,9.999959e-01,3.087973e-06
4.150000e-08,1.154488e-06,9.999954e-01,3.463464e-06
4.600000e-08,1.279646e-06,9.999949e-01,3.838939e-06
5.050000e-08,1.404799e-06,9.999944e-01,4.214398e-06
5.500000e-08,1.529947e-06,9.999939e-01,4.589842e-06
5.950000e-08,1.655090e-06,9.999934e-01,4.965270e-06
6.400000e-08,1.780228e-06,9.999929e-01,5.340683e-06
6.850000e-08,1.905360e-06,9.999924e-01,5.716080e-06
7.300000e-08,2.030487e-06,9.999919e-01,6.091461e-06
7.750000e-08,2.155609e-06,9.999914e-01,6.466827e-06
8.200000e-08,2.280726e-06,9.999909e-01,6.842177e-06
8.650000e-08,2.405837e-06,9.999904e-01,7.217512e-06
9.100000e-08,2.530944e-06,9.999899e-01,7.592832e-06
9.550000e-08,2.656045e-06,9.999894e-01,7.968136e-06
1.000000e-07,2.781142e-06,9.999889e-01,8.343425e-06
1.450000e-07,4.031825e-06,9.999839e-01,1.209547e-05
1.900000e-07,5.282004e-06,9.999789e-01,1.584601e-05
2.350000e-07,6.531687e-06,9.999739e-01,1.959506e-05
2.800000e-07,7.780872e-06,9.999689e-01,2.334262e-05
3.250000e-07,9.029580e-06,9.999639e-01,2.708874e-05
3.700000e-07,1.027781e-05,9.999589e-01,3.083342e-05
4.150000e-07,1.152556e-05,9.999539e-01,3.457669e-05
4.600000e-07,1.277285e-05,9.999489e-01,3.831855e-05
5.050000e-07,1.401967e-05,9.999439e-01,4.205902e-05
5.500000e-07,1.526604e-05,9.999389e-01,4.579811e-05
5.950000e-07,1.651195e-05,9.999340e-01,4.953584e-05
6.400000e-07,1.775741e-05,9.999290e-01,5.327223e-05
6.850000e-07,1.900242e-05,9.999240e-01,5.700727e-05
7.300000e-07,2.024700e-05,9.999190e-01,6.074100e-05
7.750000e-07,2.149114e-05,9.999140e-01,6.447341e-05
8.200000e-07,2.273484e-05,9.999091e-01,6.820452e-05
8.650000e-07,2.397812e-05,9.999041e-01,7.193435e-05
9.100000e-07,2.522097e-05,9.998991e-01,7.566290e-05
9.550000e-07,2.646339e-05,9.998941e-01,7.939018e-05
1.000000e-06,2.770540e-05,9.998892e-01,8.311621e-05
1.450000e-06,4.010319e-05,9.998396e-01,1.203096e-04
1.900000e-06,5.246239e-05,9.997902e-01,1.573872e-04
2.350000e-06,6.478542e-05,9.997409e-01,1.943562e-04
2.800000e-06,7.707420e-05,9.996917e-01,2.312226e-04
3.250000e-06,8.933037e-05,9.996427e-01,2.679911e-04
3.700000e-06,1.015553e-04,9.995938e-01,3.046660e-04
4.150000e-06,1.137503e-04,9.995450e-01,3.412508e-04
4.600000e-06,1.259163e-04,9.994963e-01,3.777488e-04
5.050000e-06,1.380542e-04,9.994478e-01,4.141626e-04
5.500000e-06,1.501650e-04,9.993993e-01,4.504949e-04
5.950000e-06,1.622493e-04,9.993510e-01,4.867480e-04
6.400000e-06,1.743079e-04,9.993028e-01,5.229238e-04
6.850000e-06,1.863414e-04,9.992546e-01,5.590243e-04
7.300000e-06,1.983504e-04,9.992066e-01,5.950511e-04
7.750000e-06,2.103352e-04,9.991587e-01,6.310057e-04
8.200000e-06,2.222965e-04,9.991108e-01,6.668896e-04
8.650000e-06,2.342348e-04,9.990631e-01,7.027043e-04
9.100000e-06,2.461503e-04,9.990154e-01,7.384510e-04
9.550000e-06,2.580436e-04,9.989678e-01,7.741307e-04
1.000000e-05,2.699149e-04,9.989203e-01,8.097446e-04
1.450000e-05,3.874898e-04,9.984500e-01,1.162469e-03
1.900000e-05,5.031599e-04,9.979874e-01,1.509480e-03
2.350000e-05,6.170986e-04,9.975316e-01,1.851296e-03
2.800000e-05,7.294375e-04,9.970822e-01,2.188313e-03
3.250000e-05,8.402744e-04,9.966389e-01,2.520823e-03
3.700000e-05,9.496913e-04,9.962012e-01,2.849074e-03
4.150000e-05,1.057758e-03,9.957690e-01,3.173275e-03
4.600000e-05,1.164536e-03,9.953419e-01,3.493607e-03
5.050000e-05,1.270079e-03,9.949197e-01,3.810236e-03
5.500000e-05,1.374438e-03,9.945022e-01,4.123314e-03
5.950000e-05,1.477657e-03,9.940894e-01,4.432970e-03
6.400000e-05,1.579775e-03,9.936809e-01,4.739326e-03
6.850000e-05,1.680833e-03,9.932767e-01,5.042499e-03
7.300000e-05,1.780865e-03,9.928765e-01,5.342595e-03
7.750000e-05,1.879904e-03,9.924804e-01,5.639713e-03
8.200000e-05,1.977982e-03,9.920881e-01,5.933946e-03
8.650000e-05,2.075128e-03,9.916995e-01,6.225383e-03
9.100000e-05,2.171369e-03,9.913145e-01,6.514106e-03
9.550000e-05,2.266731e-03,9.909331e-01,6.800194e-03
1.000000e-04,2.361241e-03,9.905550e-01,7.083722e-03
1.450000e-04,3.264119e-03,9.869435e-01,9.792358e-03
1.900000e-04,4.102060e-03,9.835918e-01,1.230618e-02
2.350000e-04,4.888020e-03,9.804479e-01,1.466406e-02
2.800000e-04,5.630353e-03,9.774786e-01,1.689106e-02
3.250000e-04,6.335874e-03,9.746565e-01,1.900762e-02
3.700000e-04,7.010380e-03,9.719585e-01,2.103114e-02
4.150000e-04,7.656800e-03,9.693728e-01,2.297040e-02
4.600000e-04,8.278754e-03,9.668850e-01,2.483626e-02
5.050000e-04,8.878947e-03,9.644842e-01,2.663684e-02
5.500000e-04,9.459362e-03,9.621626e-01,2.837808e-02
5.950000e-04,1.002172e-02,9.599131e-01,3.006517e-02
