Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
3.898173e-01    3.898173e-01    -1.802696e-09   5.000000e-01    H2 + 2 RU(T) <=> 2 H(T) + 2 RU(B)
5.223903e-02    5.223903e-02    -6.158337e-10   5.000000e-01    N2 + RU(T) <=> N2(T) + RU(B)
9.266717e-01    9.266717e-01    1.275148e-09    5.000000e-01    NH3 + RU(T) <=> NH3(T) + RU(B)
1.810360e-08    1.687204e-08    1.231554e-09    5.176059e-01    NH3(T) + RU(T) <=> H(T) + NH2(T) + RU(B)
5.848856e-06    5.847624e-06    1.231554e-09    5.000526e-01    NH2(T) + RU(T) <=> H(T) + NH(T) + RU(B)
3.308568e-05    3.308445e-05    1.231554e-09    5.000093e-01    NH(T) + RU(T) <=> H(T) + N(T) + RU(B)
2.999756e-14    6.158070e-10    -6.157770e-10   4.871023e-05    N2(T) + RU(T) <=> 2 N(T) + RU(B)
1.569565e-04    1.569667e-04    -1.015896e-08   4.999838e-01    H2 + 2 RU(S) <=> 2 H(S) + 2 RU(B)
1.048224e-03    1.048228e-03    -3.386328e-09   4.999992e-01    N2 + RU(S) <=> N2(S) + RU(B)
1.859453e-02    1.859452e-02    6.773864e-09    5.000001e-01    NH3 + RU(S) <=> NH3(S) + RU(B)
1.045735e-06    1.038963e-06    6.772654e-09    5.016244e-01    NH3(S) + RU(S) <=> H(S) + NH2(S) + RU(B)
1.021827e-06    1.015054e-06    6.772654e-09    5.016625e-01    NH2(S) + RU(S) <=> H(S) + NH(S) + RU(B)
1.051322e-05    1.050645e-05    6.772654e-09    5.001611e-01    NH(S) + RU(S) <=> H(S) + N(S) + RU(B)
1.472465e-13    3.386474e-09    -3.386327e-09   4.347888e-05    N2(S) + RU(S) <=> 2 N(S) + RU(B)
