Species_name	Phase	Surf_cov	H	N	Ru
N2	Gas	0	0	2	0
NH3	Gas	0	3	1	0
H2	Gas	0	2	0	0
RU(B)	RefStateStoichSubstance	0	0	0	1
N2(T)	Surface	5.64634e-06	0	2	0
N(T)	Surface	0.290504	0	1	0
H(T)	Surface	0.0267632	1	0	0
NH3(T)	Surface	7.52199e-07	3	1	0
NH2(T)	Surface	1.1112e-05	2	1	0
NH(T)	Surface	0.00183177	1	1	0
RU(T)	Surface	0.680883	0	0	1
N2(S)	Surface	1.16439e-06	0	2	0
N(S)	Surface	0.280041	0	1	0
H(S)	Surface	0.0268072	1	0	0
NH3(S)	Surface	1.7667e-05	3	1	0
NH2(S)	Surface	0.022377	2	1	0
NH(S)	Surface	0.000664767	1	1	0
RU(S)	Surface	0.670091	0	0	1
