 TERRACE          2.57000E-09
 STEP             5.24000E-11
 
Species         N               H               Ru              
Atomic Weights        14.006700        1.007970      101.070000
N2                            2               0               0
NH3                           1               3               0
H2                            0               2               0
N2(T)                         2               0               0
N(T)                          1               0               0
H(T)                          0               1               0
NH3(T)                        1               3               0
NH2(T)                        1               2               0
NH(T)                         1               1               0
RU(T)                         0               0               1
N2(S)                         2               0               0
N(S)                          1               0               0
H(S)                          0               1               0
NH3(S)                        1               3               0
NH2(S)                        1               2               0
NH(S)                         1               1               0
RU(S)                         0               0               1
RU(B)                         0               0               1
