Temperature = 900.00 K; Rates in mol/s
 -----------------------------------------------------
                              Percentages of production & consumption
Rxn #    Net Rate      PEI        N2                  NH3                 H2                  N2(T)               N(T)                H(T)                NH3(T)              NH2(T)              NH(T)               RU(T)               N2(S)               N(S)                H(S)                NH3(S)              NH2(S)              NH(S)               RU(S)           
   1    -2.2342E-07    0.50                    NaN                 NaN          1.5449E+01                 NaN                 NaN         -1.0000E+02                 NaN                 NaN                 NaN          7.5000E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
   2    -7.4473E-08    0.50             1.5449E+01                 NaN                 NaN         -1.0000E+02                 NaN                 NaN                 NaN                 NaN                 NaN          1.2500E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
   3     1.4895E-07    0.50                    NaN         -1.5449E+01                 NaN                 NaN                 NaN                 NaN          1.0000E+02                 NaN                 NaN         -2.5000E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
   4    -1.2228E-06    0.50                    NaN                 NaN          8.4551E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN         -1.0000E+02                 NaN                 NaN                 NaN          7.5000E+01
   5    -4.0759E-07    0.50             8.4551E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN         -1.0000E+02                 NaN                 NaN                 NaN                 NaN                 NaN          1.2500E+01
   6     8.1519E-07    0.50                    NaN         -8.4551E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN          1.0000E+02                 NaN                 NaN         -2.5000E+01
   7     1.4895E-07    0.52                    NaN                 NaN                 NaN                 NaN                 NaN          3.3333E+01         -1.0000E+02          1.0000E+02                 NaN         -2.5000E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
   8     1.4895E-07    0.50                    NaN                 NaN                 NaN                 NaN                 NaN          3.3333E+01                 NaN         -1.0000E+02          1.0000E+02         -2.5000E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
   9     1.4895E-07    0.50                    NaN                 NaN                 NaN                 NaN          1.0000E+02          3.3333E+01                 NaN                 NaN         -1.0000E+02         -2.5000E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
  10    -7.4473E-08    0.00                    NaN                 NaN                 NaN          1.0000E+02         -1.0000E+02                 NaN                 NaN                 NaN                 NaN          1.2500E+01                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN
  11     8.1519E-07    0.50                    NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN          3.3333E+01         -1.0000E+02          1.0000E+02                 NaN         -2.5000E+01
  12     8.1519E-07    0.50                    NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN          3.3333E+01                 NaN         -1.0000E+02          1.0000E+02         -2.5000E+01
  13     8.1519E-07    0.50                    NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN          1.0000E+02          3.3333E+01                 NaN                 NaN         -1.0000E+02         -2.5000E+01
  14    -4.0759E-07    0.00                    NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN                 NaN          1.0000E+02         -1.0000E+02                 NaN                 NaN                 NaN                 NaN          1.2500E+01
