 Experimental condition #  1
Vol [cm3]             N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    1.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    1.00000000E+000    9.00000000E+002
   1.00000000E-002    2.03043238E-007    3.54956984E-001    2.88265410E-003    4.23903779E-007    1.18591156E-006    4.15051859E-004    6.41743497E-001    3.71509791E-008    4.22271539E-001    1.21993318E-003    3.05526883E-006    1.62938756E-002    1.81451955E-004    5.60030108E-001    9.00000000E+002
   2.00000000E-002    3.76189872E-007    3.53421482E-001    3.96283052E-003    4.26798491E-007    2.11997421E-006    5.62690945E-004    6.42050074E-001    7.02881007E-008    4.07583514E-001    1.93490516E-003    3.75616348E-006    1.78916695E-002    2.35933607E-004    5.72350151E-001    9.00000000E+002
   3.00000000E-002    5.29913516E-007    3.51963523E-001    4.75478450E-003    4.30699350E-007    2.90875152E-006    6.65357179E-004    6.42612466E-001    1.00508011E-007    3.96722131E-001    2.57672880E-003    4.37442003E-006    1.88443738E-002    2.72680628E-004    5.81579611E-001    9.00000000E+002
   4.00000000E-002    6.69727173E-007    3.50556202E-001    5.40573424E-003    4.35123521E-007    3.58926181E-006    7.45325455E-004    6.43288045E-001    1.28473386E-007    3.88183030E-001    3.17195862E-003    4.92727258E-006    1.94866444E-002    3.00718716E-004    5.88852592E-001    9.00000000E+002
   5.00000000E-002    7.98934484E-007    3.49191148E-001    5.97141717E-003    4.39853186E-007    4.18506412E-006    8.11222756E-004    6.44020788E-001    1.54625276E-007    3.81189945E-001    3.73121770E-003    5.42731886E-006    1.99548964E-002    3.23483187E-004    5.94794876E-001    9.00000000E+002
   6.00000000E-002    9.19693603E-007    3.47864270E-001    6.47950369E-003    4.44771396E-007    4.71234054E-006    8.67422585E-004    6.44782727E-001    1.79274756E-007    3.75291500E-001    4.26083819E-003    5.88409145E-006    2.03146613E-002    3.42683970E-004    5.99784253E-001    9.00000000E+002
   7.00000000E-002    1.03349044E-006    3.46572816E-001    6.94581674E-003    4.49802631E-007    5.18275042E-006    9.16475604E-004    6.45558225E-001    2.02647987E-007    3.70204755E-001    4.76520179E-003    6.30473266E-006    2.06013255E-002    3.59301918E-004    6.04062909E-001    9.00000000E+002
   8.00000000E-002    1.14142616E-006    3.45315023E-001    7.38033701E-003    4.54904778E-007    5.60524045E-006    9.60024667E-004    6.46337414E-001    2.24921078E-007    3.65741441E-001    5.24765382E-003    6.69488249E-006    2.08361682E-002    3.73958950E-004    6.07793858E-001    9.00000000E+002
   9.00000000E-002    1.24431766E-006    3.44089266E-001    7.78971344E-003    4.60043359E-007    5.98670058E-006    9.99184661E-004    6.47114145E-001    2.46228915E-007    3.61770935E-001    5.71077398E-003    7.05884473E-006    2.10325248E-002    3.87071509E-004    6.11091389E-001    9.00000000E+002
   1.00000000E-001    1.34280463E-006    3.42894210E-001    8.17862626E-003    4.65195025E-007    6.33267307E-006    1.03475594E-003    6.47884267E-001    2.66680494E-007    3.58198998E-001    6.15665374E-003    7.40007554E-006    2.11993864E-002    3.98934746E-004    6.14038361E-001    9.00000000E+002
