 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                        Temp. [K]     Pressure [atm]
   0.00000000E+000    0.00000000E+000    1.00000000E+000    0.00000000E+000    9.00000000E+002    1.00000000E+000
   1.00000000E-002    3.53459396E-003    9.95702322E-001    7.63084388E-004    9.00000000E+002    1.00000047E+000
   2.00000000E-002    6.56965812E-003    9.92012017E-001    1.41832516E-003    9.00000000E+002    1.00000384E+000
   3.00000000E-002    9.27631450E-003    9.88721020E-001    2.00266589E-003    9.00000000E+002    1.00000601E+000
   4.00000000E-002    1.17462236E-002    9.85717881E-001    2.53589519E-003    9.00000000E+002    1.00001029E+000
   5.00000000E-002    1.40347864E-002    9.82935240E-001    3.02997361E-003    9.00000000E+002    1.00001343E+000
   6.00000000E-002    1.61783447E-002    9.80328908E-001    3.49274694E-003    9.00000000E+002    1.00001786E+000
   7.00000000E-002    1.82022278E-002    9.77868089E-001    3.92968358E-003    9.00000000E+002    1.00001289E+000
   8.00000000E-002    2.01249311E-002    9.75530292E-001    4.34477649E-003    9.00000000E+002    1.00001282E+000
   9.00000000E-002    2.19604664E-002    9.73298483E-001    4.74105068E-003    9.00000000E+002    1.00001266E+000
   1.00000000E-001    2.37197676E-002    9.71159366E-001    5.12086666E-003    9.00000000E+002    1.00001316E+000
   1.10000000E-001    2.54115769E-002    9.69102311E-001    5.48611180E-003    9.00000000E+002    1.00001088E+000
   1.20000000E-001    2.70430256E-002    9.67118649E-001    5.83832566E-003    9.00000000E+002    1.00001205E+000
   1.30000000E-001    2.86200310E-002    9.65201183E-001    6.17878577E-003    9.00000000E+002    1.00001408E+000
   1.40000000E-001    3.01475745E-002    9.63343858E-001    6.50856753E-003    9.00000000E+002    1.00001826E+000
   1.50000000E-001    3.16299024E-002    9.61541510E-001    6.82858767E-003    9.00000000E+002    1.00002050E+000
   1.60000000E-001    3.30706725E-002    9.59789692E-001    7.13963589E-003    9.00000000E+002    1.00002293E+000
   1.70000000E-001    3.44730655E-002    9.58084536E-001    7.44239887E-003    9.00000000E+002    1.00002690E+000
   1.80000000E-001    3.58398708E-002    9.56422650E-001    7.73747882E-003    9.00000000E+002    1.00002822E+000
   1.90000000E-001    3.71735518E-002    9.54801041E-001    8.02540755E-003    9.00000000E+002    1.00002878E+000
   2.00000000E-001    3.84762974E-002    9.53217045E-001    8.30665762E-003    9.00000000E+002    1.00003175E+000
   2.10000000E-001    3.97500654E-002    9.51668283E-001    8.58165172E-003    9.00000000E+002    1.00003333E+000
   2.20000000E-001    4.09966157E-002    9.50152615E-001    8.85076977E-003    9.00000000E+002    1.00003176E+000
   2.30000000E-001    4.22175365E-002    9.48668109E-001    9.11435469E-003    9.00000000E+002    1.00003098E+000
   2.40000000E-001    4.34142664E-002    9.47213017E-001    9.37271700E-003    9.00000000E+002    1.00003938E+000
   2.50000000E-001    4.45881164E-002    9.45785744E-001    9.62613979E-003    9.00000000E+002    1.00004795E+000
   2.60000000E-001    4.57402868E-002    9.44384831E-001    9.87488214E-003    9.00000000E+002    1.00004737E+000
   2.70000000E-001    4.68718748E-002    9.43008944E-001    1.01191810E-002    9.00000000E+002    1.00005024E+000
   2.80000000E-001    4.79838899E-002    9.41656856E-001    1.03592542E-002    9.00000000E+002    1.00005300E+000
   2.90000000E-001    4.90772629E-002    9.40327434E-001    1.05953028E-002    9.00000000E+002    1.00005566E+000
   3.00000000E-001    5.01528542E-002    9.39019633E-001    1.08275124E-002    9.00000000E+002    1.00005820E+000
   3.10000000E-001    5.12114610E-002    9.37732484E-001    1.10560553E-002    9.00000000E+002    1.00006055E+000
