 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                        Temp. [K]     Pressure [atm]
   0.00000000E+000    0.00000000E+000    1.00000000E+000    0.00000000E+000    9.00000000E+002    1.00000000E+000
   1.00000000E-002    2.13964367E-003    9.91441425E-001    6.41893102E-003    9.00000000E+002    1.00000047E+000
   2.00000000E-002    3.96234053E-003    9.84150638E-001    1.18870216E-002    9.00000000E+002    1.00000384E+000
   3.00000000E-002    5.57659193E-003    9.77693632E-001    1.67297758E-002    9.00000000E+002    1.00000601E+000
   4.00000000E-002    7.04050604E-003    9.71837976E-001    2.11215181E-002    9.00000000E+002    1.00001029E+000
   5.00000000E-002    8.38922000E-003    9.66443120E-001    2.51676600E-002    9.00000000E+002    1.00001343E+000
   6.00000000E-002    9.64580233E-003    9.61416791E-001    2.89374070E-002    9.00000000E+002    1.00001786E+000
   7.00000000E-002    1.08263479E-002    9.56694608E-001    3.24790437E-002    9.00000000E+002    1.00001289E+000
   8.00000000E-002    1.19426214E-002    9.52229515E-001    3.58278641E-002    9.00000000E+002    1.00001282E+000
   9.00000000E-002    1.30035442E-002    9.47985823E-001    3.90106326E-002    9.00000000E+002    1.00001266E+000
   1.00000000E-001    1.40160844E-002    9.43935663E-001    4.20482531E-002    9.00000000E+002    1.00001316E+000
   1.10000000E-001    1.49858172E-002    9.40056731E-001    4.49574517E-002    9.00000000E+002    1.00001088E+000
   1.20000000E-001    1.59172935E-002    9.36330826E-001    4.77518805E-002    9.00000000E+002    1.00001205E+000
   1.30000000E-001    1.68142910E-002    9.32742836E-001    5.04428729E-002    9.00000000E+002    1.00001408E+000
   1.40000000E-001    1.76799908E-002    9.29280037E-001    5.30399723E-002    9.00000000E+002    1.00001826E+000
   1.50000000E-001    1.85171051E-002    9.25931579E-001    5.55513154E-002    9.00000000E+002    1.00002050E+000
   1.60000000E-001    1.93279706E-002    9.22688118E-001    5.79839117E-002    9.00000000E+002    1.00002293E+000
   1.70000000E-001    2.01146186E-002    9.19541526E-001    6.03438558E-002    9.00000000E+002    1.00002690E+000
   1.80000000E-001    2.08788307E-002    9.16484677E-001    6.26364922E-002    9.00000000E+002    1.00002822E+000
   1.90000000E-001    2.16221797E-002    9.13511281E-001    6.48665390E-002    9.00000000E+002    1.00002878E+000
   2.00000000E-001    2.23460627E-002    9.10615749E-001    6.70381880E-002    9.00000000E+002    1.00003175E+000
   2.10000000E-001    2.30517289E-002    9.07793084E-001    6.91551867E-002    9.00000000E+002    1.00003333E+000
   2.20000000E-001    2.37403008E-002    9.05038797E-001    7.12209024E-002    9.00000000E+002    1.00003176E+000
   2.30000000E-001    2.44127909E-002    9.02348836E-001    7.32383727E-002    9.00000000E+002    1.00003098E+000
   2.40000000E-001    2.50701159E-002    8.99719536E-001    7.52103477E-002    9.00000000E+002    1.00003938E+000
   2.50000000E-001    2.57131109E-002    8.97147556E-001    7.71393328E-002    9.00000000E+002    1.00004795E+000
   2.60000000E-001    2.63425397E-002    8.94629841E-001    7.90276190E-002    9.00000000E+002    1.00004737E+000
   2.70000000E-001    2.69591003E-002    8.92163599E-001    8.08773008E-002    9.00000000E+002    1.00005024E+000
   2.80000000E-001    2.75634346E-002    8.89746262E-001    8.26903038E-002    9.00000000E+002    1.00005300E+000
   2.90000000E-001    2.81561341E-002    8.87375464E-001    8.44684022E-002    9.00000000E+002    1.00005566E+000
   3.00000000E-001    2.87377451E-002    8.85049020E-001    8.62132352E-002    9.00000000E+002    1.00005820E+000
   3.10000000E-001    2.93087736E-002    8.82764906E-001    8.79263209E-002    9.00000000E+002    1.00006055E+000
   3.20000000E-001    2.98696893E-002    8.80521243E-001    8.96090679E-002    9.00000000E+002    1.00006279E+000
   3.30000000E-001    3.04209293E-002    8.78316283E-001    9.12627878E-002    9.00000000E+002    1.00006218E+000
   3.40000000E-001    3.09629006E-002    8.76148398E-001    9.28887018E-002    9.00000000E+002    1.00006157E+000
   3.50000000E-001    3.14959834E-002    8.74016066E-001    9.44879502E-002    9.00000000E+002    1.00006102E+000
   3.60000000E-001    3.20205331E-002    8.71917867E-001    9.60615994E-002    9.00000000E+002    1.00006056E+000
   3.70000000E-001    3.25368829E-002    8.69852468E-001    9.76106488E-002    9.00000000E+002    1.00006013E+000
   3.80000000E-001    3.30453454E-002    8.67818618E-001    9.91360363E-002    9.00000000E+002    1.00005974E+000
   3.90000000E-001    3.35462145E-002    8.65815142E-001    1.00638643E-001    9.00000000E+002    1.00005937E+000
   4.00000000E-001    3.40397662E-002    8.63840935E-001    1.02119299E-001    9.00000000E+002    1.00006179E+000
   4.10000000E-001    3.45262613E-002    8.61894955E-001    1.03578784E-001    9.00000000E+002    1.00006411E+000
   4.20000000E-001    3.50059458E-002    8.59976217E-001    1.05017837E-001    9.00000000E+002    1.00006585E+000
   4.30000000E-001    3.54790523E-002    8.58083791E-001    1.06437157E-001    9.00000000E+002    1.00006643E+000
   4.40000000E-001    3.59458006E-002    8.56216798E-001    1.07837402E-001    9.00000000E+002    1.00006787E+000
   4.50000000E-001    3.64063990E-002    8.54374404E-001    1.09219197E-001    9.00000000E+002    1.00006928E+000
   4.60000000E-001    3.68610448E-002    8.52555821E-001    1.10583134E-001    9.00000000E+002    1.00007067E+000
   4.70000000E-001    3.73099257E-002    8.50760297E-001    1.11929777E-001    9.00000000E+002    1.00007207E+000
   4.80000000E-001    3.77532195E-002    8.48987122E-001    1.13259658E-001    9.00000000E+002    1.00007363E+000
   4.90000000E-001    3.81910957E-002    8.47235617E-001    1.14573287E-001    9.00000000E+002    1.00007516E+000
   5.00000000E-001    3.86237154E-002    8.45505138E-001    1.15871146E-001    9.00000000E+002    1.00007664E+000
   5.10000000E-001    3.90512323E-002    8.43795071E-001    1.17153697E-001    9.00000000E+002    1.00007810E+000
   5.20000000E-001    3.94737928E-002    8.42104829E-001    1.18421378E-001    9.00000000E+002    1.00007953E+000
   5.30000000E-001    3.98915367E-002    8.40433853E-001    1.19674610E-001    9.00000000E+002    1.00008092E+000
   5.40000000E-001    4.03045976E-002    8.38781610E-001    1.20913793E-001    9.00000000E+002    1.00008228E+000
