 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                 N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   0.00000000E+000    0.00000000E+000   -1.77221704E-001    0.00000000E+000    0.00000000E+000    0.00000000E+000    0.00000000E+000    1.73668356E-001    0.00000000E+000    0.00000000E+000   -1.73668356E-001    0.00000000E+000    0.00000000E+000    0.00000000E+000    3.55334753E-003    0.00000000E+000    0.00000000E+000   -3.55334753E-003    9.00000000E+002
   1.00000000E-002    2.42486045E-009   -4.84972116E-009    7.27458133E-009    7.74544008E-020    5.21744171E-022    7.78365996E-018    2.71491944E-016   -4.33235846E-023   -4.76456033E-022   -2.79353060E-016    9.95925458E-022   -1.38966343E-022    6.34447530E-022    1.73782375E-018   -5.79026429E-024    1.34830440E-022   -1.73944420E-018    9.00000000E+002
   2.00000000E-002    2.08216477E-009   -4.16432943E-009    6.24649432E-009   -2.43370495E-020    1.76964952E-021   -1.22857848E-018   -1.01649489E-016    1.22215936E-022   -1.89258924E-021    1.02902405E-016   -1.20127304E-021   -3.23841210E-022   -2.40047814E-021   -1.54509133E-017    4.46677531E-023    3.25909161E-022    1.54544683E-017    9.00000000E+002
   3.00000000E-002    1.85686505E-009   -3.71373015E-009    5.57059516E-009    9.23593683E-020    2.89906125E-021    4.78538046E-018    4.09065413E-017    6.78288102E-023   -2.96461532E-021   -4.57842834E-017    1.35099274E-021   -8.14772903E-023   -4.75463416E-021    2.13862253E-018    2.31610572E-023    3.30872245E-023   -2.13519366E-018    9.00000000E+002
   4.00000000E-002    1.69444776E-009   -3.38889578E-009    5.08334328E-009   -3.79509845E-019    7.13443278E-022    6.83117762E-018    2.61401221E-016   -2.22511585E-022   -4.89690923E-022   -2.67852890E-016   -3.05932750E-021    2.15894140E-022    4.86382200E-022    2.08641751E-018    3.63959470E-023   -2.38228016E-022   -2.08385863E-018    9.00000000E+002
   5.00000000E-002    1.57003765E-009   -3.14007547E-009    4.71011294E-009   -3.25144536E-020    4.04253505E-021    2.41083733E-018    1.90017247E-016    2.08035924E-022   -4.24839963E-021   -1.92395572E-016    3.55832420E-021    6.12527244E-022    2.62050818E-021   -1.41696469E-017    1.38966343E-022   -6.12113653E-022    1.41633287E-017    9.00000000E+002
   6.00000000E-002    1.47055916E-009   -2.94111812E-009    4.41167747E-009    3.91074657E-019   -4.57306802E-021   -7.84942248E-018   -1.95721698E-016   -2.06381563E-022    4.77779522E-021    2.03180048E-016    8.65996063E-021    3.08951959E-022    9.10560418E-021   -2.95134734E-019   -5.95570041E-023   -2.61389074E-022    2.77381163E-019    9.00000000E+002
   7.00000000E-002    1.38845767E-009   -2.77691587E-009    4.16537301E-009   -1.49859071E-019    1.35078594E-021    2.72915459E-017    5.29824060E-016   -9.38849995E-023   -1.25731453E-021   -5.56965746E-016   -3.64166265E-022    4.01182597E-023   -6.33620349E-021   -3.12324870E-018    1.95214625E-022   -1.15805286E-022    3.12982955E-018    9.00000000E+002
   8.00000000E-002    1.31904467E-009   -2.63808953E-009    3.95713402E-009   -3.71220099E-019    2.34516043E-021   -6.99546685E-018    1.98934602E-016   -6.92763763E-024   -2.34257549E-021   -1.91567910E-016   -1.26566906E-020    6.12113653E-023   -1.31025409E-021   -7.46925895E-018    1.98523347E-023   -5.62482817E-023    7.48320108E-018    9.00000000E+002
   9.00000000E-002    1.25924422E-009   -2.51848881E-009    3.77773264E-009    1.16531188E-019   -1.28316393E-022    2.06481949E-017    3.87477637E-016    1.78671012E-022   -5.29395592E-023   -4.08242361E-016   -1.40496627E-021    3.21773258E-022    5.59504966E-021   -8.50157374E-018    1.95214625E-022   -3.44107135E-022    8.49721077E-018    9.00000000E+002
   1.00000000E-001    1.20694480E-009   -2.41388945E-009    3.62083440E-009   -2.30325857E-019   -1.61651771E-021    2.85407785E-017   -1.55230782E-016   -3.67268192E-022    1.98523347E-021    1.26920328E-016   -8.96456989E-021   -1.60555757E-021   -3.35702980E-020   -1.10736323E-019    3.30872245E-023    1.48892510E-021    1.53354736E-019    9.00000000E+002
   1.10000000E-001    1.16064293E-009   -2.32128610E-009    3.48192878E-009   -1.85885216E-019    1.82879294E-021    3.14129547E-017    2.35860483E-016   -3.73989034E-022   -1.45583788E-021   -2.67087552E-016   -6.78567276E-021   -1.40000319E-022    9.15854374E-021    3.86245039E-018    3.97046694E-023    1.38966343E-022   -3.86486193E-018    9.00000000E+002
   1.20000000E-001    1.11923330E-009   -2.23846625E-009    3.35769991E-009   -1.39622504E-019    2.26523411E-021   -5.60562351E-018   -3.56640113E-016   -3.29941667E-022   -1.93229391E-021    3.62385356E-016   -2.46272348E-021    2.06795153E-024   -1.82112084E-020   -4.01346048E-018    1.72053567E-022   -1.12496563E-022    4.03407279E-018    9.00000000E+002
   1.30000000E-001    1.08188329E-009   -2.16376704E-009    3.24564990E-009    1.85041285E-019   -1.19972208E-021   -3.53202639E-017    4.48923302E-016    1.10118419E-022    1.08526096E-021   -4.13788075E-016    1.20561574E-022    1.50588231E-021    1.23547696E-020    1.17883825E-018    1.98523347E-023   -1.53524722E-021   -1.19130407E-018    9.00000000E+002
   1.40000000E-001    1.04795060E-009   -2.09590129E-009    3.14385181E-009    2.66526382E-019   -2.59838110E-021   -1.83523384E-017    8.70704803E-017   -4.16692234E-022    3.01755487E-021   -6.89846707E-017    3.41170644E-021    1.32927924E-021    9.76073123E-021    6.70169821E-018    1.38966343E-022   -1.48892510E-021   -6.71484997E-018    9.00000000E+002
   1.50000000E-001    1.01693102E-009   -2.03386203E-009    3.05079305E-009   -2.97029003E-019    1.34670174E-021    2.03371334E-017   -6.77851816E-018   -2.33575125E-022   -1.11173074E-021   -1.32615876E-017   -9.72464547E-021   -1.03831846E-021   -1.78009268E-021    3.36688979E-018    5.95570041E-023    1.01246907E-021   -3.35541876E-018    9.00000000E+002
   1.60000000E-001    9.88420876E-010   -1.97684166E-009    2.96526262E-009   -3.59818086E-019    1.35223351E-021    1.69243269E-017   -8.08123693E-017    7.92025437E-023   -1.42936810E-021    6.42478584E-017   -1.58931381E-020    1.08133186E-021   -2.78594430E-021   -7.09693172E-018    1.65436123E-022   -1.15805286E-021    7.11552209E-018    9.00000000E+002
   1.70000000E-001    9.62092757E-010   -1.92418542E-009    2.88627829E-009   -1.05064353E-018   -6.34266584E-021   -3.66679331E-017   -9.76453137E-017    7.02069545E-023    6.27333777E-021    1.35363889E-016   -1.83940153E-020    3.12674272E-022   -5.13513724E-021    1.47343366E-018   -3.97046694E-023   -3.50724580E-022   -1.44982676E-018    9.00000000E+002
   1.80000000E-001    9.37678338E-010   -1.87535670E-009    2.81303498E-009    4.10509653E-019   -3.26219354E-023    7.22858511E-017    1.86946195E-017   -2.05347587E-022    2.38228016E-022   -9.13909805E-017   -7.29294127E-021    1.86322433E-022    5.50571416E-021    3.18590929E-018   -1.32348898E-023   -2.05140792E-022   -3.18409001E-018    9.00000000E+002
   1.90000000E-001    9.14953827E-010   -1.82990747E-009    2.74486149E-009    4.33352944E-020    5.73804851E-022   -1.70870769E-017   -1.77028469E-016    4.36337773E-022   -1.00585162E-021    1.94072207E-016   -2.57449626E-021    7.02069545E-022   -1.82575305E-020   -3.46445740E-018    4.43368808E-022   -9.85999290E-022    3.48512999E-018    9.00000000E+002
