z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
1.000000e-06,1.641568e-05,6.998162e-02,4.387000e-09,7.148248e-07,1.784313e-05,9.299834e-01
1.450000e-06,2.209471e-05,6.997524e-02,6.480340e-09,9.823826e-07,2.405623e-05,9.299776e-01
1.900000e-06,2.725225e-05,6.996943e-02,8.674417e-09,1.234761e-06,2.971744e-05,9.299724e-01
2.350000e-06,3.202288e-05,6.996405e-02,1.097086e-08,1.476245e-06,3.496988e-05,9.299675e-01
2.800000e-06,3.648940e-05,6.995900e-02,1.336868e-08,1.709381e-06,3.990148e-05,9.299629e-01
3.250000e-06,4.070761e-05,6.995423e-02,1.586587e-08,1.935833e-06,4.457135e-05,9.299585e-01
3.700000e-06,4.471746e-05,6.994968e-02,1.846006e-08,2.156761e-06,4.902175e-05,9.299544e-01
4.150000e-06,4.854885e-05,6.994534e-02,2.114881e-08,2.373015e-06,5.328431e-05,9.299504e-01
4.600000e-06,5.222500e-05,6.994116e-02,2.392973e-08,2.585241e-06,5.738351e-05,9.299466e-01
5.050000e-06,5.576433e-05,6.993713e-02,2.680054e-08,2.793946e-06,6.133882e-05,9.299429e-01
5.500000e-06,5.918187e-05,6.993324e-02,2.975907e-08,2.999534e-06,6.516606e-05,9.299394e-01
5.950000e-06,6.249001e-05,6.992947e-02,3.280330e-08,3.202338e-06,6.887829e-05,9.299359e-01
6.400000e-06,6.569919e-05,6.992580e-02,3.593134e-08,3.402634e-06,7.248649e-05,9.299326e-01
6.850000e-06,6.881827e-05,6.992224e-02,3.914143e-08,3.600654e-06,7.600001e-05,9.299293e-01
7.300000e-06,7.185488e-05,6.991877e-02,4.243192e-08,3.796598e-06,7.942686e-05,9.299261e-01
7.750000e-06,7.481563e-05,6.991538e-02,4.580130e-08,3.990637e-06,8.277400e-05,9.299230e-01
8.200000e-06,7.770630e-05,6.991206e-02,4.924814e-08,4.182921e-06,8.604752e-05,9.299200e-01
8.650000e-06,8.053201e-05,6.990882e-02,5.277111e-08,4.373582e-06,8.925279e-05,9.299170e-01
9.100000e-06,8.329729e-05,6.990564e-02,5.636897e-08,4.562737e-06,9.239458e-05,9.299140e-01
9.550000e-06,8.600616e-05,6.990253e-02,6.004057e-08,4.750489e-06,9.547712e-05,9.299112e-01
1.000000e-05,8.866226e-05,6.989947e-02,6.378482e-08,4.936933e-06,9.850423e-05,9.299084e-01
1.450000e-05,1.129133e-04,6.987144e-02,1.050310e-07,6.744760e-06,1.263503e-04,9.298824e-01
1.900000e-05,1.341934e-04,6.984667e-02,1.527558e-07,8.482253e-06,1.510815e-04,9.298594e-01
2.350000e-05,1.535498e-04,6.982399e-02,2.065775e-07,1.017857e-05,1.738037e-04,9.298383e-01
2.800000e-05,1.715737e-04,6.980277e-02,2.663171e-07,1.185170e-05,1.951439e-04,9.298184e-01
3.250000e-05,1.886385e-04,6.978258e-02,3.319238e-07,1.351425e-05,2.155010e-04,9.297994e-01
3.700000e-05,2.049989e-04,6.976315e-02,4.034356e-07,1.517584e-05,2.351488e-04,9.297811e-01
4.150000e-05,2.208382e-04,6.974426e-02,4.809564e-07,1.684422e-05,2.542862e-04,9.297633e-01
4.600000e-05,2.362941e-04,6.972576e-02,5.646419e-07,1.852592e-05,2.730637e-04,9.297458e-01
5.050000e-05,2.514734e-04,6.970754e-02,6.546901e-07,2.022664e-05,2.915993e-04,9.297285e-01
5.500000e-05,2.664610e-04,6.968949e-02,7.513357e-07,2.195146e-05,3.099882e-04,9.297114e-01
5.950000e-05,2.813262e-04,6.967153e-02,8.548451e-07,2.370500e-05,3.283087e-04,9.296943e-01
6.400000e-05,2.961263e-04,6.965360e-02,9.655133e-07,2.549152e-05,3.466266e-04,9.296772e-01
6.850000e-05,3.109097e-04,6.963565e-02,1.083662e-06,2.731499e-05,3.649979e-04,9.296600e-01
7.300000e-05,3.257174e-04,6.961761e-02,1.209637e-06,2.917917e-05,3.834710e-04,9.296428e-01
7.750000e-05,3.405847e-04,6.959946e-02,1.343806e-06,3.108757e-05,4.020879e-04,9.296254e-01
