# Gas Mole fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
1.000000e-06    1.641520e-05    6.998162e-02    4.386826e-09    7.148002e-07    1.784261e-05    9.299834e-01    
1.450000e-06    2.209368e-05    6.997524e-02    6.479926e-09    9.823285e-07    2.405510e-05    9.299776e-01    
1.900000e-06    2.725045e-05    6.996943e-02    8.673623e-09    1.234664e-06    2.971544e-05    9.299724e-01    
2.350000e-06    3.202007e-05    6.996405e-02    1.096952e-08    1.476091e-06    3.496677e-05    9.299675e-01    
2.800000e-06    3.648534e-05    6.995901e-02    1.336659e-08    1.709155e-06    3.989697e-05    9.299629e-01    
3.250000e-06    4.070202e-05    6.995423e-02    1.586278e-08    1.935516e-06    4.456512e-05    9.299585e-01    
3.700000e-06    4.471004e-05    6.994969e-02    1.845570e-08    2.156333e-06    4.901348e-05    9.299544e-01    
4.150000e-06    4.853932e-05    6.994535e-02    2.114287e-08    2.372457e-06    5.327367e-05    9.299504e-01    
4.600000e-06    5.221304e-05    6.994117e-02    2.392187e-08    2.584531e-06    5.737014e-05    9.299466e-01    
5.050000e-06    5.574962e-05    6.993715e-02    2.679035e-08    2.793060e-06    6.132235e-05    9.299430e-01    
5.500000e-06    5.916406e-05    6.993326e-02    2.974612e-08    2.998447e-06    6.514608e-05    9.299394e-01    
5.950000e-06    6.246876e-05    6.992949e-02    3.278712e-08    3.201024e-06    6.885442e-05    9.299360e-01    
6.400000e-06    6.567413e-05    6.992583e-02    3.591141e-08    3.401065e-06    7.245831e-05    9.299326e-01    
6.850000e-06    6.878904e-05    6.992227e-02    3.911717e-08    3.598802e-06    7.596709e-05    9.299293e-01    
7.300000e-06    7.182109e-05    6.991880e-02    4.240273e-08    3.794432e-06    7.938875e-05    9.299261e-01    
7.750000e-06    7.477689e-05    6.991542e-02    4.576651e-08    3.988125e-06    8.273025e-05    9.299230e-01    
8.200000e-06    7.766221e-05    6.991211e-02    4.920703e-08    4.180031e-06    8.599766e-05    9.299200e-01    
8.650000e-06    8.048214e-05    6.990888e-02    5.272292e-08    4.370278e-06    8.919634e-05    9.299170e-01    
9.100000e-06    8.324121e-05    6.990571e-02    5.631288e-08    4.558984e-06    9.233102e-05    9.299141e-01    
9.550000e-06    8.594344e-05    6.990260e-02    5.997571e-08    4.746249e-06    9.540595e-05    9.299112e-01    
1.000000e-05    8.859246e-05    6.989955e-02    6.371028e-08    4.932168e-06    9.842494e-05    9.299084e-01    
1.450000e-05    1.127460e-04    6.987163e-02    1.047959e-07    6.732321e-06    1.261583e-04    9.298826e-01    
1.900000e-05    1.338743e-04    6.984704e-02    1.521998e-07    8.456804e-06    1.507118e-04    9.298598e-01    
2.350000e-05    1.530162e-04    6.982462e-02    2.054682e-07    1.013344e-05    1.731804e-04    9.298388e-01    
2.800000e-05    1.707556e-04    6.980373e-02    2.643399e-07    1.177889e-05    1.941812e-04    9.298193e-01    
3.250000e-05    1.874588e-04    6.978397e-02    3.286719e-07    1.340440e-05    2.141033e-04    9.298007e-01    
3.700000e-05    2.033736e-04    6.976507e-02    3.984000e-07    1.501822e-05    2.332108e-04    9.297829e-01    
4.150000e-05    2.186765e-04    6.974682e-02    4.735154e-07    1.662670e-05    2.516932e-04    9.297657e-01    
4.600000e-05    2.334986e-04    6.972909e-02    5.540504e-07    1.823495e-05    2.696915e-04    9.297489e-01    
5.050000e-05    2.479403e-04    6.971176e-02    6.400693e-07    1.984722e-05    2.873147e-04    9.297325e-01    
5.500000e-05    2.620801e-04    6.969474e-02    7.316615e-07    2.146711e-05    3.046485e-04    9.297163e-01    
5.950000e-05    2.759813e-04    6.967795e-02    8.289369e-07    2.309774e-05    3.217623e-04    9.297004e-01    
6.400000e-05    2.896952e-04    6.966135e-02    9.320228e-07    2.474184e-05    3.387128e-04    9.296846e-01    
6.850000e-05    3.032641e-04    6.964489e-02    1.041061e-06    2.640187e-05    3.555473e-04    9.296689e-01    
7.300000e-05    3.167237e-04    6.962852e-02    1.156207e-06    2.808000e-05    3.723056e-04    9.296532e-01    
7.750000e-05    3.301039e-04    6.961220e-02    1.277625e-06    2.977822e-05    3.890215e-04    9.296376e-01    
8.200000e-05    3.434303e-04    6.959592e-02    1.405490e-06    3.149834e-05    4.057242e-04    9.296220e-01    
8.650000e-05    3.567246e-04    6.957964e-02    1.539988e-06    3.324201e-05    4.224386e-04    9.296064e-01    
9.100000e-05    3.700057e-04    6.956334e-02    1.681309e-06    3.501074e-05    4.391865e-04    9.295908e-01    
9.550000e-05    3.832900e-04    6.954701e-02    1.829652e-06    3.680593e-05    4.559870e-04    9.295751e-01    
1.000000e-04    3.965915e-04    6.953062e-02    1.985222e-06    3.862885e-05    4.728566e-04    9.295593e-01    
1.450000e-04    5.326007e-04    6.936132e-02    3.986702e-06    5.859905e-05    6.478055e-04    9.293957e-01    
1.900000e-04    6.771358e-04    6.917835e-02    6.962279e-06    8.213725e-05    8.379292e-04    9.292175e-01    
2.350000e-04    8.310704e-04    6.898045e-02    1.115185e-05    1.094074e-04    1.044309e-03    9.290236e-01    
2.800000e-04    9.937618e-04    6.876831e-02    1.679831e-05    1.403178e-04    1.265998e-03    9.288148e-01    
3.250000e-04    1.164667e-03    6.854250e-02    2.415574e-05    1.747656e-04    1.502121e-03    9.285918e-01    
3.700000e-04    1.342856e-03    6.830415e-02    3.347216e-05    2.125087e-04    1.751137e-03    9.283559e-01    
4.150000e-04    1.525774e-03    6.805682e-02    4.491775e-05    2.527534e-04    2.008822e-03    9.281109e-01    
4.600000e-04    1.709738e-03    6.780597e-02    5.852991e-05    2.941622e-04    2.268797e-03    9.278628e-01    
5.050000e-04    1.892261e-03    6.755557e-02    7.427649e-05    3.355930e-04    2.526309e-03    9.276160e-01    
