Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
4.380558e-07    1.145616e-07    3.234941e-07    7.926927e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
2.832828e-04    2.835333e-04    -2.504423e-07   4.997791e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
5.547794e-05    5.552154e-05    -4.360115e-08   4.998036e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
3.770728e-05    3.776605e-05    -5.876947e-08   4.996107e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
7.877732e-05    7.908562e-05    -3.082982e-07   4.990235e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.225481e-04    1.225480e-04    1.754843e-11    5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
1.258442e-03    1.258442e-03    6.085537e-10    5.000001e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
5.819177e-08    5.819627e-08    -4.493495e-12   4.999807e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
1.696151e-07    1.629472e-07    6.667905e-09    5.100250e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
9.465447e-09    9.093553e-09    3.718935e-10    5.100192e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
1.739059e-08    3.650553e-10    1.702553e-08    9.794400e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
9.650769e-05    9.650815e-05    -4.626839e-10   4.999988e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
3.094801e-04    3.095041e-04    -2.400301e-08   4.999806e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.502761e-03    1.502795e-03    -3.428901e-08   4.999943e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
9.591219e-13    6.928416e-13    2.662803e-13    5.805951e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
2.272103e-07    1.709162e-07    5.629418e-08    5.706989e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
7.381564e-12    4.112249e-16    7.381152e-12    9.999443e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
3.078752e-07    1.086640e-09    3.067886e-07    9.964829e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
1.674252e-08    4.445075e-11    1.669807e-08    9.973521e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
3.465241e-08    9.342993e-08    -5.877752e-08   2.705479e-01    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
9.290887e-10    4.252039e-08    -4.159130e-08   2.138319e-02    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
9.513108e-09    9.512952e-09    1.561992e-13    5.000041e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
5.107206e-05    5.106723e-05    4.823999e-09    5.000236e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
2.444610e-05    2.443858e-05    7.524767e-09    5.000770e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
8.763816e-09    8.416049e-09    3.477672e-10    5.101214e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.223822e-06    1.175396e-06    4.842605e-08    5.100921e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
5.615502e-05    5.613847e-05    1.655554e-08    5.000737e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
1.565975e-10    3.286000e-12    1.533115e-10    9.794475e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
1.736336e-08    1.736367e-08    -3.088981e-13   4.999956e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
