z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
1.000000e-06, 1.839892e-07, 3.403352e-10, 3.949568e-04, 5.104382e-08, 3.912387e-11, 3.150679e-09, 2.737881e-01, 4.198973e-03, 1.287317e-07, 5.889305e-01, 1.510986e-02, 5.943961e-05, 1.677782e-05, 3.999737e-06, 1.743309e-12, 1.174971e-01
1.450000e-06, 1.737258e-07, 3.431675e-10, 4.099130e-04, 5.959255e-08, 4.384475e-11, 3.719748e-09, 2.924687e-01, 4.351079e-03, 1.339104e-07, 5.766120e-01, 1.436076e-02, 7.171427e-05, 1.848856e-05, 4.040004e-06, 2.295050e-12, 1.117029e-01
1.900000e-06, 1.660053e-07, 3.488903e-10, 4.217951e-04, 6.712695e-08, 4.828492e-11, 4.211533e-09, 3.073641e-01, 4.503202e-03, 1.390555e-07, 5.663484e-01, 1.389788e-02, 8.270269e-05, 1.988987e-05, 4.062234e-06, 2.845284e-12, 1.073576e-01
2.350000e-06, 1.598308e-07, 3.559444e-10, 4.315828e-04, 7.392313e-08, 5.252872e-11, 4.646863e-09, 3.197531e-01, 4.652863e-03, 1.441042e-07, 5.575609e-01, 1.359429e-02, 9.274570e-05, 2.108590e-05, 4.075684e-06, 3.398525e-12, 1.038890e-01
2.800000e-06, 1.546956e-07, 3.636341e-10, 4.398522e-04, 8.014917e-08, 5.662516e-11, 5.038648e-09, 3.303507e-01, 4.799243e-03, 1.490390e-07, 5.498848e-01, 1.338901e-02, 1.020517e-04, 2.213486e-05, 4.084438e-06, 3.957007e-12, 1.010078e-01
3.250000e-06, 1.503073e-07, 3.716110e-10, 4.469731e-04, 8.591697e-08, 6.060549e-11, 5.395575e-09, 3.396001e-01, 4.942117e-03, 1.538575e-07, 5.430760e-01, 1.324875e-02, 1.107599e-04, 2.307277e-05, 4.090533e-06, 4.521923e-12, 9.854772e-02
3.700000e-06, 1.464821e-07, 3.796872e-10, 4.531972e-04, 9.130578e-08, 6.449096e-11, 5.723829e-09, 3.477962e-01, 5.081496e-03, 1.585633e-07, 5.369634e-01, 1.315365e-02, 1.189689e-04, 2.392357e-05, 4.095072e-06, 5.093927e-12, 9.640464e-02
4.150000e-06, 1.430965e-07, 3.877566e-10, 4.587034e-04, 9.637426e-08, 6.829673e-11, 6.028004e-09, 3.551457e-01, 5.217485e-03, 1.631617e-07, 5.314222e-01, 1.309107e-02, 1.267520e-04, 2.470403e-05, 4.098690e-06, 5.673380e-12, 9.450883e-02
4.600000e-06, 1.400639e-07, 3.957581e-10, 4.636239e-04, 1.011674e-07, 7.203408e-11, 6.311625e-09, 3.617995e-01, 5.350228e-03, 1.676587e-07, 5.263585e-01, 1.305260e-02, 1.341653e-04, 2.542638e-05, 4.101769e-06, 6.260471e-12, 9.281145e-02
5.050000e-06, 1.373210e-07, 4.036559e-10, 4.680585e-04, 1.057206e-07, 7.571160e-11, 6.577466e-09, 3.678710e-01, 5.479879e-03, 1.720602e-07, 5.217000e-01, 1.303240e-02, 1.412532e-04, 2.609985e-05, 4.104545e-06, 6.855288e-12, 9.127683e-02
5.500000e-06, 1.348201e-07, 4.114298e-10, 4.720849e-04, 1.100623e-07, 7.933607e-11, 6.827756e-09, 3.734479e-01, 5.606590e-03, 1.763718e-07, 5.173897e-01, 1.302628e-02, 1.480515e-04, 2.673157e-05, 4.107171e-06, 7.457858e-12, 8.987821e-02
5.950000e-06, 1.325244e-07, 4.190689e-10, 4.757641e-04, 1.142159e-07, 8.291287e-11, 7.064318e-09, 3.785994e-01, 5.730505e-03, 1.805987e-07, 5.133818e-01, 1.303117e-02, 1.545896e-04, 2.732717e-05, 4.109744e-06, 8.068171e-12, 8.859491e-02
6.400000e-06, 1.304050e-07, 4.265682e-10, 4.791453e-04, 1.182008e-07, 8.644643e-11, 7.288662e-09, 3.833810e-01, 5.851761e-03, 1.847455e-07, 5.096393e-01, 1.304477e-02, 1.608920e-04, 2.789119e-05, 4.112329e-06, 8.686194e-12, 8.741069e-02
