z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
0.000000e+00,0.000000e+00,7.475339e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.252466e-01
1.000000e-06,1.638259e-05,7.473506e-02,2.505272e-09,6.623341e-07,1.279682e-06,9.252466e-01
1.450000e-06,2.206767e-05,7.472868e-02,3.704866e-09,9.111043e-07,1.726666e-06,9.252466e-01
1.900000e-06,2.724059e-05,7.472286e-02,4.964923e-09,1.146262e-06,2.134734e-06,9.252466e-01
2.350000e-06,3.203469e-05,7.471746e-02,6.286625e-09,1.371752e-06,2.514080e-06,9.252466e-01
2.800000e-06,3.653193e-05,7.471239e-02,7.669636e-09,1.589914e-06,2.870953e-06,9.252466e-01
3.250000e-06,4.078741e-05,7.470758e-02,9.113035e-09,1.802273e-06,3.209551e-06,9.252466e-01
3.700000e-06,4.484053e-05,7.470300e-02,1.061568e-08,2.009895e-06,3.532870e-06,9.252466e-01
4.150000e-06,4.872079e-05,7.469860e-02,1.217639e-08,2.213555e-06,3.843150e-06,9.252466e-01
4.600000e-06,5.245101e-05,7.469437e-02,1.379397e-08,2.413845e-06,4.142122e-06,9.252466e-01
5.050000e-06,5.604931e-05,7.469028e-02,1.546731e-08,2.611224e-06,4.431160e-06,9.252466e-01
5.500000e-06,5.953041e-05,7.468633e-02,1.719534e-08,2.806063e-06,4.711380e-06,9.252466e-01
5.950000e-06,6.290650e-05,7.468248e-02,1.897707e-08,2.998662e-06,4.983702e-06,9.252466e-01
6.400000e-06,6.618776e-05,7.467874e-02,2.081158e-08,3.189271e-06,5.248899e-06,9.252466e-01
6.850000e-06,6.938289e-05,7.467510e-02,2.269802e-08,3.378101e-06,5.507627e-06,9.252466e-01
7.300000e-06,7.249931e-05,7.467154e-02,2.463560e-08,3.565331e-06,5.760448e-06,9.252466e-01
7.750000e-06,7.554348e-05,7.466806e-02,2.662358e-08,3.751116e-06,6.007851e-06,9.252466e-01
8.200000e-06,7.852106e-05,7.466466e-02,2.866129e-08,3.935590e-06,6.250262e-06,9.252466e-01
8.650000e-06,8.143699e-05,7.466132e-02,3.074810e-08,4.118870e-06,6.488055e-06,9.252466e-01
9.100000e-06,8.429569e-05,7.465804e-02,3.288343e-08,4.301062e-06,6.721563e-06,9.252466e-01
9.550000e-06,8.710108e-05,7.465482e-02,3.506675e-08,4.482258e-06,6.951083e-06,9.252466e-01
1.000000e-05,8.985667e-05,7.465166e-02,3.729756e-08,4.662540e-06,7.176881e-06,9.252466e-01
1.450000e-05,1.152469e-04,7.462238e-02,6.213149e-08,6.428680e-06,9.273386e-06,9.252466e-01
1.900000e-05,1.378818e-04,7.459610e-02,9.137522e-08,8.156412e-06,1.116566e-05,9.252466e-01
2.350000e-05,1.587607e-04,7.457171e-02,1.248917e-07,9.870464e-06,1.292937e-05,9.252466e-01
2.800000e-05,1.784412e-04,7.454859e-02,1.626459e-07,1.158557e-05,1.460685e-05,9.252466e-01
3.250000e-05,1.972711e-04,7.452638e-02,2.046658e-07,1.331170e-05,1.622465e-05,9.252466e-01
3.700000e-05,2.154846e-04,7.450480e-02,2.510223e-07,1.505618e-05,1.780071e-05,9.252466e-01
4.150000e-05,2.332473e-04,7.448367e-02,3.018168e-07,1.682469e-05,1.934783e-05,9.252466e-01
4.600000e-05,2.506818e-04,7.446285e-02,3.571746e-07,1.862186e-05,2.087551e-05,9.252466e-01
5.050000e-05,2.678813e-04,7.444225e-02,4.172399e-07,2.045159e-05,2.239105e-05,9.252466e-01
5.500000e-05,2.849187e-04,7.442177e-02,4.821726e-07,2.231723e-05,2.390020e-05,9.252466e-01
5.950000e-05,3.018521e-04,7.440136e-02,5.521464e-07,2.422172e-05,2.540757e-05,9.252466e-01
6.400000e-05,3.187284e-04,7.438095e-02,6.273464e-07,2.616771e-05,2.691694e-05,9.252466e-01
6.850000e-05,3.355866e-04,7.436051e-02,7.079690e-07,2.815757e-05,2.843146e-05,9.252466e-01
7.300000e-05,3.524587e-04,7.433999e-02,7.942201e-07,3.019350e-05,2.995376e-05,9.252466e-01
7.750000e-05,3.693717e-04,7.431937e-02,8.863145e-07,3.227751e-05,3.148608e-05,9.252466e-01
8.200000e-05,3.863487e-04,7.429862e-02,9.844759e-07,3.441148e-05,3.303034e-05,9.252466e-01
8.650000e-05,4.034091e-04,7.427771e-02,1.088936e-06,3.659714e-05,3.458822e-05,9.252466e-01
9.100000e-05,4.205696e-04,7.425662e-02,1.199933e-06,3.883615e-05,3.616113e-05,9.252466e-01
9.550000e-05,4.378446e-04,7.423535e-02,1.317713e-06,4.113003e-05,3.775035e-05,9.252466e-01
1.000000e-04,4.552465e-04,7.421386e-02,1.442531e-06,4.348023e-05,3.935696e-05,9.252466e-01
1.450000e-04,6.379922e-04,7.398538e-02,3.137719e-06,7.034226e-05,5.654242e-05,9.252466e-01
1.900000e-04,8.389436e-04,7.372871e-02,5.854687e-06,1.038812e-04,7.600588e-05,9.252466e-01
2.350000e-04,1.057636e-03,7.344372e-02,9.911942e-06,1.443815e-04,9.773798e-05,9.252466e-01
2.800000e-04,1.290711e-03,7.313423e-02,1.562063e-05,1.914186e-04,1.214122e-04,9.252466e-01
3.250000e-04,1.533162e-03,7.280668e-02,2.323692e-05,2.438398e-04,1.464739e-04,9.252466e-01
3.700000e-04,1.779111e-03,7.246935e-02,3.291189e-05,2.998086e-04,1.722071e-04,9.252466e-01
4.150000e-04,2.022441e-03,7.213157e-02,4.464833e-05,3.569273e-04,1.978006e-04,9.252466e-01
4.600000e-04,2.257330e-03,7.180294e-02,5.827239e-05,4.124261e-04,2.224180e-04,9.252466e-01
5.050000e-04,2.478685e-03,7.149261e-02,7.342874e-05,4.634039e-04,2.452666e-04,9.252466e-01
5.500000e-04,2.682483e-03,7.120855e-02,8.960099e-05,5.070913e-04,2.656607e-04,9.252466e-01
