Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
1.124612e-08    5.270863e-09    5.975252e-09    6.808821e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
6.581383e-05    6.586606e-05    -5.223170e-08   4.998017e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
7.991777e-06    7.943533e-06    4.824431e-08    5.015138e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
7.874179e-06    7.878154e-06    -3.975715e-09   4.998738e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
3.678495e-06    3.632250e-06    4.624477e-08    5.031628e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.129881e-06    1.129881e-06    2.540973e-14    5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
3.859388e-05    3.859395e-05    -6.370223e-11   4.999996e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
5.688351e-10    5.688097e-10    2.540974e-14    5.000112e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
5.955809e-09    7.549305e-09    -1.593496e-09   4.410040e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
2.388098e-10    3.027128e-10    -6.390294e-11   4.409970e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
1.247538e-09    1.388670e-11    1.233651e-09    9.889913e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
1.858642e-05    1.858745e-05    -1.037845e-09   4.999860e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
9.138339e-06    9.137915e-06    4.234959e-10    5.000116e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.494925e-04    1.494970e-04    -4.501451e-09   4.999925e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
1.259858e-14    6.650382e-14    -5.390524e-14   1.592693e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
1.468835e-08    6.116014e-08    -4.647179e-08   1.936538e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
4.134683e-14    2.408601e-17    4.132274e-14    9.994178e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
5.833163e-09    7.330726e-11    5.759856e-09    9.875887e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
2.272473e-10    1.189246e-11    2.153548e-10    9.502698e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
3.252874e-10    4.301002e-09    -3.975715e-09   7.031280e-02    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
2.412106e-11    2.746892e-09    -2.722771e-09   8.704780e-03    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
3.188253e-10    3.185992e-10    2.261191e-13    5.001774e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
3.897470e-06    3.894893e-06    2.577258e-09    5.001654e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
4.784852e-06    4.785472e-06    -6.195540e-10   4.999676e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
6.913162e-10    8.764341e-10    -1.851179e-10   4.409607e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.699843e-07    2.156512e-07    -4.566682e-08   4.407902e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
3.021343e-05    3.021323e-05    1.958066e-10    5.000016e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
1.946839e-11    2.167169e-13    1.925168e-11    9.889908e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
3.701787e-09    3.701490e-09    2.965659e-13    5.000200e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
