# Steady State Reactor State
z(m)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Specific Enthalpy(J/kg)
1.000000e-06    8.733996e+02    1.013250e+05    3.928821e-01    4.893166e+05    
1.450000e-06    8.735792e+02    1.013250e+05    3.927989e-01    4.895883e+05    
1.900000e-06    8.737586e+02    1.013250e+05    3.927160e-01    4.898570e+05    
2.350000e-06    8.739378e+02    1.013250e+05    3.926334e-01    4.901235e+05    
2.800000e-06    8.741169e+02    1.013250e+05    3.925510e-01    4.903881e+05    
3.250000e-06    8.742958e+02    1.013250e+05    3.924688e-01    4.906513e+05    
3.700000e-06    8.744745e+02    1.013250e+05    3.923868e-01    4.909131e+05    
4.150000e-06    8.746531e+02    1.013250e+05    3.923050e-01    4.911738e+05    
4.600000e-06    8.748315e+02    1.013250e+05    3.922233e-01    4.914335e+05    
5.050000e-06    8.750098e+02    1.013250e+05    3.921419e-01    4.916923e+05    
5.500000e-06    8.751879e+02    1.013250e+05    3.920605e-01    4.919503e+05    
5.950000e-06    8.753658e+02    1.013250e+05    3.919793e-01    4.922075e+05    
6.400000e-06    8.755436e+02    1.013250e+05    3.918983e-01    4.924639e+05    
6.850000e-06    8.757212e+02    1.013250e+05    3.918174e-01    4.927198e+05    
7.300000e-06    8.758987e+02    1.013250e+05    3.917366e-01    4.929749e+05    
7.750000e-06    8.760760e+02    1.013250e+05    3.916560e-01    4.932295e+05    
8.200000e-06    8.762531e+02    1.013250e+05    3.915755e-01    4.934836e+05    
8.650000e-06    8.764301e+02    1.013250e+05    3.914951e-01    4.937371e+05    
9.100000e-06    8.766069e+02    1.013250e+05    3.914149e-01    4.939901e+05    
9.550000e-06    8.767835e+02    1.013250e+05    3.913348e-01    4.942426e+05    
1.000000e-05    8.769600e+02    1.013250e+05    3.912548e-01    4.944946e+05    
1.450000e-05    8.787159e+02    1.013250e+05    3.904615e-01    4.969923e+05    
1.900000e-05    8.804556e+02    1.013250e+05    3.896797e-01    4.994549e+05    
2.350000e-05    8.821791e+02    1.013250e+05    3.889088e-01    5.018879e+05    
2.800000e-05    8.838864e+02    1.013250e+05    3.881485e-01    5.042942e+05    
3.250000e-05    8.855775e+02    1.013250e+05    3.873985e-01    5.066758e+05    
3.700000e-05    8.872524e+02    1.013250e+05    3.866587e-01    5.090339e+05    
4.150000e-05    8.889111e+02    1.013250e+05    3.859288e-01    5.113693e+05    
4.600000e-05    8.905536e+02    1.013250e+05    3.852088e-01    5.136827e+05    
5.050000e-05    8.921799e+02    1.013250e+05    3.844985e-01    5.159746e+05    
5.500000e-05    8.937900e+02    1.013250e+05    3.837977e-01    5.182454e+05    
5.950000e-05    8.953839e+02    1.013250e+05    3.831064e-01    5.204954e+05    
6.400000e-05    8.969616e+02    1.013250e+05    3.824245e-01    5.227248e+05    
6.850000e-05    8.985231e+02    1.013250e+05    3.817518e-01    5.249338e+05    
7.300000e-05    9.000684e+02    1.013250e+05    3.810882e-01    5.271226e+05    
7.750000e-05    9.015975e+02    1.013250e+05    3.804337e-01    5.292913e+05    
8.200000e-05    9.031104e+02    1.013250e+05    3.797882e-01    5.314400e+05    
8.650000e-05    9.046071e+02    1.013250e+05    3.791515e-01    5.335689e+05    
9.100000e-05    9.060876e+02    1.013250e+05    3.785237e-01    5.356779e+05    
9.550000e-05    9.075519e+02    1.013250e+05    3.779045e-01    5.377672e+05    
1.000000e-04    9.090000e+02    1.013250e+05    3.772940e-01    5.398368e+05    
1.450000e-04    9.225900e+02    1.013250e+05    3.716466e-01    5.594563e+05    
1.900000e-04    9.345600e+02    1.013250e+05    3.667860e-01    5.771197e+05    
2.350000e-04    9.449100e+02    1.013250e+05    3.626572e-01    5.928055e+05    
2.800000e-04    9.536400e+02    1.013250e+05    3.592169e-01    6.064719e+05    
3.250000e-04    9.607500e+02    1.013250e+05    3.564316e-01    6.180624e+05    
3.700000e-04    9.662400e+02    1.013250e+05    3.542763e-01    6.275110e+05    
4.150000e-04    9.701100e+02    1.013250e+05    3.527336e-01    6.347466e+05    
4.600000e-04    9.723600e+02    1.013250e+05    3.517926e-01    6.396981e+05    
5.050000e-04    9.729900e+02    1.013250e+05    3.514484e-01    6.422996e+05    
5.500000e-04    9.720000e+02    1.013250e+05    3.517015e-01    6.424958e+05    
5.950000e-04    9.693900e+02    1.013250e+05    3.525579e-01    6.402456e+05    
6.400000e-04    9.651600e+02    1.013250e+05    3.540286e-01    6.355257e+05    
6.850000e-04    9.593100e+02    1.013250e+05    3.561298e-01    6.283321e+05    
7.300000e-04    9.518400e+02    1.013250e+05    3.588837e-01    6.186809e+05    
7.750000e-04    9.427500e+02    1.013250e+05    3.623185e-01    6.066072e+05    
8.200000e-04    9.320400e+02    1.013250e+05    3.664698e-01    5.921626e+05    
8.650000e-04    9.197100e+02    1.013250e+05    3.713814e-01    5.754122e+05    
9.100000e-04    9.057600e+02    1.013250e+05    3.771074e-01    5.564304e+05    
9.550000e-04    8.901900e+02    1.013250e+05    3.837137e-01    5.352960e+05    
1.000000e-03    8.730000e+02    1.013250e+05    3.912808e-01    5.120864e+05    
1.000000e-03    8.730000e+02    1.013250e+05    3.912808e-01    5.120864e+05    
