Rxnid	FIM-Diag.
0001	7.941612e-08
0002	-7.279882e-08
0003	-5.609865e-09
0004	-2.016319e-09
0005	-8.300976e-08
0006	-8.894381e-14
0007	2.433604e-11
0008	-7.011413e-14
0009	6.144920e-10
0010	2.463794e-11
0011	6.983493e-10
0012	2.273790e-09
0013	-1.337509e-09
0014	-6.780814e-10
0015	3.681029e-15
0016	3.639313e-09
0017	5.420908e-13
0018	7.643750e-08
0019	2.978081e-09
0020	-2.016299e-09
0021	-1.312626e-09
0022	-4.423401e-14
0023	-3.560237e-10
0024	-1.634922e-09
0025	2.135462e-11
0026	5.253776e-09
0027	2.972148e-09
0028	4.781496e-12
0029	9.514374e-13
