z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
0.000000e+00,2.394264e-07,3.901079e-10,3.357317e-04,2.440973e-08,2.628500e-11,1.331599e-09,1.960118e-01,3.953469e-03,1.196813e-07,6.292844e-01,2.115487e-02,2.278296e-05,1.006912e-05,3.582102e-06,4.186896e-13,1.492229e-01
1.000000e-06,1.838667e-07,3.399291e-10,3.946211e-04,5.103068e-08,3.911899e-11,3.148084e-09,2.742295e-01,4.210058e-03,1.287863e-07,5.886421e-01,1.512533e-02,5.958101e-05,1.676085e-05,3.986745e-06,1.734155e-12,1.173177e-01
1.450000e-06,1.735346e-07,3.425791e-10,4.093440e-04,5.956394e-08,4.383538e-11,3.715010e-09,2.931315e-01,4.367542e-03,1.339853e-07,5.761738e-01,1.438173e-02,7.195866e-05,1.846135e-05,4.021056e-06,2.277326e-12,1.114413e-01
1.900000e-06,1.657446e-07,3.481179e-10,4.209659e-04,6.707724e-08,4.827124e-11,4.204158e-09,3.082538e-01,4.525495e-03,1.391543e-07,5.657526e-01,1.392460e-02,8.306760e-05,1.985103e-05,4.037263e-06,2.816120e-12,1.070152e-01
2.350000e-06,1.595006e-07,3.549846e-10,4.304726e-04,7.384706e-08,5.251139e-11,4.636411e-09,3.208736e-01,4.681452e-03,1.442313e-07,5.568016e-01,1.362709e-02,9.324634e-05,2.103417e-05,4.044623e-06,3.354952e-12,1.034671e-01
2.800000e-06,1.542962e-07,3.624826e-10,4.384444e-04,8.004177e-08,5.660513e-11,5.024724e-09,3.317048e-01,4.834594e-03,1.491992e-07,5.489571e-01,1.342824e-02,1.027017e-04,2.206909e-05,4.047224e-06,3.895957e-12,1.005076e-01
3.250000e-06,1.498390e-07,3.702627e-10,4.452536e-04,8.577354e-08,6.058394e-11,5.377818e-09,3.411901e-01,4.984692e-03,1.540557e-07,5.419758e-01,1.329475e-02,1.115715e-04,2.299189e-05,4.047106e-06,4.440228e-12,9.797037e-02
3.700000e-06,1.459454e-07,3.781368e-10,4.511539e-04,9.112183e-08,6.446923e-11,5.701908e-09,3.496239e-01,5.131750e-03,1.588044e-07,5.356871e-01,1.320674e-02,1.199536e-04,2.382659e-05,4.045372e-06,4.988325e-12,9.575104e-02
4.150000e-06,1.424918e-07,3.859985e-10,4.563259e-04,9.614554e-08,6.827631e-11,6.001614e-09,3.572127e-01,5.275866e-03,1.634506e-07,5.299667e-01,1.315159e-02,1.279203e-04,2.459002e-05,4.042658e-06,5.540516e-12,9.377987e-02
4.600000e-06,1.393917e-07,3.937865e-10,4.609028e-04,1.008898e-07,7.201655e-11,6.280481e-09,3.641070e-01,5.417175e-03,1.680003e-07,5.247209e-01,1.312085e-02,1.355274e-04,2.529445e-05,4.039347e-06,6.096901e-12,9.200788e-02
5.050000e-06,1.365817e-07,4.014649e-10,4.649856e-04,1.053902e-07,7.569866e-11,6.541302e-09,3.704201e-01,5.555824e-03,1.724594e-07,5.198778e-01,1.310868e-02,1.428185e-04,2.594916e-05,4.035679e-06,6.657483e-12,9.039938e-02
5.500000e-06,1.340142e-07,4.090135e-10,4.686524e-04,1.096753e-07,7.932946e-11,6.786322e-09,3.762397e-01,5.691957e-03,1.768334e-07,5.153805e-01,1.311089e-02,1.498290e-04,2.656130e-05,4.031804e-06,7.222206e-12,8.892749e-02
5.950000e-06,1.316522e-07,4.164214e-10,4.719650e-04,1.137687e-07,8.291444e-11,7.017377e-09,3.816348e-01,5.825713e-03,1.811275e-07,5.111835e-01,1.312438e-02,1.565879e-04,2.713655e-05,4.027821e-06,7.790976e-12,8.757151e-02
