# Gas Mass fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
1.000000e-06    1.632120e-05    7.473513e-02    2.492350e-09    6.593695e-07    1.274812e-06    9.252466e-01    
1.450000e-06    2.194565e-05    7.472882e-02    3.676412e-09    9.050934e-07    1.716969e-06    9.252466e-01    
1.900000e-06    2.704104e-05    7.472309e-02    4.913981e-09    1.136239e-06    2.118845e-06    9.252466e-01    
2.350000e-06    3.174224e-05    7.471779e-02    6.205638e-09    1.356787e-06    2.490751e-06    9.252466e-01    
2.800000e-06    3.613242e-05    7.471284e-02    7.550482e-09    1.569105e-06    2.839029e-06    9.252466e-01    
3.250000e-06    4.026764e-05    7.470817e-02    8.947055e-09    1.774741e-06    3.167947e-06    9.252466e-01    
3.700000e-06    4.418814e-05    7.470374e-02    1.039371e-08    1.974777e-06    3.480564e-06    9.252466e-01    
4.150000e-06    4.792408e-05    7.469951e-02    1.188876e-08    2.170006e-06    3.779171e-06    9.252466e-01    
4.600000e-06    5.149885e-05    7.469545e-02    1.343057e-08    2.361030e-06    4.065543e-06    9.252466e-01    
5.050000e-06    5.493112e-05    7.469156e-02    1.501756e-08    2.548321e-06    4.341093e-06    9.252466e-01    
5.500000e-06    5.823606e-05    7.468780e-02    1.664823e-08    2.732259e-06    4.606971e-06    9.252466e-01    
5.950000e-06    6.142623e-05    7.468417e-02    1.832118e-08    2.913154e-06    4.864128e-06    9.252466e-01    
6.400000e-06    6.451221e-05    7.468065e-02    2.003508e-08    3.091263e-06    5.113364e-06    9.252466e-01    
6.850000e-06    6.750300e-05    7.467724e-02    2.178869e-08    3.266805e-06    5.355359e-06    9.252466e-01    
7.300000e-06    7.040634e-05    7.467393e-02    2.358082e-08    3.439966e-06    5.590698e-06    9.252466e-01    
7.750000e-06    7.322894e-05    7.467071e-02    2.541037e-08    3.610906e-06    5.819889e-06    9.252466e-01    
8.200000e-06    7.597671e-05    7.466756e-02    2.727630e-08    3.779765e-06    6.043379e-06    9.252466e-01    
8.650000e-06    7.865483e-05    7.466450e-02    2.917764e-08    3.946668e-06    6.261557e-06    9.252466e-01    
9.100000e-06    8.126792e-05    7.466151e-02    3.111344e-08    4.111722e-06    6.474775e-06    9.252466e-01    
9.550000e-06    8.382009e-05    7.465858e-02    3.308284e-08    4.275025e-06    6.683342e-06    9.252466e-01    
1.000000e-05    8.631505e-05    7.465572e-02    3.508500e-08    4.436664e-06    6.887537e-06    9.252466e-01    
1.450000e-05    1.087235e-04    7.462990e-02    5.675277e-08    5.975879e-06    8.734828e-06    9.252466e-01    
1.900000e-05    1.277702e-04    7.460781e-02    8.102455e-08    7.404902e-06    1.032331e-05    9.252466e-01    
2.350000e-05    1.445293e-04    7.458827e-02    1.074903e-07    8.750236e-06    1.173430e-05    9.252466e-01    
2.800000e-05    1.596073e-04    7.457061e-02    1.358595e-07    1.002768e-05    1.301386e-05    9.252466e-01    
3.250000e-05    1.733865e-04    7.455440e-02    1.659150e-07    1.124781e-05    1.419110e-05    9.252466e-01    
3.700000e-05    1.861261e-04    7.453936e-02    1.974880e-07    1.241825e-05    1.528585e-05    9.252466e-01    
4.150000e-05    1.980114e-04    7.452529e-02    2.304429e-07    1.354476e-05    1.631232e-05    9.252466e-01    
4.600000e-05    2.091800e-04    7.451203e-02    2.646687e-07    1.463186e-05    1.728109e-05    9.252466e-01    
5.050000e-05    2.197372e-04    7.449947e-02    3.000728e-07    1.568324e-05    1.820033e-05    9.252466e-01    
5.500000e-05    2.297658e-04    7.448751e-02    3.365763e-07    1.670190e-05    1.907645e-05    9.252466e-01    
5.950000e-05    2.393323e-04    7.447608e-02    3.741114e-07    1.769040e-05    1.991462e-05    9.252466e-01    
6.400000e-05    2.484906e-04    7.446512e-02    4.126195e-07    1.865092e-05    2.071907e-05    9.252466e-01    
6.850000e-05    2.572857e-04    7.445457e-02    4.520489e-07    1.958532e-05    2.149331e-05    9.252466e-01    
7.300000e-05    2.657551e-04    7.444441e-02    4.923538e-07    2.049526e-05    2.224031e-05    9.252466e-01    
7.750000e-05    2.739306e-04    7.443458e-02    5.334937e-07    2.138219e-05    2.296256e-05    9.252466e-01    
8.200000e-05    2.818394e-04    7.442507e-02    5.754319e-07    2.224738e-05    2.366225e-05    9.252466e-01    
8.650000e-05    2.895051e-04    7.441583e-02    6.181356e-07    2.309200e-05    2.434122e-05    9.252466e-01    
9.100000e-05    2.969480e-04    7.440686e-02    6.615750e-07    2.391708e-05    2.500111e-05    9.252466e-01    
9.550000e-05    3.041860e-04    7.439813e-02    7.057229e-07    2.472357e-05    2.564336e-05    9.252466e-01    
1.000000e-04    3.112350e-04    7.438962e-02    7.505545e-07    2.551231e-05    2.626922e-05    9.252466e-01    
1.450000e-04    3.737840e-04    7.431398e-02    1.232212e-06    3.256971e-05    3.182666e-05    9.252466e-01    
1.900000e-04    4.266752e-04    7.425001e-02    1.765043e-06    3.843951e-05    3.650297e-05    9.252466e-01    
2.350000e-04    4.736630e-04    7.419335e-02    2.340334e-06    4.341971e-05    4.061462e-05    9.252466e-01    
2.800000e-04    5.166733e-04    7.414174e-02    2.952743e-06    4.769714e-05    4.432928e-05    9.252466e-01    
3.250000e-04    5.568333e-04    7.409381e-02    3.598707e-06    5.140093e-05    4.774818e-05    9.252466e-01    
3.700000e-04    5.948616e-04    7.404869e-02    4.275712e-06    5.462612e-05    5.093783e-05    9.252466e-01    
4.150000e-04    6.312448e-04    7.400577e-02    4.981920e-06    5.744591e-05    5.394465e-05    9.252466e-01    
4.600000e-04    6.663277e-04    7.396463e-02    5.715949e-06    5.991857e-05    5.680254e-05    9.252466e-01    
5.050000e-04    7.003626e-04    7.392492e-02    6.476737e-06    6.209158e-05    5.953702e-05    9.252466e-01    
5.500000e-04    7.335391e-04    7.388642e-02    7.263458e-06    6.400442e-05    6.216791e-05    9.252466e-01    
5.950000e-04    7.660032e-04    7.384891e-02    8.075456e-06    6.569044e-05    6.471089e-05    9.252466e-01    
6.400000e-04    7.978687e-04    7.381225e-02    8.912209e-06    6.717813e-05    6.717858e-05    9.252466e-01    
6.850000e-04    8.292259e-04    7.377632e-02    9.773292e-06    6.849204e-05    6.958131e-05    9.252466e-01    
7.300000e-04    8.601471e-04    7.374100e-02    1.065836e-05    6.965352e-05    7.192760e-05    9.252466e-01    
7.750000e-04    8.906909e-04    7.370623e-02    1.156712e-05    7.068122e-05    7.422455e-05    9.252466e-01    
8.200000e-04    9.209047e-04    7.367192e-02    1.249934e-05    7.159149e-05    7.647815e-05    9.252466e-01    
8.650000e-04    9.508277e-04    7.363802e-02    1.345480e-05    7.239871e-05    7.869342e-05    9.252466e-01    
9.100000e-04    9.804920e-04    7.360448e-02    1.443332e-05    7.311559e-05    8.087467e-05    9.252466e-01    
9.550000e-04    1.009924e-03    7.357125e-02    1.543475e-05    7.375331e-05    8.302554e-05    9.252466e-01    
1.000000e-03    1.039146e-03    7.353831e-02    1.645893e-05    7.432171e-05    8.514914e-05    9.252466e-01    
1.000000e-03    1.039146e-03    7.353831e-02    1.645893e-05    7.432171e-05    8.514914e-05    9.252466e-01    
