Rxn-Species-ids	Velocity(m/s)	Density	Pressure(Pa)	CH2CH2	CH3CH3	CH4	CHCH	H2	N2	CH2CH3(S)	CH3(S)	H(S)	CH2(S)	CHCH3(S)	CH2CH2(S)	CH(S)	CCH3(S)	CHCH2(S)	C(S)	CCH2(S)	CHCH(S)	CCH(S)	CC(S)	CH4(S)	PT(S)
0001	6.279896e-04	-6.279896e-04	-2.439086e-11	5.844923e-01	-9.093259e-03	4.844562e-01	1.189630e-01	5.227863e-01	-1.361418e-14	5.753245e-01	2.379178e-01	2.423382e-01	3.013599e-01	6.165914e-01	5.649420e-01	4.008381e-02	3.553188e-01	3.551631e-01	-2.211843e-01	9.401187e-02	9.919478e-02	-1.621597e-01	-4.234278e-01	4.649170e-01	-1.894078e-02
0002	2.904134e-06	-2.904134e-06	-1.127954e-13	2.859370e-03	-4.358448e-05	3.901565e-03	-4.646025e-04	2.397444e-03	1.271217e-16	3.233928e-05	1.081219e-03	1.633647e-03	1.399324e-03	2.333525e-03	2.296742e-03	2.137055e-04	1.148243e-03	1.148892e-03	-9.718951e-04	-3.724014e-05	-2.011608e-05	-1.206205e-03	-2.391806e-03	4.343687e-03	4.480156e-04
0003	1.628866e-06	-1.628866e-06	-6.326449e-14	1.436490e-03	-2.334319e-05	2.971701e-03	8.247452e-04	1.335162e-03	-2.001701e-16	-4.157908e-04	7.054187e-04	4.735216e-04	7.584642e-04	1.618913e-03	1.247289e-03	9.906567e-05	9.598127e-04	9.604702e-04	-5.603392e-04	3.005836e-04	3.843661e-04	-2.753866e-04	-9.347912e-04	2.781307e-03	-1.858872e-04
0004	2.873695e-11	-2.868821e-11	-1.116079e-18	3.626461e-08	-9.576514e-10	2.256351e-06	-5.559899e-08	-3.114510e-09	1.627113e-16	2.842709e-08	-9.293843e-05	2.685916e-08	-1.039215e-09	-2.474953e-08	6.496016e-08	8.942089e-10	-2.283815e-08	-2.235502e-08	2.875374e-09	-2.082187e-08	-2.682182e-08	-2.501002e-08	-2.302861e-08	-1.702425e-03	2.877966e-08
0005	-7.529582e-06	7.529580e-06	2.924459e-13	-8.082166e-03	1.210766e-04	-2.447016e-02	5.543039e-03	-6.041551e-03	-9.698152e-16	-1.832375e-03	-6.109788e-03	-1.095345e-02	-8.176062e-03	-1.222458e-02	-1.216649e-02	-1.320922e-03	-5.370942e-03	-5.373018e-03	5.534147e-03	1.483795e-03	1.453406e-03	8.311460e-03	1.516653e-02	-2.853970e-02	-4.098235e-03
0006	1.313059e-13	-1.469654e-13	-5.093729e-21	3.528615e-12	-5.810828e-14	3.293393e-12	1.011563e-12	3.344953e-12	-2.394829e-18	-1.888410e-12	5.444603e-13	5.425614e-13	1.408353e-12	2.990189e-12	3.368131e-12	-1.417997e-13	2.256192e-12	2.538704e-12	-2.435350e-12	1.151438e-12	1.374413e-12	-1.088627e-12	1.118375e-08	5.106241e-12	-1.180192e-12
0007	4.211094e-13	-5.394762e-13	-1.637599e-20	-1.972194e-10	2.928705e-12	-3.495856e-10	1.102023e-10	-1.538398e-10	-5.314991e-17	-3.423341e-11	-9.326407e-11	-1.373402e-10	-8.130025e-11	-2.257334e-10	-2.568258e-10	-1.779334e-12	-1.473798e-10	-1.445241e-10	7.342694e-11	-7.017759e-11	4.934250e-11	-4.473324e-08	1.951855e-10	-4.112893e-10	-6.170327e-11
0008	5.460280e-13	-5.101645e-13	-2.114260e-20	9.078009e-10	-1.460087e-11	2.094170e-09	3.525951e-10	8.183664e-10	3.863308e-17	2.546190e-10	9.329512e-10	7.985457e-10	9.772313e-10	1.383502e-09	1.299857e-09	5.720491e-10	9.788622e-10	9.855243e-10	-2.038717e-09	5.739885e-10	7.450849e-10	-1.226781e-09	-1.587708e-08	2.486394e-09	3.947079e-10
0009	-2.118617e-06	2.118617e-06	8.228620e-14	-2.125911e-03	3.236669e-05	-4.126262e-03	5.981402e-04	-1.733434e-03	-2.747477e-17	-1.012218e-04	-9.892156e-04	-1.260031e-03	-9.507865e-04	-2.241404e-03	-2.523678e-03	-9.328541e-05	-1.383812e-03	-1.361505e-03	7.681116e-04	-5.260635e-04	1.962309e-04	1.076934e-03	1.938334e-03	-4.522105e-03	-4.021114e-04
0010	-8.495437e-08	8.495440e-08	3.299593e-15	-8.524456e-05	1.297867e-06	-1.655212e-04	2.396963e-05	-6.950821e-05	2.310993e-17	-4.052666e-06	-3.967745e-05	-5.051926e-05	-3.814457e-05	-8.986360e-05	-1.011883e-04	-3.742248e-06	-5.547539e-05	-5.458171e-05	3.079842e-05	-2.108092e-05	7.859789e-06	4.321786e-05	7.771474e-05	-1.813876e-04	-1.611792e-05
