# Gas Mole fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
1.000000e-06    1.638137e-05    6.998166e-02    4.374377e-09    7.130403e-07    1.780526e-05    9.299834e-01    
1.450000e-06    2.202642e-05    6.997531e-02    6.452511e-09    9.787593e-07    2.398071e-05    9.299777e-01    
1.900000e-06    2.714040e-05    6.996955e-02    8.624533e-09    1.228711e-06    2.959351e-05    9.299725e-01    
2.350000e-06    3.185871e-05    6.996423e-02    1.089147e-08    1.467200e-06    3.478767e-05    9.299676e-01    
2.800000e-06    3.626482e-05    6.995926e-02    1.325173e-08    1.696788e-06    3.965177e-05    9.299631e-01    
3.250000e-06    4.041502e-05    6.995456e-02    1.570276e-08    1.919149e-06    4.424546e-05    9.299588e-01    
3.700000e-06    4.434967e-05    6.995010e-02    1.824166e-08    2.135453e-06    4.861145e-05    9.299548e-01    
4.150000e-06    4.809906e-05    6.994585e-02    2.086549e-08    2.346556e-06    5.278174e-05    9.299509e-01    
4.600000e-06    5.168669e-05    6.994177e-02    2.357137e-08    2.553111e-06    5.678112e-05    9.299472e-01    
5.050000e-06    5.513126e-05    6.993785e-02    2.635651e-08    2.755629e-06    6.062934e-05    9.299436e-01    
5.500000e-06    5.844802e-05    6.993408e-02    2.921831e-08    2.954520e-06    6.434245e-05    9.299401e-01    
5.950000e-06    6.164958e-05    6.993043e-02    3.215429e-08    3.150118e-06    6.793374e-05    9.299368e-01    
6.400000e-06    6.474656e-05    6.992689e-02    3.516213e-08    3.342704e-06    7.141439e-05    9.299336e-01    
6.850000e-06    6.774798e-05    6.992346e-02    3.823962e-08    3.532512e-06    7.479389e-05    9.299304e-01    
7.300000e-06    7.066162e-05    6.992013e-02    4.138471e-08    3.719745e-06    7.808042e-05    9.299274e-01    
7.750000e-06    7.349423e-05    6.991689e-02    4.459546e-08    3.904575e-06    8.128108e-05    9.299244e-01    
8.200000e-06    7.625171e-05    6.991373e-02    4.787004e-08    4.087155e-06    8.440208e-05    9.299215e-01    
8.650000e-06    7.893928e-05    6.991064e-02    5.120674e-08    4.267618e-06    8.744891e-05    9.299186e-01    
9.100000e-06    8.156158e-05    6.990763e-02    5.460391e-08    4.446081e-06    9.042644e-05    9.299159e-01    
9.550000e-06    8.412273e-05    6.990469e-02    5.806003e-08    4.622650e-06    9.333900e-05    9.299132e-01    
1.000000e-05    8.662645e-05    6.990181e-02    6.157363e-08    4.797419e-06    9.619051e-05    9.299105e-01    
1.450000e-05    1.091130e-04    6.987583e-02    9.959763e-08    6.461625e-06    1.219864e-04    9.298865e-01    
1.900000e-05    1.282250e-04    6.985360e-02    1.421900e-07    8.006628e-06    1.441672e-04    9.298659e-01    
2.350000e-05    1.450409e-04    6.983393e-02    1.886310e-07    9.461097e-06    1.638687e-04    9.298475e-01    
2.800000e-05    1.601693e-04    6.981614e-02    2.384109e-07    1.084213e-05    1.817344e-04    9.298309e-01    
3.250000e-05    1.739942e-04    6.979982e-02    2.911485e-07    1.216116e-05    1.981710e-04    9.298156e-01    
3.700000e-05    1.867757e-04    6.978467e-02    3.465475e-07    1.342643e-05    2.134553e-04    9.298013e-01    
4.150000e-05    1.986996e-04    6.977049e-02    4.043703e-07    1.464418e-05    2.277858e-04    9.297880e-01    
4.600000e-05    2.099041e-04    6.975714e-02    4.644219e-07    1.581932e-05    2.413106e-04    9.297754e-01    
5.050000e-05    2.204950e-04    6.974448e-02    5.265397e-07    1.695579e-05    2.541434e-04    9.297634e-01    
5.500000e-05    2.305554e-04    6.973243e-02    5.905853e-07    1.805689e-05    2.663739e-04    9.297520e-01    
5.950000e-05    2.401519e-04    6.972091e-02    6.564400e-07    1.912536e-05    2.780744e-04    9.297411e-01    
6.400000e-05    2.493389e-04    6.970986e-02    7.240006e-07    2.016356e-05    2.893040e-04    9.297306e-01    
6.850000e-05    2.581612e-04    6.969923e-02    7.931766e-07    2.117352e-05    3.001116e-04    9.297205e-01    
7.300000e-05    2.666566e-04    6.968899e-02    8.638876e-07    2.215702e-05    3.105387e-04    9.297108e-01    
7.750000e-05    2.748570e-04    6.967908e-02    9.360623e-07    2.311562e-05    3.206203e-04    9.297014e-01    
8.200000e-05    2.827899e-04    6.966949e-02    1.009637e-06    2.405072e-05    3.303865e-04    9.296923e-01    
8.650000e-05    2.904786e-04    6.966019e-02    1.084553e-06    2.496357e-05    3.398635e-04    9.296834e-01    
9.100000e-05    2.979438e-04    6.965114e-02    1.160759e-06    2.585528e-05    3.490740e-04    9.296748e-01    
9.550000e-05    3.052033e-04    6.964234e-02    1.238207e-06    2.672688e-05    3.580380e-04    9.296664e-01    
1.000000e-04    3.122731e-04    6.963377e-02    1.316854e-06    2.757930e-05    3.667733e-04    9.296583e-01    
1.450000e-04    3.750015e-04    6.955753e-02    2.161758e-06    3.520573e-05    4.443320e-04    9.295858e-01    
1.900000e-04    4.280369e-04    6.949309e-02    3.096337e-06    4.154787e-05    5.095844e-04    9.295246e-01    
2.350000e-04    4.751471e-04    6.943604e-02    4.105306e-06    4.692807e-05    5.669506e-04    9.294708e-01    
2.800000e-04    5.182650e-04    6.938410e-02    5.179296e-06    5.154842e-05    6.187722e-04    9.294221e-01    
3.250000e-04    5.585218e-04    6.933590e-02    6.312051e-06    5.554858e-05    6.664629e-04    9.293773e-01    
3.700000e-04    5.966384e-04    6.929055e-02    7.499165e-06    5.903136e-05    7.109515e-04    9.293353e-01    
4.150000e-04    6.331033e-04    6.924744e-02    8.737411e-06    6.207591e-05    7.528864e-04    9.292958e-01    
4.600000e-04    6.682624e-04    6.920614e-02    1.002436e-05    6.474524e-05    7.927407e-04    9.292581e-01    
5.050000e-04    7.023688e-04    6.916630e-02    1.135816e-05    6.709068e-05    8.308711e-04    9.292220e-01    
5.500000e-04    7.356129e-04    6.912769e-02    1.273734e-05    6.915494e-05    8.675541e-04    9.291873e-01    
5.950000e-04    7.681410e-04    6.909010e-02    1.416076e-05    7.097407e-05    9.030087e-04    9.291536e-01    
6.400000e-04    8.000673e-04    6.905337e-02    1.562750e-05    7.257886e-05    9.374113e-04    9.291209e-01    
6.850000e-04    8.314824e-04    6.901739e-02    1.713682e-05    7.399587e-05    9.709057e-04    9.290891e-01    
7.300000e-04    8.624588e-04    6.898204e-02    1.868810e-05    7.524816e-05    1.003611e-03    9.290580e-01    
7.750000e-04    8.930553e-04    6.894724e-02    2.028084e-05    7.635589e-05    1.035627e-03    9.290274e-01    
8.200000e-04    9.233196e-04    6.891293e-02    2.191460e-05    7.733675e-05    1.067036e-03    9.289975e-01    
8.650000e-04    9.532908e-04    6.887903e-02    2.358902e-05    7.820627e-05    1.097909e-03    9.289680e-01    
9.100000e-04    9.830012e-04    6.884550e-02    2.530378e-05    7.897819e-05    1.128306e-03    9.289389e-01    
9.550000e-04    1.012477e-03    6.881230e-02    2.705860e-05    7.966457e-05    1.158277e-03    9.289102e-01    
1.000000e-03    1.041742e-03    6.877940e-02    2.885321e-05    8.027609e-05    1.187867e-03    9.288819e-01    
1.000000e-03    1.041742e-03    6.877940e-02    2.885321e-05    8.027609e-05    1.187867e-03    9.288819e-01    
