z(m),Velocity(m/s),Density,Pressure(Pa)
0.000000e+00,1.000000e-01,3.930614e-01,1.013250e+05
1.000000e-06,1.000018e-01,3.930544e-01,1.013250e+05
1.450000e-06,1.000024e-01,3.930520e-01,1.013250e+05
1.900000e-06,1.000030e-01,3.930498e-01,1.013250e+05
2.350000e-06,1.000035e-01,3.930477e-01,1.013250e+05
2.800000e-06,1.000040e-01,3.930458e-01,1.013250e+05
3.250000e-06,1.000044e-01,3.930440e-01,1.013250e+05
3.700000e-06,1.000049e-01,3.930423e-01,1.013250e+05
4.150000e-06,1.000053e-01,3.930406e-01,1.013250e+05
4.600000e-06,1.000057e-01,3.930391e-01,1.013250e+05
5.050000e-06,1.000061e-01,3.930376e-01,1.013250e+05
5.500000e-06,1.000064e-01,3.930361e-01,1.013250e+05
5.950000e-06,1.000068e-01,3.930347e-01,1.013250e+05
6.400000e-06,1.000071e-01,3.930333e-01,1.013250e+05
6.850000e-06,1.000075e-01,3.930320e-01,1.013250e+05
7.300000e-06,1.000078e-01,3.930307e-01,1.013250e+05
7.750000e-06,1.000081e-01,3.930294e-01,1.013250e+05
8.200000e-06,1.000084e-01,3.930282e-01,1.013250e+05
8.650000e-06,1.000087e-01,3.930270e-01,1.013250e+05
9.100000e-06,1.000090e-01,3.930258e-01,1.013250e+05
9.550000e-06,1.000093e-01,3.930247e-01,1.013250e+05
1.000000e-05,1.000096e-01,3.930236e-01,1.013250e+05
1.450000e-05,1.000122e-01,3.930134e-01,1.013250e+05
1.900000e-05,1.000144e-01,3.930047e-01,1.013250e+05
2.350000e-05,1.000164e-01,3.929969e-01,1.013250e+05
2.800000e-05,1.000182e-01,3.929899e-01,1.013250e+05
3.250000e-05,1.000198e-01,3.929834e-01,1.013250e+05
3.700000e-05,1.000214e-01,3.929774e-01,1.013250e+05
4.150000e-05,1.000228e-01,3.929718e-01,1.013250e+05
4.600000e-05,1.000242e-01,3.929664e-01,1.013250e+05
5.050000e-05,1.000254e-01,3.929614e-01,1.013250e+05
5.500000e-05,1.000267e-01,3.929566e-01,1.013250e+05
5.950000e-05,1.000278e-01,3.929520e-01,1.013250e+05
6.400000e-05,1.000290e-01,3.929475e-01,1.013250e+05
6.850000e-05,1.000301e-01,3.929433e-01,1.013250e+05
7.300000e-05,1.000311e-01,3.929392e-01,1.013250e+05
7.750000e-05,1.000321e-01,3.929352e-01,1.013250e+05
8.200000e-05,1.000331e-01,3.929313e-01,1.013250e+05
8.650000e-05,1.000341e-01,3.929276e-01,1.013250e+05
9.100000e-05,1.000350e-01,3.929240e-01,1.013250e+05
9.550000e-05,1.000359e-01,3.929204e-01,1.013250e+05
1.000000e-04,1.000368e-01,3.929170e-01,1.013250e+05
1.450000e-04,1.000446e-01,3.928863e-01,1.013250e+05
1.900000e-04,1.000511e-01,3.928605e-01,1.013250e+05
2.350000e-04,1.000569e-01,3.928377e-01,1.013250e+05
2.800000e-04,1.000622e-01,3.928172e-01,1.013250e+05
3.250000e-04,1.000670e-01,3.927982e-01,1.013250e+05
3.700000e-04,1.000715e-01,3.927805e-01,1.013250e+05
4.150000e-04,1.000758e-01,3.927637e-01,1.013250e+05
4.600000e-04,1.000798e-01,3.927478e-01,1.013250e+05
5.050000e-04,1.000837e-01,3.927326e-01,1.013250e+05
5.500000e-04,1.000875e-01,3.927179e-01,1.013250e+05
5.950000e-04,1.000911e-01,3.927037e-01,1.013250e+05
6.400000e-04,1.000946e-01,3.926899e-01,1.013250e+05
6.850000e-04,1.000980e-01,3.926764e-01,1.013250e+05
7.300000e-04,1.001014e-01,3.926632e-01,1.013250e+05
7.750000e-04,1.001047e-01,3.926503e-01,1.013250e+05
8.200000e-04,1.001079e-01,3.926377e-01,1.013250e+05
8.650000e-04,1.001111e-01,3.926252e-01,1.013250e+05
9.100000e-04,1.001142e-01,3.926129e-01,1.013250e+05
9.550000e-04,1.001173e-01,3.926008e-01,1.013250e+05
1.000000e-03,1.001204e-01,3.925888e-01,1.013250e+05
1.000000e-03,1.001204e-01,3.925888e-01,1.013250e+05
