z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
1.000000e-06,1.632155e-05,7.473712e-02,2.492376e-09,6.593854e-07,1.274788e-06,9.252446e-01
1.450000e-06,2.194613e-05,7.473081e-02,3.676454e-09,9.051159e-07,1.716938e-06,9.252446e-01
1.900000e-06,2.704164e-05,7.472508e-02,4.914041e-09,1.136268e-06,2.118809e-06,9.252446e-01
2.350000e-06,3.174295e-05,7.471978e-02,6.205717e-09,1.356821e-06,2.490708e-06,9.252446e-01
2.800000e-06,3.613324e-05,7.471483e-02,7.550581e-09,1.569145e-06,2.838981e-06,9.252446e-01
3.250000e-06,4.026857e-05,7.471016e-02,8.947176e-09,1.774788e-06,3.167895e-06,9.252446e-01
3.700000e-06,4.418917e-05,7.470572e-02,1.039385e-08,1.974830e-06,3.480508e-06,9.252446e-01
4.150000e-06,4.792520e-05,7.470149e-02,1.188893e-08,2.170064e-06,3.779110e-06,9.252446e-01
4.600000e-06,5.150007e-05,7.469744e-02,1.343076e-08,2.361093e-06,4.065477e-06,9.252446e-01
5.050000e-06,5.493242e-05,7.469354e-02,1.501778e-08,2.548390e-06,4.341024e-06,9.252446e-01
5.500000e-06,5.823745e-05,7.468978e-02,1.664848e-08,2.732333e-06,4.606898e-06,9.252446e-01
5.950000e-06,6.142771e-05,7.468616e-02,1.832146e-08,2.913233e-06,4.864052e-06,9.252446e-01
6.400000e-06,6.451377e-05,7.468264e-02,2.003539e-08,3.091348e-06,5.113284e-06,9.252446e-01
6.850000e-06,6.750464e-05,7.467923e-02,2.178902e-08,3.266895e-06,5.355276e-06,9.252446e-01
7.300000e-06,7.040805e-05,7.467592e-02,2.358118e-08,3.440061e-06,5.590612e-06,9.252446e-01
7.750000e-06,7.323073e-05,7.467269e-02,2.541077e-08,3.611006e-06,5.819800e-06,9.252446e-01
8.200000e-06,7.597857e-05,7.466955e-02,2.727674e-08,3.779870e-06,6.043286e-06,9.252446e-01
8.650000e-06,7.865676e-05,7.466648e-02,2.917810e-08,3.946777e-06,6.261462e-06,9.252446e-01
9.100000e-06,8.126992e-05,7.466349e-02,3.111394e-08,4.111836e-06,6.474677e-06,9.252446e-01
9.550000e-06,8.382216e-05,7.466056e-02,3.308338e-08,4.275144e-06,6.683241e-06,9.252446e-01
1.000000e-05,8.631720e-05,7.465770e-02,3.508558e-08,4.436788e-06,6.887435e-06,9.252446e-01
1.450000e-05,1.087263e-04,7.463188e-02,5.675374e-08,5.976050e-06,8.734703e-06,9.252446e-01
1.900000e-05,1.277734e-04,7.460980e-02,8.102600e-08,7.405116e-06,1.032316e-05,9.252446e-01
2.350000e-05,1.445330e-04,7.459025e-02,1.074922e-07,8.750490e-06,1.173414e-05,9.252446e-01
2.800000e-05,1.596113e-04,7.457259e-02,1.358620e-07,1.002797e-05,1.301367e-05,9.252446e-01
3.250000e-05,1.733908e-04,7.455638e-02,1.659182e-07,1.124814e-05,1.419090e-05,9.252446e-01
3.700000e-05,1.861308e-04,7.454135e-02,1.974917e-07,1.241861e-05,1.528563e-05,9.252446e-01
4.150000e-05,1.980165e-04,7.452727e-02,2.304473e-07,1.354515e-05,1.631208e-05,9.252446e-01
4.600000e-05,2.091853e-04,7.451402e-02,2.646738e-07,1.463229e-05,1.728085e-05,9.252446e-01
5.050000e-05,2.197428e-04,7.450145e-02,3.000786e-07,1.568370e-05,1.820007e-05,9.252446e-01
5.500000e-05,2.297717e-04,7.448949e-02,3.365828e-07,1.670239e-05,1.907618e-05,9.252446e-01
5.950000e-05,2.393384e-04,7.447806e-02,3.741188e-07,1.769093e-05,1.991434e-05,9.252446e-01
6.400000e-05,2.484970e-04,7.446710e-02,4.126276e-07,1.865147e-05,2.071878e-05,9.252446e-01
6.850000e-05,2.572923e-04,7.445656e-02,4.520578e-07,1.958590e-05,2.149301e-05,9.252446e-01
7.300000e-05,2.657620e-04,7.444639e-02,4.923635e-07,2.049587e-05,2.224000e-05,9.252446e-01
7.750000e-05,2.739377e-04,7.443656e-02,5.335042e-07,2.138282e-05,2.296225e-05,9.252446e-01
8.200000e-05,2.818467e-04,7.442705e-02,5.754433e-07,2.224805e-05,2.366192e-05,9.252446e-01
8.650000e-05,2.895126e-04,7.441781e-02,6.181479e-07,2.309269e-05,2.434088e-05,9.252446e-01
9.100000e-05,2.969557e-04,7.440884e-02,6.615882e-07,2.391780e-05,2.500077e-05,9.252446e-01
9.550000e-05,3.041939e-04,7.440011e-02,7.057370e-07,2.472431e-05,2.564301e-05,9.252446e-01
1.000000e-04,3.112430e-04,7.439160e-02,7.505695e-07,2.551308e-05,2.626886e-05,9.252446e-01
1.450000e-04,3.737937e-04,7.431596e-02,1.232238e-06,3.257070e-05,3.182623e-05,9.252446e-01
1.900000e-04,4.266865e-04,7.425198e-02,1.765079e-06,3.844069e-05,3.650249e-05,9.252446e-01
2.350000e-04,4.736756e-04,7.419533e-02,2.340382e-06,4.342105e-05,4.061409e-05,9.252446e-01
2.800000e-04,5.166870e-04,7.414371e-02,2.952805e-06,4.769862e-05,4.432870e-05,9.252446e-01
3.250000e-04,5.568479e-04,7.409578e-02,3.598783e-06,5.140251e-05,4.774755e-05,9.252446e-01
3.700000e-04,5.948772e-04,7.405066e-02,4.275803e-06,5.462780e-05,5.093716e-05,9.252446e-01
4.150000e-04,6.312616e-04,7.400774e-02,4.982026e-06,5.744772e-05,5.394396e-05,9.252446e-01
4.600000e-04,6.663455e-04,7.396659e-02,5.716070e-06,5.992047e-05,5.680182e-05,9.252446e-01
5.050000e-04,7.003814e-04,7.392689e-02,6.476875e-06,6.209355e-05,5.953627e-05,9.252446e-01
5.500000e-04,7.335589e-04,7.388838e-02,7.263612e-06,6.400646e-05,6.216713e-05,9.252446e-01
5.950000e-04,7.660240e-04,7.385088e-02,8.075628e-06,6.569255e-05,6.471009e-05,9.252446e-01
6.400000e-04,7.978903e-04,7.381422e-02,8.912399e-06,6.718028e-05,6.717775e-05,9.252446e-01
6.850000e-04,8.292484e-04,7.377828e-02,9.773501e-06,6.849424e-05,6.958045e-05,9.252446e-01
7.300000e-04,8.601705e-04,7.374297e-02,1.065859e-05,6.965576e-05,7.192671e-05,9.252446e-01
7.750000e-04,8.907150e-04,7.370819e-02,1.156737e-05,7.068349e-05,7.422364e-05,9.252446e-01
8.200000e-04,9.209297e-04,7.367388e-02,1.249960e-05,7.159379e-05,7.647721e-05,9.252446e-01
8.650000e-04,9.508535e-04,7.363998e-02,1.345509e-05,7.240105e-05,7.869246e-05,9.252446e-01
9.100000e-04,9.805187e-04,7.360643e-02,1.443363e-05,7.311796e-05,8.087368e-05,9.252446e-01
9.550000e-04,1.009952e-03,7.357321e-02,1.543508e-05,7.375569e-05,8.302452e-05,9.252446e-01
1.000000e-03,1.039175e-03,7.354027e-02,1.645929e-05,7.432413e-05,8.514810e-05,9.252446e-01
1.000000e-03,1.039175e-03,7.354027e-02,1.645929e-05,7.432413e-05,8.514810e-05,9.252446e-01
