z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
1.000000e-06,1.638124e-05,6.998166e-02,4.374317e-09,7.130344e-07,1.780512e-05,9.299834e-01
1.450000e-06,2.202626e-05,6.997531e-02,6.452428e-09,9.787520e-07,2.398053e-05,9.299777e-01
1.900000e-06,2.714021e-05,6.996955e-02,8.624429e-09,1.228702e-06,2.959331e-05,9.299725e-01
2.350000e-06,3.185850e-05,6.996423e-02,1.089134e-08,1.467190e-06,3.478743e-05,9.299676e-01
2.800000e-06,3.626459e-05,6.995926e-02,1.325158e-08,1.696777e-06,3.965152e-05,9.299631e-01
3.250000e-06,4.041477e-05,6.995456e-02,1.570259e-08,1.919138e-06,4.424519e-05,9.299588e-01
3.700000e-06,4.434941e-05,6.995010e-02,1.824147e-08,2.135440e-06,4.861117e-05,9.299548e-01
4.150000e-06,4.809878e-05,6.994585e-02,2.086528e-08,2.346543e-06,5.278144e-05,9.299509e-01
4.600000e-06,5.168639e-05,6.994177e-02,2.357113e-08,2.553097e-06,5.678080e-05,9.299472e-01
5.050000e-06,5.513095e-05,6.993786e-02,2.635626e-08,2.755614e-06,6.062900e-05,9.299436e-01
5.500000e-06,5.844770e-05,6.993408e-02,2.921804e-08,2.954504e-06,6.434210e-05,9.299401e-01
5.950000e-06,6.164926e-05,6.993043e-02,3.215400e-08,3.150102e-06,6.793339e-05,9.299368e-01
6.400000e-06,6.474623e-05,6.992689e-02,3.516181e-08,3.342687e-06,7.141402e-05,9.299336e-01
6.850000e-06,6.774764e-05,6.992346e-02,3.823928e-08,3.532495e-06,7.479351e-05,9.299304e-01
7.300000e-06,7.066127e-05,6.992013e-02,4.138435e-08,3.719727e-06,7.808003e-05,9.299274e-01
7.750000e-06,7.349387e-05,6.991689e-02,4.459508e-08,3.904557e-06,8.128069e-05,9.299244e-01
8.200000e-06,7.625134e-05,6.991373e-02,4.786964e-08,4.087136e-06,8.440168e-05,9.299215e-01
8.650000e-06,7.893891e-05,6.991064e-02,5.120631e-08,4.267598e-06,8.744850e-05,9.299186e-01
9.100000e-06,8.156120e-05,6.990763e-02,5.460347e-08,4.446061e-06,9.042602e-05,9.299159e-01
9.550000e-06,8.412235e-05,6.990469e-02,5.805956e-08,4.622630e-06,9.333858e-05,9.299132e-01
1.000000e-05,8.662607e-05,6.990181e-02,6.157314e-08,4.797399e-06,9.619008e-05,9.299105e-01
1.450000e-05,1.091125e-04,6.987583e-02,9.959693e-08,6.461601e-06,1.219859e-04,9.298865e-01
1.900000e-05,1.282245e-04,6.985360e-02,1.421891e-07,8.006600e-06,1.441666e-04,9.298659e-01
2.350000e-05,1.450403e-04,6.983393e-02,1.886298e-07,9.461066e-06,1.638681e-04,9.298475e-01
