Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
6.947595e-08    2.182715e-08    4.764880e-08    7.609375e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
4.507282e-05    4.511816e-05    -4.533898e-08   4.997487e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
3.605245e-06    3.606145e-06    -9.003212e-10   4.999376e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
1.650837e-06    1.653656e-06    -2.819010e-09   4.995735e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
5.856878e-06    5.902608e-06    -4.573011e-08   4.980556e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
4.497043e-06    4.497043e-06    -5.130323e-14   5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
8.078661e-05    8.078661e-05    3.614393e-12    5.000000e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
1.190714e-09    1.190765e-09    -5.130323e-14   4.999892e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
8.400424e-09    8.311912e-09    8.851173e-11    5.026481e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
3.368315e-10    3.332854e-10    3.546026e-12    5.026458e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
9.256149e-10    1.508052e-11    9.105344e-10    9.839688e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
1.379026e-05    1.378939e-05    8.680927e-10    5.000157e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
2.323841e-05    2.323941e-05    -1.002558e-09   4.999892e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.999551e-04    1.999569e-04    -1.806523e-09   4.999977e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
2.091605e-14    2.025537e-14    6.606853e-16    5.080236e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
2.438547e-08    2.386269e-08    5.227743e-10    5.054176e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
3.255326e-13    7.235719e-18    3.255254e-13    9.999778e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
4.592576e-08    6.401322e-11    4.586175e-08    9.986081e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
1.789167e-09    2.441408e-12    1.786726e-09    9.986373e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
1.654837e-10    2.984494e-09    -2.819010e-09   5.253489e-02    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
3.182239e-11    1.932499e-09    -1.900676e-09   1.620020e-02    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
3.507934e-10    3.507763e-10    1.706423e-14    5.000122e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
4.288263e-06    4.287869e-06    3.937813e-10    5.000230e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
3.549399e-06    3.550175e-06    -7.760349e-10   4.999453e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
5.128178e-10    5.075035e-10    5.314300e-12    5.026042e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.260942e-07    1.248001e-07    1.294120e-09    5.025790e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
1.179245e-05    1.179067e-05    1.778627e-09    5.000377e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
7.598609e-12    1.237758e-13    7.474833e-12    9.839718e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
1.444825e-09    1.444201e-09    6.246149e-13    5.001081e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
