t(s),cat,react1,react2,int1,int2,int3,prod,water
1.00000000e+03,8.75978449e-06,1.99584293e-01,2.07718632e-01,1.62686782e-02,9.38369984e-04,5.74632333e-01,8.48934079e-04,0.00000000e+00
2.00000000e+03,8.61373742e-07,1.99010298e-01,1.99807870e-01,1.59514316e-03,8.85031248e-05,5.97516198e-01,1.98112609e-03,0.00000000e+00
3.00000000e+03,2.82025378e-07,1.98435910e-01,1.98696292e-01,5.20763986e-04,2.87327365e-05,5.99189275e-01,3.12874309e-03,0.00000000e+00
4.00000000e+03,2.38940885e-07,1.97861485e-01,1.98081450e-01,4.39930646e-04,2.41977113e-05,5.99315189e-01,4.27750784e-03,0.00000000e+00
5.00000000e+03,2.36874916e-07,1.97287058e-01,1.97504489e-01,4.34860695e-04,2.38491767e-05,5.99323149e-01,5.42635713e-03,0.00000000e+00
6.00000000e+03,2.37987556e-07,1.96712633e-01,1.96930449e-01,4.35631209e-04,2.38219945e-05,5.99322017e-01,6.57520961e-03,0.00000000e+00
7.00000000e+03,2.39358630e-07,1.96138210e-01,1.96356641e-01,4.36861509e-04,2.38196645e-05,5.99320170e-01,7.72405897e-03,0.00000000e+00
8.00000000e+03,2.40761241e-07,1.95563788e-01,1.95782856e-01,4.38134548e-04,2.38192687e-05,5.99318257e-01,8.87290471e-03,0.00000000e+00
9.00000000e+03,2.42177756e-07,1.94989369e-01,1.95209078e-01,4.39417823e-04,2.38190230e-05,5.99316328e-01,1.00217468e-02,0.00000000e+00
1.00000000e+04,2.43606918e-07,1.94414951e-01,1.94635305e-01,4.40708840e-04,2.38187874e-05,5.99314387e-01,1.11705851e-02,0.00000000e+00
1.10000000e+04,2.45048764e-07,1.93840535e-01,1.94061539e-01,4.42007462e-04,2.38185510e-05,5.99312435e-01,1.23194197e-02,0.00000000e+00
1.20000000e+04,2.46503436e-07,1.93266121e-01,1.93487778e-01,4.43313740e-04,2.38183128e-05,5.99310472e-01,1.34682506e-02,0.00000000e+00
1.30000000e+04,2.47971084e-07,1.92691709e-01,1.92914023e-01,4.44627739e-04,2.38180727e-05,5.99308496e-01,1.46170777e-02,0.00000000e+00
1.40000000e+04,2.49451863e-07,1.92117299e-01,1.92340274e-01,4.45949528e-04,2.38178307e-05,5.99306509e-01,1.57659010e-02,0.00000000e+00
1.50000000e+04,2.50945932e-07,1.91542891e-01,1.91766530e-01,4.47279178e-04,2.38175868e-05,5.99304511e-01,1.69147204e-02,0.00000000e+00
1.60000000e+04,2.52453447e-07,1.90968484e-01,1.91192793e-01,4.48616756e-04,2.38173409e-05,5.99302500e-01,1.80635360e-02,0.00000000e+00
1.70000000e+04,2.53974572e-07,1.90394080e-01,1.90619061e-01,4.49962336e-04,2.38170931e-05,5.99300477e-01,1.92123478e-02,0.00000000e+00
1.80000000e+04,2.55509471e-07,1.89819678e-01,1.90045336e-01,4.51315988e-04,2.38168433e-05,5.99298443e-01,2.03611557e-02,0.00000000e+00
1.90000000e+04,2.57058310e-07,1.89245277e-01,1.89471616e-01,4.52677785e-04,2.38165914e-05,5.99296396e-01,2.15099596e-02,0.00000000e+00
2.00000000e+04,2.58621258e-07,1.88670879e-01,1.88897903e-01,4.54047801e-04,2.38163376e-05,5.99294336e-01,2.26587597e-02,0.00000000e+00
2.10000000e+04,2.60198487e-07,1.88096482e-01,1.88324195e-01,4.55426110e-04,2.38160817e-05,5.99292264e-01,2.38075557e-02,0.00000000e+00
2.20000000e+04,2.61790172e-07,1.87522088e-01,1.87750494e-01,4.56812787e-04,2.38158237e-05,5.99290180e-01,2.49563478e-02,0.00000000e+00
2.30000000e+04,2.63396488e-07,1.86947695e-01,1.87176799e-01,4.58207909e-04,2.38155636e-05,5.99288082e-01,2.61051359e-02,0.00000000e+00
2.40000000e+04,2.65017617e-07,1.86373305e-01,1.86603111e-01,4.59611552e-04,2.38153013e-05,5.99285972e-01,2.72539199e-02,0.00000000e+00
2.50000000e+04,2.66653741e-07,1.85798917e-01,1.86029429e-01,4.61023796e-04,2.38150369e-05,5.99283849e-01,2.84026999e-02,0.00000000e+00
2.60000000e+04,2.68305044e-07,1.85224530e-01,1.85455753e-01,4.62444718e-04,2.38147704e-05,5.99281713e-01,2.95514758e-02,0.00000000e+00
2.70000000e+04,2.69971715e-07,1.84650146e-01,1.84882083e-01,4.63874400e-04,2.38145016e-05,5.99279564e-01,3.07002476e-02,0.00000000e+00
2.80000000e+04,2.71653945e-07,1.84075764e-01,1.84308421e-01,4.65312921e-04,2.38142306e-05,5.99277401e-01,3.18490152e-02,0.00000000e+00
2.90000000e+04,2.73351928e-07,1.83501384e-01,1.83734764e-01,4.66760364e-04,2.38139574e-05,5.99275225e-01,3.29977787e-02,0.00000000e+00
3.00000000e+04,2.75065862e-07,1.82927006e-01,1.83161114e-01,4.68216813e-04,2.38136818e-05,5.99273036e-01,3.41465381e-02,0.00000000e+00
3.10000000e+04,2.76795945e-07,1.82352630e-01,1.82587471e-01,4.69682350e-04,2.38134040e-05,5.99270833e-01,3.52952932e-02,0.00000000e+00
3.20000000e+04,2.78542383e-07,1.81778257e-01,1.82013835e-01,4.71157061e-04,2.38131238e-05,5.99268616e-01,3.64440440e-02,0.00000000e+00
3.30000000e+04,2.80305380e-07,1.81203885e-01,1.81440206e-01,4.72641033e-04,2.38128413e-05,5.99266385e-01,3.75927906e-02,0.00000000e+00
3.40000000e+04,2.82085148e-07,1.80629516e-01,1.80866583e-01,4.74134352e-04,2.38125563e-05,5.99264140e-01,3.87415330e-02,0.00000000e+00
3.50000000e+04,2.83881898e-07,1.80055148e-01,1.80292967e-01,4.75637107e-04,2.38122690e-05,5.99261880e-01,3.98902709e-02,0.00000000e+00
3.60000000e+04,2.85695849e-07,1.79480783e-01,1.79719358e-01,4.77149388e-04,2.38119792e-05,5.99259607e-01,4.10390046e-02,0.00000000e+00
