t(s),cat,react1,react2,int1,int2,int3,prod,water
0.00000000e+00,2.00000000e-01,4.00000000e-01,4.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+03,1.44140031e-05,3.28410889e-01,3.41795737e-01,1.33848486e-02,5.14687998e-04,3.15180974e-01,6.98449741e-04,0.00000000e+00
2.00000000e+03,1.43608070e-06,3.31789599e-01,3.33119309e-01,1.32970985e-03,4.91840816e-05,3.32059298e-01,1.65146486e-03,0.00000000e+00
3.00000000e+03,4.71065628e-07,3.31446544e-01,3.31881459e-01,4.34914786e-04,1.59973837e-05,3.33607652e-01,2.61296224e-03,0.00000000e+00
4.00000000e+03,3.99512122e-07,3.30826856e-01,3.31194641e-01,3.67784747e-04,1.34862911e-05,3.34020809e-01,3.57602307e-03,0.00000000e+00
5.00000000e+03,3.96440239e-07,3.30184934e-01,3.30548831e-01,3.63897285e-04,1.33048748e-05,3.34347788e-01,4.54084872e-03,0.00000000e+00
6.00000000e+03,3.98685411e-07,3.29540159e-01,3.29905051e-01,3.64892623e-04,1.33024906e-05,3.34668681e-01,5.50751516e-03,0.00000000e+00
7.00000000e+03,4.01368104e-07,3.28894017e-01,3.29260292e-01,3.66275232e-04,1.33139877e-05,3.34989663e-01,6.47603745e-03,0.00000000e+00
8.00000000e+03,4.04108882e-07,3.28246621e-01,3.28614318e-01,3.67696357e-04,1.33265886e-05,3.35311212e-01,7.44642200e-03,0.00000000e+00
9.00000000e+03,4.06878300e-07,3.27597977e-01,3.27967105e-01,3.69128816e-04,1.33392977e-05,3.35633369e-01,8.41867426e-03,0.00000000e+00
1.00000000e+04,4.09674327e-07,3.26948080e-01,3.27318651e-01,3.70570546e-04,1.33520369e-05,3.35956138e-01,9.39279961e-03,0.00000000e+00
1.10000000e+04,4.12497102e-07,3.26296928e-01,3.26668950e-01,3.72021458e-04,1.33648001e-05,3.36279520e-01,1.03688034e-02,0.00000000e+00
1.20000000e+04,4.15346941e-07,3.25644517e-01,3.26017999e-01,3.73481621e-04,1.33775868e-05,3.36603518e-01,1.13466911e-02,0.00000000e+00
1.30000000e+04,4.18224178e-07,3.24990844e-01,3.25365795e-01,3.74951119e-04,1.33903971e-05,3.36928134e-01,1.23264681e-02,0.00000000e+00
1.40000000e+04,4.21129154e-07,3.24335904e-01,3.24712334e-01,3.76430035e-04,1.34032311e-05,3.37253368e-01,1.33081398e-02,0.00000000e+00
1.50000000e+04,4.24062214e-07,3.23679694e-01,3.24057613e-01,3.77918457e-04,1.34160886e-05,3.37579223e-01,1.42917117e-02,0.00000000e+00
1.60000000e+04,4.27023710e-07,3.23022211e-01,3.23401627e-01,3.79416470e-04,1.34289699e-05,3.37905700e-01,1.52771892e-02,0.00000000e+00
1.70000000e+04,4.30013997e-07,3.22363450e-01,3.22744374e-01,3.80924162e-04,1.34418750e-05,3.38232802e-01,1.62645780e-02,0.00000000e+00
1.80000000e+04,4.33033438e-07,3.21703408e-01,3.22085850e-01,3.82441624e-04,1.34548040e-05,3.38560529e-01,1.72538834e-02,0.00000000e+00
1.90000000e+04,4.36082401e-07,3.21042082e-01,3.21426051e-01,3.83968944e-04,1.34677568e-05,3.38888884e-01,1.82451111e-02,0.00000000e+00
2.00000000e+04,4.39161259e-07,3.20379467e-01,3.20764973e-01,3.85506214e-04,1.34807335e-05,3.39217868e-01,1.92382666e-02,0.00000000e+00
2.10000000e+04,4.42270391e-07,3.19715559e-01,3.20102613e-01,3.87053526e-04,1.34937343e-05,3.39547483e-01,2.02333555e-02,0.00000000e+00
2.20000000e+04,4.45410183e-07,3.19050356e-01,3.19438967e-01,3.88610973e-04,1.35067591e-05,3.39877731e-01,2.12303834e-02,0.00000000e+00
2.30000000e+04,4.48581025e-07,3.18383853e-01,3.18774031e-01,3.90178651e-04,1.35198081e-05,3.40208613e-01,2.22293559e-02,0.00000000e+00
2.40000000e+04,4.51783314e-07,3.17716046e-01,3.18107803e-01,3.91756655e-04,1.35328812e-05,3.40540132e-01,2.32302788e-02,0.00000000e+00
2.50000000e+04,4.55017455e-07,3.17046932e-01,3.17440277e-01,3.93345081e-04,1.35459785e-05,3.40872288e-01,2.42331576e-02,0.00000000e+00
2.60000000e+04,4.58283858e-07,3.16376506e-01,3.16771450e-01,3.94944028e-04,1.35591001e-05,3.41205084e-01,2.52379980e-02,0.00000000e+00
2.70000000e+04,4.61582938e-07,3.15704765e-01,3.16101319e-01,3.96553595e-04,1.35722460e-05,3.41538522e-01,2.62448058e-02,0.00000000e+00
2.80000000e+04,4.64915119e-07,3.15031706e-01,3.15429880e-01,3.98173883e-04,1.35854164e-05,3.41872603e-01,2.72535867e-02,0.00000000e+00
2.90000000e+04,4.68280831e-07,3.14357323e-01,3.14757128e-01,3.99804992e-04,1.35986111e-05,3.42207330e-01,2.82643465e-02,0.00000000e+00
3.00000000e+04,4.71680510e-07,3.13681614e-01,3.14083061e-01,4.01447027e-04,1.36118304e-05,3.42542703e-01,2.92770909e-02,0.00000000e+00
3.10000000e+04,4.75114601e-07,3.13004574e-01,3.13407675e-01,4.03100092e-04,1.36250743e-05,3.42878725e-01,3.02918258e-02,0.00000000e+00
3.20000000e+04,4.78583554e-07,3.12326200e-01,3.12730964e-01,4.04764292e-04,1.36383427e-05,3.43215397e-01,3.13085569e-02,0.00000000e+00
