t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e+03,2.98000000e+02,1.50866046e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.15659586e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.00000000e+03,2.98000000e+02,1.48900268e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.14152547e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.00000000e+03,2.98000000e+02,1.48624180e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13940887e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.00000000e+03,2.98000000e+02,1.48471537e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13823865e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.00000000e+03,2.98000000e+02,1.48328307e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13714060e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.00000000e+03,2.98000000e+02,1.48185805e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13604812e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.00000000e+03,2.98000000e+02,1.48043359e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13495608e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.00000000e+03,2.98000000e+02,1.47900920e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13386409e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.00000000e+03,2.98000000e+02,1.47758482e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13277210e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.00000000e+04,2.98000000e+02,1.47616045e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13168013e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.10000000e+04,2.98000000e+02,1.47473610e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.13058817e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.20000000e+04,2.98000000e+02,1.47331177e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12949622e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.30000000e+04,2.98000000e+02,1.47188744e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12840428e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.40000000e+04,2.98000000e+02,1.47046314e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12731235e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.50000000e+04,2.98000000e+02,1.46903884e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12622044e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.60000000e+04,2.98000000e+02,1.46761457e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12512853e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.70000000e+04,2.98000000e+02,1.46619030e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12403664e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.80000000e+04,2.98000000e+02,1.46476605e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12294476e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.90000000e+04,2.98000000e+02,1.46334182e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12185289e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.00000000e+04,2.98000000e+02,1.46191760e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.12076103e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
2.10000000e+04,2.98000000e+02,1.46049340e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.11966918e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
