Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
5.446304e-06    0.000000e+00    5.446304e-06    1.000000e+00    Fructose-1 + H-BA => Inter-2
8.196811e-08    0.000000e+00    8.196811e-08    1.000000e+00    Inter-2 => H2O + Inter-3
4.404546e-02    0.000000e+00    4.404546e-02    1.000000e+00    Inter-3 => Inter-4
2.635108e-11    0.000000e+00    2.635108e-11    1.000000e+00    Inter-4 => Inter-5
1.208025e-11    0.000000e+00    1.208025e-11    1.000000e+00    Inter-5 => H2O + Inter-6
4.069854e-10    0.000000e+00    4.069854e-10    1.000000e+00    Inter-6 => Inter-7
1.208027e-11    0.000000e+00    1.208027e-11    1.000000e+00    Inter-7 => H2O + Inter-8
4.668219e-03    0.000000e+00    4.668219e-03    1.000000e+00    Inter-8 => H-BA + HMF-9
5.446294e-06    0.000000e+00    5.446294e-06    1.000000e+00    Inter-2 => Fructose-1 + H-BA
8.195812e-08    0.000000e+00    8.195812e-08    1.000000e+00    H2O + Inter-3 => Inter-2
4.404546e-02    0.000000e+00    4.404546e-02    1.000000e+00    Inter-4 => Inter-3
1.427083e-11    0.000000e+00    1.427083e-11    1.000000e+00    Inter-5 => Inter-4
2.375306e-25    0.000000e+00    2.375306e-25    1.000000e+00    H2O + Inter-6 => Inter-5
3.949051e-10    0.000000e+00    3.949051e-10    1.000000e+00    Inter-7 => Inter-6
1.813598e-17    0.000000e+00    1.813598e-17    1.000000e+00    H2O + Inter-8 => Inter-7
4.668219e-03    0.000000e+00    4.668219e-03    1.000000e+00    H-BA + HMF-9 => Inter-8
1.519105e-07    0.000000e+00    1.519105e-07    1.000000e+00    HMF-9 => LA-FA
